user_category_1,user_category_2,predicted_category,count
Комплектующие для ПК,Музыка,Антикварные книги,1
Уход за телом,Мебель медицинская,Комплекты украшений,1
Комплекты украшений,Видео,Офисная техника,1
Видео,Офисная техника,Автомобили новые,1
Офисная техника,Автомобили новые,Мужчинам,1
Автомобили новые,Мужчинам,Учебная литература,1
Мужчинам,Учебная литература,Виниловые пластинки,1
Учебная литература,Виниловые пластинки,Телефоны и смарт-часы,1
Виниловые пластинки,Телефоны и смарт-часы,"Буклеты, листовки и брошюры",1
"Буклеты, листовки и брошюры",Телефоны и смарт-часы,Аксессуары для электроники,1
Телефоны и смарт-часы,Аксессуары для электроники,Лекарственные средства,1
Аксессуары для электроники,Лекарственные средства,Автомобили новые,1
Лекарственные средства,Автомобили новые,Калькуляторы,1
Автомобили новые,Калькуляторы,Мебель для бизнеса,1
Калькуляторы,Мебель для бизнеса,Xbox,1
Мебель для бизнеса,Xbox,Детские украшения,1
Xbox,Детские украшения,Мягкая мебель,1
Мебель медицинская,Комплекты украшений,Видео,1
Игровые наушники,Уход за телом,Мебель медицинская,1
Бескаркасная мебель,Охранные системы и видеонаблюдение,Уход за лицом,1
Игры и игровые подписки,Игровые наушники,Уход за телом,1
Для грызунов и хорьков,Часы и электронные будильники,Мебель для хранения,1
Часы и электронные будильники,Мебель для хранения,Игровые жанры,1
Мебель для хранения,Игровые жанры,Телевизоры и видеотехника,1
Игровые жанры,Телевизоры и видеотехника,Онлайн-подписки,1
Телевизоры и видеотехника,Онлайн-подписки,Часы и электронные будильники,1
Онлайн-подписки,Часы и электронные будильники,Рули и педали,1
Часы и электронные будильники,Рули и педали,Письменные принадлежности,1
Рули и педали,Письменные принадлежности,Витамины и БАДы,1
Письменные принадлежности,Витамины и БАДы,Уход за телом,1
Витамины и БАДы,Уход за телом,Игровые наушники,1
Уход за телом,Игровые наушники,Игровые картриджи,1
Игровые наушники,Игровые картриджи,Игровые жанры,1
Игровые картриджи,Игровые жанры,Личная гигиена,1
Игровые жанры,Личная гигиена,Игры и игровые подписки,1
Личная гигиена,Игры и игровые подписки,Игровые наушники,1
Детские украшения,Мягкая мебель,Аксессуары для киберспорта,1
Мягкая мебель,Аксессуары для киберспорта,"Ноутбуки, планшеты и электронные книги",1
Аксессуары для киберспорта,"Ноутбуки, планшеты и электронные книги",Чертежные принадлежности,1
"Ноутбуки, планшеты и электронные книги",Чертежные принадлежности,Путешествия,1
Антикварные книги,Бумажная продукция,Загар и защита от солнца,1
Бумажная продукция,Загар и защита от солнца,Программное обеспечение,1
Загар и защита от солнца,Программное обеспечение,Бескаркасная мебель,1
Программное обеспечение,Бескаркасная мебель,Запчасти для игровых консолей,1
Бескаркасная мебель,Запчасти для игровых консолей,Блокноты и ежедневники,1
Запчасти для игровых консолей,Блокноты и ежедневники,Электронные аудиокниги,1
Блокноты и ежедневники,Электронные аудиокниги,Личная гигиена,1
Электронные аудиокниги,Личная гигиена,Техника для кухни,1
Личная гигиена,Техника для кухни,Игровая атрибутика,1
