item_id,link,name,cat1,cat2,cat3,description,image_link
1,https://www.ozon.ru/product/realme-smartfon-note-50-3-64-gb-chernyy-1388203267/?advert=AAkBwRtzwOZd5vxlgG8xivjrmBE3r3KOKeda5v8SQxG1rAIR9k-rYLndvCKA0UnueSWSrmu9BrfYvYtjAk8ClFvPOs1osrCdzGU9t1OgIYxC7q-Pc6fEtpil0dQAm7FNpqaOdyOQC_jpW7wdb5JHPtSITSIRSN5MkfC_2zmMgAZUYNQ9LsjvjH8NaqtFhvE5GsfBxLjo91v_Ck7GSv6_FAgvmu2EB-8kwCSpx95He4xVi_Y2V0KH4zadHRH22ZYdweI3_xBOhM2zRazkIEFFvUNAUhmmJjQPolcuvTDiWk0xydhOd5hcsUMPxP14hdHH1FVuFq7B0pmbCm7aa17s_8kENJzBXABD1QYbP_k7ADoykI2meLDpe0SFMwxVRoudUw&avtc=1&avte=1&avts=1733739482,"realme Смартфон Note 50 3/64 ГБ, черный",Электроника (заглушка),Телефоны (заглушка),Телефоны (заглушка),Самое лучшее описание,https://ir.ozone.ru/s3/multimedia-1-l/wc350/7184523105.jpg
2,https://www.ozon.ru/product/tecno-smartfon-pova-6-rostest-eac-8-256-gb-seryy-1589088648/?advert=AAkBfZKPOt6xL4k6ZXl_9BlYXtgNq5zOWDz4eQxX2kvvsftBNYg2l_1TWX26c5nLktGbsTaxfIiT6c3OFnUgykH0baF7oNrjiYbxRlOEsOnJgQ13W5zj5rIzNqIlMpW8hEeCPezGY4uQ6p7MZqEPP4Ik5_C4uLOEWwwTVrJ09FV6xBUg1Rv95uVtDqFdr23eHgkocVSqzcL6NNO3s3V3uJnpt45X65TTQpk5dRoOz9RizXayzd6cAsayXInEUJSFhDTGdIvfU_-_X8hK_zIRtN_sDiNNkDpVHNfVgVTX5a4kPWwTqMZLOjlEgiD0VGH4dWbBid1Me02NDRW0zTmbRXgRWv7h6kkK3M9MKO71th0O8TPQT7an7-BObvZbc_AhL28pFBbiyTSeqw&avtc=2&avte=1&avts=1733739482,"Tecno Смартфон Pova 6 Ростест (EAC) 8/256 ГБ, серый",Электроника (заглушка),Телефоны (заглушка),Телефоны (заглушка),Самое лучшее описание,https://ir.ozone.ru/s3/multimedia-1-x/wc350/7129824945.jpg
3,https://www.ozon.ru/product/tecno-smartfon-spark-go-1-4-64-gb-belyy-1735494080/?advert=AAkBAVsGIz31Ej7sTVIsMq-udp7DejDjYL_8-cepyTanyU1AQDfZpaNBWqRI1EmBFL9lksbr4TwQ2p1P0vxrlpN8YCxHIrCWxEBZWAzknjwUuh-MLpHIHR-_2TkAPvfggMk8a54iJYcNurE4qAlghYf_diWYoXS29lcEDN5QUJkn6Vj-E4_4fDLTICyeXNj80TKXUAGuLVUTQNB6rOQL1zxlfXwzTASWUcszMweHEXVnosD6btCBE2nLqHOAxhUneEMRGWzdZybkRFo3E1wADQCZDpgEGfqwcpvQOqzljrvam81s53ig0gvcKMx-WTZXme87ZDXA0_TjoSC3oKeQPb8x4NmVeatOpsqF1QdTXzCYUSPGfGP-WIxJmcXPCK83hMSa&avtc=1&avte=1&avts=1733739482,"Tecno Смартфон SPARK Go 1 4/64 ГБ, белый",Электроника (заглушка),Телефоны (заглушка),Телефоны (заглушка),Самое лучшее описание,https://ir.ozone.ru/s3/multimedia-1-3/wc350/7141182327.jpg
4,https://www.ozon.ru/product/astarry-smartfon-goryachie-modeli-na-meropriyatii-chernaya-pyatnitsa-gt-10-pro-imeet-bolshoy-ekran-s-1760064046/?advert=AAkBODCG3LKwU1Ftih6C47qfDCRCPq9xcGGT2OKK1-gnG4Ue4AfvLNiXfwPfe_RMJFsmJK43yeTPhREuMTIOseht0_Ijwds7SEbZORpcITXTipj9rip_A9jYqB2YGGHufbO7p1UwuF_9iJZ34ny_Ai2zK_53zH5phEEqlWgq7WLZaxPTbXmd0E-fCcwIJ54ABQQVIlSDNTu6L_cIw1fTRkaxzuDkAxfFsb6FA4uAbjMfTMjY08pODj7qHkGNlYni1KjJfT3dkMJYInEpE1U2xVwqfj2PC3elpz-dz6XBK1Hbnm1tLKun1jXFsLPW2Ia7a77Ld1oOj00afGbqBZIXnfjrcQiP7qH44NzwegzNK-NpmGBtxiI_vb3jtPxevBY5vVWH27NHxYJCY3Y&avtc=1&avte=4&avts=1733739482,"Astarry Смартфон Горячие модели на мероприятии ""Черная пятница""!GT 10 Pro имеет большой экран с диагональю 7,3 дюйма, а отпечаток пальца разблокирован!Поддержка сети 5G!Андроид 13！большой срок службы батареи 6800 мАч!Супер красивый дизайн с тремя камерами!Универсальная русская версия~ Global 16/1 ТБ, черный матовый",Электроника (заглушка),Телефоны (заглушка),Телефоны (заглушка),Самое лучшее описание,https://ir.ozone.ru/s3/multimedia-1-e/wc350/7115833850.jpg
5,https://www.ozon.ru/product/astarry-smartfon-goryachie-modeli-na-meropriyatii-chernaya-pyatnitsa-pura-70-pro-imeet-bolshoy-1760064047/?advert=AAkB7QHuLGvAgVoO7krpCu0mktOgmevemnK0Cs8Z5rp-lX1BmKqEzC6PQ1jK5UJFbciJWmbxVxySlFJ0U_-7lkZSIOaHVTPsJqv9LbdLzaOa_ilQ890fOnFIl5IQcGGR2oVUfnTtdXOBinut39MhzF4jY3XWlO4mhnz4zjYsWQPqH6bklXkn650A6iG_V-hLy_tvfAzAZPba_RvKiZ7L1F04u1lYoXgCjnVqbtrS1YPY7LhPGLx7iBUgApdvYDr1YY0KryX3NzrOPJhO5MuO9gkUWnNkEK0TyQQsB208UHtWBGui6Tz0QzlwSYgKEmfSVzkFAMILxGpKFWoUk0xOdP8-i8irB80k-ZwobC1SNQacM3DfUyILhW0qy4R7pogckTbdmBSFhjnUquk&avtc=1&avte=4&avts=1733739482,"Astarry Смартфон Горячие модели на мероприятии ""Черная пятница""!Pura 70 Pro имеет большой экран с диагональю 7,3 дюйма, а отпечаток пальца разблокируется!Поддержка сети 5G!Android 14!Длительное время автономной работы - 8000 мАч!Супер красивый дизайн с тремя камерами!Универсальная русская версия!Большой объем памяти 12 ГБ + 512 ГБ на ваш выбор~ Global 12/512 ГБ, черный матовый",Электроника (заглушка),Телефоны (заглушка),Телефоны (заглушка),Самое лучшее описание,https://ir.ozone.ru/s3/multimedia-1-7/wc350/7111936951.jpg
6,https://www.ozon.ru/product/astarry-smartfon-goryachie-modeli-na-meropriyatii-chernaya-pyatnitsa-pura-70-pro-imeet-bolshoy-1760064104/?advert=AAkB7AVWSLLqbOYwA99zp4qynW1jwUPkkTpQwKX2EjMIN1Och_ibWwKo-ZOrhBm37_iXI5Y263eaTOyCALtxq8Ml1CDP0d9Np6EkKLbKVi7pCaJsVnechkZpD7WV_MRhuXmbaN6k9zXXhMWRpjc5sPeNKLxrQoF9uH-TRhxfOEbg6xljmvaWeysVxW-njVSW9T5QDU_vQPIIOWVQtppeYJCwM8ZlMOyMKAZ9tkBYUd-VohLrAv3mAdRyTOofLhMDa6DM3yfOqcRiLo1pob8RivIsPq4-IVqnW6m_hNFlx0pPr-pfF9A2Bhjt62RsRM52DlybPeaTLSZDNcSKFHcVKvIZzOM0wZTX8r7vSP7RlgupdRPc06zZqMRlORcW3JZ2taYnKpaO2tEMcXk&avtc=1&avte=4&avts=1733739482,"Astarry Смартфон Горячие модели на мероприятии ""Черная пятница""!Pura 70 Pro имеет большой экран с диагональю 7,3 дюйма, а отпечаток пальца разблокируется!Поддержка сети 5G!Android 14!Длительное время автономной работы - 8000 мАч!Супер красивый дизайн с тремя камерами!Универсальная русская версия!Большой объем памяти 12 ГБ + 512 ГБ на ваш выбор~ Global 12/512 ГБ, светло-коричневый",Электроника (заглушка),Телефоны (заглушка),Телефоны (заглушка),Самое лучшее описание,https://ir.ozone.ru/s3/multimedia-1-b/wc350/7111936955.jpg
7,https://www.ozon.ru/product/astarry-smartfon-goryachie-modeli-na-meropriyatii-chernaya-pyatnitsa-pura-70-pro-imeet-bolshoy-ekran-1760064048/?advert=AAkBJsA3yaAGCErEwyl-jEMnZqoOGJ451aRcCLrRTBGvM9z9uSstZwO1eQ3-uQYglyOKZO7W1i5xvtJu3sgHa1O1nDKMrIIs4-glUI3wLXz0FIBoBH8WUgRhdCZ9-Erq3o7BJ4Iud2RXH06mV4apR0djOnNfXVS_FNlJjVZjdxRJD0ydK9i9wb2Fkl1z3vVDDWsw8-mOmMYTEk59Jt3kV3hXvfmgAg0Yg8Zydkihix9jUBiVXPNGhh0gxBNmJZhS6l-VcRErpB1R5iVu6lEhCKt-k__52a0XHKttoF4zYKlTuOFV9B4jlaWb1eD_7IRvLC84Q1k0Wr_7oG7yIKN2gRubPbRSqk2171BrnRu5ce5rHQDLNbyLCAoleb-bek27Cwm_eKllFW0bruQ&avtc=1&avte=4&avts=1733739482,"Astarry Смартфон Горячие модели на мероприятии ""Черная пятница""!Pura 70 Pro имеет большой экран с диагональю 7,3 дюйма, а отпечаток пальца разблокируется!Поддержка сети 5G!Android 14!Длительное время автономной работы - 8000 мАч!Супер красивый дизайн с тремя камерами!Универсальная русская версия!Большой объем памяти 12 ГБ + 512 ГБ на ваш выбор~ Global 12/512 ГБ, белый",Электроника (заглушка),Телефоны (заглушка),Телефоны (заглушка),Самое лучшее описание,https://ir.ozone.ru/s3/multimedia-1-f/wc350/7111936959.jpg
8,https://www.ozon.ru/product/tecno-smartfon-spark-go-1-rostest-eac-4-64-gb-chernyy-1713666103/?advert=AAkBNsKsbr0klGJyY5bMi4jLn5H38ENAsN7sMUhXjzQ17kskr7y9s-eOmYb7LwS484Wt8cCBhmzexFZqsfyFzKQGOA9eWUWb5ZEYzyI-u2S16RYcPn-wZDP1MXIr75ZnubMIhvKSTsVLaI5NqBur68XVBVEI085J25dud47kQXvajEMugys8BRy8gLOd35sNUMzrPjxNTlZadwUX52-DQqk9JB80s_E7MiOFwJ07n9hkDjQn_TDIh5VnNZ2P6xLwr1jJZVBxpxR5of4z0CxEm_LwQpBdC1Rmx7YMMVMINUdkBXreIS3ovy13FrW6DMHxGhhLAL2k4oygLFEDcXsqp2mPxkUSBQGnKx9wCOIZoMb_OvbFuN455XuyAFOKM-JB_mu9&avtc=2&avte=1&avts=1733739482,"Tecno Смартфон SPARK Go 1 Ростест (EAC) 4/64 ГБ, черный",Электроника (заглушка),Телефоны (заглушка),Телефоны (заглушка),Самое лучшее описание,https://ir.ozone.ru/s3/multimedia-1-w/wc350/7141182464.jpg
9,https://www.ozon.ru/product/iqoo-smartfon-z9-rostest-eac-8-256-gb-zelenyy-1730893892/?advert=AAkBoAgu5fItzdAgJKRjC_yfOJBrJ2t4xYmkUPW4SZwQiWJ7EamRmR6ICzTYoPBb8IxmUajP0Mb4Vldsfg0UX1PRIUV6aZRScz-Zf5lfkQqH4BfO58bUxi4F5VVxBKIz_414ZdknHhpn9hMbPMpoZ99lHhmeqq3sY5_fLZCq044_jEJ2HSXDjPQekd73vdS-O_u9iP01SyqU7u8jzF38ogTJdLlzXoD8Sty7G3Uh2hH2SEaF1B1vVcRrfshzvcat6nMJJ-4aOO254p4fmVwvEy7TNqAlqT40aAvIgzdgyRoG652t_9mFD-cG8CoaBJI7GfSWFzORrok9jP35cJ6DZlSdy7JPSXBFt4rW4C66CCL_H0dY3imWQ1ktIPLflaHxgETXYiH5eO8&avtc=1&avte=4&avts=1733739482,"IQOO Смартфон Z9 Ростест (EAC) 8/256 ГБ, зеленый",Электроника (заглушка),Телефоны (заглушка),Телефоны (заглушка),Самое лучшее описание,https://ir.ozone.ru/s3/multimedia-1-6/wc350/7198946934.jpg
10,https://www.ozon.ru/product/xiaomi-smartfon-redmi-a3-global-4-128-gb-goluboy-1421373477/?advert=AAkBA3aJ9wjhRkK0yI9qMHfSlv8Kph2QwkKjvy0rg655xy425IwjWkK71RGubJpk9ER1R5T2OSZVMtxAVM2QiG9Vzy9Q-quV5r30qnH1lAF4Ea9HY47dIsR3uXvGYVkxdoMSD_g47J7LBEg3WuwkNOm80fZM0pOWPp1N5ewH7Mu0CkcyZDMK_aebY8Z21inj733MkaEGcf95zXjcFCik2991EgOJeXck4um-KpHyqLqdNsQrzviGquBPoV0UiuzjukwNppK22m_N2B9Ov0gAT69x-jNax7y9XOekzO3KutozE_BjtgbiZz-5rUCDYK-1gzVvKESVejA9pyqJncoWwq7jyihDlPI7VlUyRbZUJbprLWQjMq2hHtOcgC98poey9k9L&avtc=1&avte=1&avts=1733739482,"Xiaomi Смартфон Redmi A3 Global 4/128 ГБ, голубой",Электроника (заглушка),Телефоны (заглушка),Телефоны (заглушка),Самое лучшее описание,https://ir.ozone.ru/s3/multimedia-1-e/wc350/6926405798.jpg
