item_id;title;price;initprice;discount;rating;reviews;url;img_url;cat1;cat2;cat3
100001;Go Тусить, а то вся жизнь мимо пройдет;1000000;1000000;-1000000;1000000;1000000;https://www.sochisirius.ru;https://drive.google.com/file/d/1wBEABAsPYHc57jOk_VAaKFXkCYohyQbk/view?usp=drive_link;tbank;sirius;easter_egg
100002;Пиу-пиу-пиу БУФ!;1000000;1000000;-1000000;1000000;1000000;https://www.sochisirius.ru;https://drive.google.com/file/d/1RIXl_MFTbw35854Yphxs4sP1iaKQikMu/view?usp=drive_link;tbank;sirius;easter_egg
100003;Смотри - там потолок в сеточку!;1000000;1000000;-1000000;1000000;1000000;https://www.sochisirius.ru;https://drive.google.com/file/d/14EoBiaXybor3C4d_0TS8NWe-G94BI_I4/view?usp=drive_link;tbank;sirius;easter_egg
100004;Мы умные и начитанные: в библиотеки ходим...;1000000;1000000;-1000000;1000000;1000000;https://www.sochisirius.ru;https://drive.google.com/file/d/1J4--BXyqHG4qPLlU1gmrKPDEl-yLqa4A/view?usp=drive_link;tbank;sirius;easter_egg
100005;Летим! Куда лететь...;1000000;1000000;-1000000;1000000;1000000;https://www.sochisirius.ru;https://drive.google.com/file/d/1y7zcKDcccMXiJW80N2poCwKqTvbYQlap/view?usp=drive_link;tbank;sirius;easter_egg
100006;Плюс вайбик;1000000;1000000;-1000000;1000000;1000000;https://www.sochisirius.ru;https://drive.google.com/file/d/1kG6itDP9ACD1HOA4QkddNR1v3xdGJAtC/view?usp=drive_link;tbank;sirius;easter_egg
100007;Цитаты + Зеркало = фото;1000000;1000000;-1000000;1000000;1000000;https://www.sochisirius.ru;https://drive.google.com/file/d/1IEy-jmILug1_ElMDN7XO66ZY3S6lrj2e/view?usp=drive_link;tbank;sirius;easter_egg
100008;Деревья, что еще сказать;1000000;1000000;-1000000;1000000;1000000;https://www.sochisirius.ru;https://drive.google.com/file/d/1X-71ocuwWRvEABTxZCg3ttDwPSwevRJg/view?usp=drive_link;tbank;sirius;easter_egg
100009;Замок - концептуальненько;1000000;1000000;-1000000;1000000;1000000;https://www.sochisirius.ru;https://drive.google.com/file/d/1It7i84En_mRE3z1Lw5D6XSkvK4480Bl4/view?usp=drive_link;tbank;sirius;easter_egg
100010;Да,да, мы тут были! (v.1);1000000;1000000;-1000000;1000000;1000000;https://www.sochisirius.ru;https://drive.google.com/file/d/1O4NquNMiKejkpzFbHae5atWIoWCjdwDR/view?usp=drive_link;tbank;sirius;easter_egg
100011;Да,да, мы тут были! (v.2);1000000;1000000;-1000000;1000000;1000000;https://www.sochisirius.ru;https://drive.google.com/file/d/1UKbd5e0UHpYOh-IB4cb1aPipurWk56Wa/view?usp=drive_link;tbank;sirius;easter_egg
100012;В принципе база) Айтишечка 2027 be like...;1000000;1000000;-1000000;1000000;1000000;https://www.sochisirius.ru;https://drive.google.com/file/d/1JDiZ3T-H-V0iSzT5XP16AczMZLolqF8D/view?usp=drive_link;tbank;sirius;easter_egg
100013;Типа у костерка греемся) True, original);1000000;1000000;-1000000;1000000;1000000;https://www.sochisirius.ru;https://drive.google.com/file/d/13ZxJf05gNkVPlDcAs4fQC6jiL_G2_u5c/view?usp=drive_link;tbank;sirius;easter_egg
100014;Лавандовый раф, пожалуйста!;1000000;1000000;-1000000;1000000;1000000;https://www.sochisirius.ru;https://drive.google.com/file/d/1m-anULsqydArG1jfk99RCtJ7pj0p2-tn/view?usp=drive_link;tbank;sirius;easter_egg
100015;Море и пальмы - красиво;1000000;1000000;-1000000;1000000;1000000;https://www.sochisirius.ru;https://drive.google.com/file/d/1ad1Xi2IbL7AntJ9ZlTATYJJi8E4_oJlz/view?usp=drive_link;tbank;sirius;easter_egg
100016;Волны делают - пшшш, а мы фотографии;1000000;1000000;-1000000;1000000;1000000;https://www.sochisirius.ru;https://drive.google.com/file/d/1RBxiMTWlt-snJbgn5LptJM0ILhO81l0H/view?usp=drive_link;tbank;sirius;easter_egg
100017;Джун опять ничего не понял, но знает, что скоро новый год и говорит, что после празников все сделает;1000000;1000000;-1000000;1000000;1000000;https://www.sochisirius.ru;https://drive.google.com/file/d/1k5rmr961Zd2t6lUGdxmFgQTkLr0ctOl7/view?usp=drive_link;tbank;sirius;easter_egg
100018;Мне некогда, мне надо зарабатывать;1000000;1000000;-1000000;1000000;1000000;https://www.sochisirius.ru;https://drive.google.com/file/d/18ZKNEZX9-S9qIrEP3sV9kQzunbt5Yy5U/view?usp=drive_link;tbank;sirius;easter_egg
100019;Мне некогда, надо писать код, чтобы money counter делал фрррррр, дзыньк;1000000;1000000;-1000000;1000000;1000000;https://www.sochisirius.ru;https://drive.google.com/file/d/1YMPxCsJ66nqep5irCwC0aVvock0INnYr/view?usp=drive_link;tbank;sirius;easter_egg
100020;И зачем ты меня из автомата достал;1000000;1000000;-1000000;1000000;1000000;https://www.sochisirius.ru;https://drive.google.com/file/d/12mfFxMN8N6euKnH4pMmRMrKjhGdvEL_u/view?usp=drive_link;tbank;sirius;easter_egg
100021;Не нам судить, но мы обсудим;1000000;1000000;-1000000;1000000;1000000;https://www.sochisirius.ru;https://drive.google.com/file/d/1IWt05N_nyRIUcj-anw1aYaf8LdxK-mdQ/view?usp=drive_link;tbank;sirius;easter_egg
100022;Без шоколадного фонтана, но счастливые!;1000000;1000000;-1000000;1000000;1000000;https://www.sochisirius.ru;https://drive.google.com/file/d/1fJddfa57g2N4-zBwcnwuEoNEeALlj6ZY/view?usp=drive_link;tbank;sirius;easter_egg
100023;EEEE, ЛАМА!;1000000;1000000;-1000000;1000000;1000000;https://www.sochisirius.ru;https://drive.google.com/file/d/1htPuaCZq8FDw7TLaGrVasN6p-0AutyOo/view?usp=drive_link;tbank;sirius;easter_egg
100024;Born to be cool (бАльШие букАвки);1000000;1000000;-1000000;1000000;1000000;https://www.sochisirius.ru;https://drive.google.com/file/d/1RBEVDX7HpIlI6EbASPUGFBtaERKmXsfS/view?usp=drive_link;tbank;sirius;easter_egg
100025;Про чаек не забываем;1000000;1000000;-1000000;1000000;1000000;https://www.sochisirius.ru;https://drive.google.com/file/d/10n5BZ_s7CCYUnPc5U2YWiaUP3kpVhmb2/view?usp=drive_link;tbank;sirius;easter_egg
100026;Вас ждет удача в новом году!;1000000;1000000;-1000000;1000000;1000000;https://www.sochisirius.ru;https://drive.google.com/file/d/1Uct8ay-bWM_y65ttlQikh8jr6gNHL7Fn/view?usp=drive_link;tbank;sirius;easter_egg
100027;Тут даже минигольф есть...;1000000;1000000;-1000000;1000000;1000000;https://www.sochisirius.ru;https://drive.google.com/file/d/1CwwiFtX7syz4WeE7Nn2gFzMi8Y9K8AzZ/view?usp=drive_link;tbank;sirius;easter_egg
100028;Ca-pi-ba-ra, Capibara,Capibara,Capibara,Capibara;1000000;1000000;-1000000;1000000;1000000;https://www.sochisirius.ru;https://drive.google.com/file/d/1CX6Zu4V_GUc_DAr6GnuRBgMBk7EFcbmX/view?usp=drive_link;tbank;sirius;easter_egg
100029;Красивенько;1000000;1000000;-1000000;1000000;1000000;https://www.sochisirius.ru;https://drive.google.com/file/d/1eyGH3FR13YywsyVdW-F6rUOXSlCm_-c8/view?usp=drive_link;tbank;sirius;easter_egg
100030;Высоко забрался - главное не скатиться);1000000;1000000;-1000000;1000000;1000000;https://www.sochisirius.ru;https://drive.google.com/file/d/17UvDAH24XjfYS2xeW0bxXgM49K5FrceK/view?usp=drive_link;tbank;sirius;easter_egg
