cat_name;cat_url;sub_cat_name;sub_cat_url;sub_sub_cat_name;sub_sub_cat_url
Детские товары;https://www.ozon.ru/category/detskie-tovary-7000/;Товары для школы и обучения;https://www.ozon.ru/category/tovary-dlya-shkoly-7182/;Товары для школы и обучения;https://www.ozon.ru/category/tovary-dlya-shkoly-7182/
Детские товары;https://www.ozon.ru/category/detskie-tovary-7000/;Товары для школы и обучения;https://www.ozon.ru/category/tovary-dlya-shkoly-7182/;Рюкзаки, ранцы, сумки;https://www.ozon.ru/category/ryukzaki-rantsy-sumki-dlya-shkoly-7201/
Детские товары;https://www.ozon.ru/category/detskie-tovary-7000/;Товары для школы и обучения;https://www.ozon.ru/category/tovary-dlya-shkoly-7182/;Канцелярские принадлежности;https://www.ozon.ru/category/kantselyarskie-prinadlezhnosti-7184/
Детские товары;https://www.ozon.ru/category/detskie-tovary-7000/;Товары для школы и обучения;https://www.ozon.ru/category/tovary-dlya-shkoly-7182/;Письменные принадлежности;https://www.ozon.ru/category/pismennye-prinadlezhnosti-7192/
Детские товары;https://www.ozon.ru/category/detskie-tovary-7000/;Товары для школы и обучения;https://www.ozon.ru/category/tovary-dlya-shkoly-7182/;Чертежные принадлежности;https://www.ozon.ru/category/chertezhnye-prinadlezhnosti-dlya-shkoly-39784/
Детские товары;https://www.ozon.ru/category/detskie-tovary-7000/;Товары для школы и обучения;https://www.ozon.ru/category/tovary-dlya-shkoly-7182/;Глобусы и астропланетарии;https://www.ozon.ru/category/globusy-7183/
Детские товары;https://www.ozon.ru/category/detskie-tovary-7000/;Товары для школы и обучения;https://www.ozon.ru/category/tovary-dlya-shkoly-7182/;Обучающие материалы и пособия;https://www.ozon.ru/category/obuchayushchie-plakaty-7106/
Детские товары;https://www.ozon.ru/category/detskie-tovary-7000/;Товары для школы и обучения;https://www.ozon.ru/category/tovary-dlya-shkoly-7182/;Счетный материал;https://www.ozon.ru/category/igrushki-dlya-scheta-7263/
Детские товары;https://www.ozon.ru/category/detskie-tovary-7000/;Товары для школы и обучения;https://www.ozon.ru/category/tovary-dlya-shkoly-7182/;Творчество в школе;https://www.ozon.ru/category/tvorchestvo-v-shkole-31470/
Детские товары;https://www.ozon.ru/category/detskie-tovary-7000/;Товары для школы и обучения;https://www.ozon.ru/category/tovary-dlya-shkoly-7182/;Тетради, блокноты и дневники;https://www.ozon.ru/category/tetradi-bloknoty-dnevniki-7205/
Детские товары;https://www.ozon.ru/category/detskie-tovary-7000/;Товары для школы и обучения;https://www.ozon.ru/category/tovary-dlya-shkoly-7182/;Электронные карты и браслеты;https://www.ozon.ru/category/elektronnye-karty-i-braslety-shkolnika-31967/
Детские товары;https://www.ozon.ru/category/detskie-tovary-7000/;Игрушки и игры;https://www.ozon.ru/category/igrushki-i-igry-7108/;Игрушки и игры;https://www.ozon.ru/category/igrushki-i-igry-7108/
Детские товары;https://www.ozon.ru/category/detskie-tovary-7000/;Игрушки и игры;https://www.ozon.ru/category/igrushki-i-igry-7108/;Мягкие игрушки;https://www.ozon.ru/category/myagkie-igrushki-7175/
Детские товары;https://www.ozon.ru/category/detskie-tovary-7000/;Игрушки и игры;https://www.ozon.ru/category/igrushki-i-igry-7108/;Игрушечное оружие;https://www.ozon.ru/category/igrushechnoe-oruzhie-i-blastery-7141/
Детские товары;https://www.ozon.ru/category/detskie-tovary-7000/;Игрушки и игры;https://www.ozon.ru/category/igrushki-i-igry-7108/;Конструкторы;https://www.ozon.ru/category/konstruktory-7174/
Детские товары;https://www.ozon.ru/category/detskie-tovary-7000/;Игрушки и игры;https://www.ozon.ru/category/igrushki-i-igry-7108/;Игрушки для малышей;https://www.ozon.ru/category/igrushki-dlya-malyshey-7119/
Детские товары;https://www.ozon.ru/category/detskie-tovary-7000/;Игрушки и игры;https://www.ozon.ru/category/igrushki-i-igry-7108/;Игрушки для ванной;https://www.ozon.ru/category/igrushki-dlya-vannoy-7121/
Детские товары;https://www.ozon.ru/category/detskie-tovary-7000/;Игрушки и игры;https://www.ozon.ru/category/igrushki-i-igry-7108/;Куклы и аксессуары;https://www.ozon.ru/category/kukly-i-aksessuary-31272/
Детские товары;https://www.ozon.ru/category/detskie-tovary-7000/;Игрушки и игры;https://www.ozon.ru/category/igrushki-i-igry-7108/;Фигурки и аксессуары;https://www.ozon.ru/category/figurki-i-aksessuary-7169/
Детские товары;https://www.ozon.ru/category/detskie-tovary-7000/;Игрушки и игры;https://www.ozon.ru/category/igrushki-i-igry-7108/;Сюжетно-ролевые игрушки;https://www.ozon.ru/category/syuzhetno-rolevye-igrushki-7112/
Детские товары;https://www.ozon.ru/category/detskie-tovary-7000/;Игрушки и игры;https://www.ozon.ru/category/igrushki-i-igry-7108/;Игрушечный транспорт;https://www.ozon.ru/category/igrushechnye-mashinki-i-tehnika-7142/
