cat_name;cat_url;sub_cat_name;sub_cat_url;sub_sub_cat_name;sub_sub_cat_url
Дом и сад;https://www.ozon.ru/category/dom-i-sad-14500/;Посуда и кухонные принадлежности;https://www.ozon.ru/category/posuda-i-kuhonnye-prinadlezhnosti-14501/;Посуда и кухонные принадлежности;https://www.ozon.ru/category/posuda-i-kuhonnye-prinadlezhnosti-14501/
Дом и сад;https://www.ozon.ru/category/dom-i-sad-14500/;Посуда и кухонные принадлежности;https://www.ozon.ru/category/posuda-i-kuhonnye-prinadlezhnosti-14501/;Посуда для приготовления;https://www.ozon.ru/category/posuda-dlya-prigotovleniya-19005/
Дом и сад;https://www.ozon.ru/category/dom-i-sad-14500/;Посуда и кухонные принадлежности;https://www.ozon.ru/category/posuda-i-kuhonnye-prinadlezhnosti-14501/;Кухонные принадлежности;https://www.ozon.ru/category/kuhonnye-prinadlezhnosti-30711/
Дом и сад;https://www.ozon.ru/category/dom-i-sad-14500/;Посуда и кухонные принадлежности;https://www.ozon.ru/category/posuda-i-kuhonnye-prinadlezhnosti-14501/;Ножи и разделочные доски;https://www.ozon.ru/category/nozhi-i-razdelochnye-doski-19006/
Дом и сад;https://www.ozon.ru/category/dom-i-sad-14500/;Посуда и кухонные принадлежности;https://www.ozon.ru/category/posuda-i-kuhonnye-prinadlezhnosti-14501/;Столовая посуда;https://www.ozon.ru/category/stolovaya-posuda-19013/
Дом и сад;https://www.ozon.ru/category/dom-i-sad-14500/;Посуда и кухонные принадлежности;https://www.ozon.ru/category/posuda-i-kuhonnye-prinadlezhnosti-14501/;Чайники и кофейники;https://www.ozon.ru/category/chayniki-i-kofeyniki-30814/
Дом и сад;https://www.ozon.ru/category/dom-i-sad-14500/;Посуда и кухонные принадлежности;https://www.ozon.ru/category/posuda-i-kuhonnye-prinadlezhnosti-14501/;Бар;https://www.ozon.ru/category/bar-14525/
Дом и сад;https://www.ozon.ru/category/dom-i-sad-14500/;Посуда и кухонные принадлежности;https://www.ozon.ru/category/posuda-i-kuhonnye-prinadlezhnosti-14501/;Столовые приборы;https://www.ozon.ru/category/stolovye-pribory-14545/
Дом и сад;https://www.ozon.ru/category/dom-i-sad-14500/;Посуда и кухонные принадлежности;https://www.ozon.ru/category/posuda-i-kuhonnye-prinadlezhnosti-14501/;Предметы для сервировки стола;https://www.ozon.ru/category/predmety-dlya-servirovki-stola-39162/
Дом и сад;https://www.ozon.ru/category/dom-i-sad-14500/;Посуда и кухонные принадлежности;https://www.ozon.ru/category/posuda-i-kuhonnye-prinadlezhnosti-14501/;Товары для консервирования;https://www.ozon.ru/category/tovary-dlya-konservirovaniya-19023/
