cat_name;cat_url;sub_cat_name;sub_cat_url;sub_sub_cat_name;sub_sub_cat_url
Электроника;https://www.ozon.ru/category/elektronika-15500/?__rr=1&abt_att=1;Телефоны и смарт-часы;https://www.ozon.ru/category/telefony-i-smart-chasy-15501/?__rr=1&abt_att=1;Телефоны и смарт-часы;https://www.ozon.ru/category/telefony-i-smart-chasy-15501/?__rr=1&abt_att=1
Электроника;https://www.ozon.ru/category/elektronika-15500/?__rr=1&abt_att=1;Телефоны и смарт-часы;https://www.ozon.ru/category/telefony-i-smart-chasy-15501/?__rr=1&abt_att=1;Смартфоны;https://www.ozon.ru/category/smartfony-15502/?__rr=1&abt_att=1
Электроника;https://www.ozon.ru/category/elektronika-15500/?__rr=1&abt_att=1;Телефоны и смарт-часы;https://www.ozon.ru/category/telefony-i-smart-chasy-15501/?__rr=1&abt_att=1;Аксессуары для смартфонов и телефонов;https://www.ozon.ru/category/aksessuary-dlya-telefonov-15511/?__rr=1&abt_att=1
Электроника;https://www.ozon.ru/category/elektronika-15500/?__rr=1&abt_att=1;Телефоны и смарт-часы;https://www.ozon.ru/category/telefony-i-smart-chasy-15501/?__rr=1&abt_att=1;Смарт-часы;https://www.ozon.ru/category/umnye-chasy-15516/?__rr=1&abt_att=1
Электроника;https://www.ozon.ru/category/elektronika-15500/?__rr=1&abt_att=1;Телефоны и смарт-часы;https://www.ozon.ru/category/telefony-i-smart-chasy-15501/?__rr=1&abt_att=1;Фитнес-браслеты;https://www.ozon.ru/category/fitnes-braslety-15519/?__rr=1&abt_att=1
Электроника;https://www.ozon.ru/category/elektronika-15500/?__rr=1&abt_att=1;Телефоны и смарт-часы;https://www.ozon.ru/category/telefony-i-smart-chasy-15501/?__rr=1&abt_att=1;Ремешки для смарт-часов и фитнес-браслетов;https://www.ozon.ru/category/remeshki-dlya-smart-chasov-15517/?__rr=1&abt_att=1
Электроника;https://www.ozon.ru/category/elektronika-15500/?__rr=1&abt_att=1;Наушники и аудиотехника;https://www.ozon.ru/category/audiotehnika-15543/?__rr=1&abt_att=1;Наушники и аудиотехника;https://www.ozon.ru/category/audiotehnika-15543/?__rr=1&abt_att=1
Электроника;https://www.ozon.ru/category/elektronika-15500/?__rr=1&abt_att=1;Наушники и аудиотехника;https://www.ozon.ru/category/audiotehnika-15543/?__rr=1&abt_att=1;Наушники;https://www.ozon.ru/category/naushniki-15547/?__rr=1&abt_att=1
Электроника;https://www.ozon.ru/category/elektronika-15500/?__rr=1&abt_att=1;Наушники и аудиотехника;https://www.ozon.ru/category/audiotehnika-15543/?__rr=1&abt_att=1;Беспроводные колонки;https://www.ozon.ru/category/portativnaya-akustika-15588/?__rr=1&abt_att=1
Электроника;https://www.ozon.ru/category/elektronika-15500/?__rr=1&abt_att=1;Наушники и аудиотехника;https://www.ozon.ru/category/audiotehnika-15543/?__rr=1&abt_att=1;Умные колонки;https://www.ozon.ru/category/umnye-kolonki-31337/?__rr=1&abt_att=1
