cat_name;cat_url;sub_cat_name;sub_cat_url;sub_sub_cat_name;sub_sub_cat_url
Канцелярские товары;https://www.ozon.ru/category/kantselyarskie-tovary-18000/;Письменные принадлежности;https://www.ozon.ru/category/pismennye-prinadlezhnosti-18015/;Письменные принадлежности;https://www.ozon.ru/category/pismennye-prinadlezhnosti-18015/
Канцелярские товары;https://www.ozon.ru/category/kantselyarskie-tovary-18000/;Письменные принадлежности;https://www.ozon.ru/category/pismennye-prinadlezhnosti-18015/;Ручки;https://www.ozon.ru/category/ruchki-18016/
Канцелярские товары;https://www.ozon.ru/category/kantselyarskie-tovary-18000/;Письменные принадлежности;https://www.ozon.ru/category/pismennye-prinadlezhnosti-18015/;Маркеры;https://www.ozon.ru/category/markery-18019/
Канцелярские товары;https://www.ozon.ru/category/kantselyarskie-tovary-18000/;Письменные принадлежности;https://www.ozon.ru/category/pismennye-prinadlezhnosti-18015/;Карандаши;https://www.ozon.ru/category/karandashi-7193/
Канцелярские товары;https://www.ozon.ru/category/kantselyarskie-tovary-18000/;Письменные принадлежности;https://www.ozon.ru/category/pismennye-prinadlezhnosti-18015/;Фломастеры;https://www.ozon.ru/category/flomastery-18020/
Канцелярские товары;https://www.ozon.ru/category/kantselyarskie-tovary-18000/;Письменные принадлежности;https://www.ozon.ru/category/pismennye-prinadlezhnosti-18015/;Кисти;https://www.ozon.ru/category/kisti-18021/
Канцелярские товары;https://www.ozon.ru/category/kantselyarskie-tovary-18000/;Письменные принадлежности;https://www.ozon.ru/category/pismennye-prinadlezhnosti-18015/;Ластики;https://www.ozon.ru/category/lastiki-18093/
Канцелярские товары;https://www.ozon.ru/category/kantselyarskie-tovary-18000/;Письменные принадлежности;https://www.ozon.ru/category/pismennye-prinadlezhnosti-18015/;Мелки и пастель;https://www.ozon.ru/category/melki-i-pastel-18024/
Канцелярские товары;https://www.ozon.ru/category/kantselyarskie-tovary-18000/;Письменные принадлежности;https://www.ozon.ru/category/pismennye-prinadlezhnosti-18015/;Перья;https://www.ozon.ru/category/perya-18022/
Канцелярские товары;https://www.ozon.ru/category/kantselyarskie-tovary-18000/;Письменные принадлежности;https://www.ozon.ru/category/pismennye-prinadlezhnosti-18015/;Принадлежности по Брайлю;https://www.ozon.ru/category/pismennye-prinadlezhnosti-po-braylyu-37228/
Канцелярские товары;https://www.ozon.ru/category/kantselyarskie-tovary-18000/;Письменные принадлежности;https://www.ozon.ru/category/pismennye-prinadlezhnosti-18015/;Канцелярские наборы;https://www.ozon.ru/category/kantselyarskie-nabory-18023/
Канцелярские товары;https://www.ozon.ru/category/kantselyarskie-tovary-18000/;Письменные принадлежности;https://www.ozon.ru/category/pismennye-prinadlezhnosti-18015/;Аксессуары и расходники для карандашей;https://www.ozon.ru/category/aksessuary-i-rashodniki-dlya-karandashey-30398/
Канцелярские товары;https://www.ozon.ru/category/kantselyarskie-tovary-18000/;Письменные принадлежности;https://www.ozon.ru/category/pismennye-prinadlezhnosti-18015/;Аксессуары и расходники для ручек;https://www.ozon.ru/category/aksessuary-i-rashodniki-dlya-ruchek-18017/
Канцелярские товары;https://www.ozon.ru/category/kantselyarskie-tovary-18000/;Письменные принадлежности;https://www.ozon.ru/category/pismennye-prinadlezhnosti-18015/;Аксессуары и расходники для маркеров;https://www.ozon.ru/category/aksessuary-i-rashodniki-dlya-markerov-38003/
Канцелярские товары;https://www.ozon.ru/category/kantselyarskie-tovary-18000/;Бумага;https://www.ozon.ru/category/bumaga-18001/;Бумага;https://www.ozon.ru/category/bumaga-18001/
Канцелярские товары;https://www.ozon.ru/category/kantselyarskie-tovary-18000/;Бумага;https://www.ozon.ru/category/bumaga-18001/;Бумага для печати;https://www.ozon.ru/category/bumaga-dlya-pechati-18002/
