cat_name;cat_url;sub_cat_name;sub_cat_url;sub_sub_cat_name;sub_sub_cat_url
Книги;https://www.ozon.ru/category/knigi-16500/;Нехудожественная литература;https://www.ozon.ru/category/nehudozhestvennaya-literatura-16511/;Нехудожественная литература;https://www.ozon.ru/category/nehudozhestvennaya-literatura-16511/
Книги;https://www.ozon.ru/category/knigi-16500/;Нехудожественная литература;https://www.ozon.ru/category/nehudozhestvennaya-literatura-16511/;Саморазвитие;https://www.ozon.ru/category/samorazvitie-32618/
Книги;https://www.ozon.ru/category/knigi-16500/;Нехудожественная литература;https://www.ozon.ru/category/nehudozhestvennaya-literatura-16511/;Психология;https://www.ozon.ru/category/populyarnaya-psihologiya-samorazvitie-40011/
Книги;https://www.ozon.ru/category/knigi-16500/;Нехудожественная литература;https://www.ozon.ru/category/nehudozhestvennaya-literatura-16511/;Научная литература;https://www.ozon.ru/category/nauchnaya-literatura-40021/
Книги;https://www.ozon.ru/category/knigi-16500/;Нехудожественная литература;https://www.ozon.ru/category/nehudozhestvennaya-literatura-16511/;Медицина;https://www.ozon.ru/category/meditsina-16551/
Книги;https://www.ozon.ru/category/knigi-16500/;Нехудожественная литература;https://www.ozon.ru/category/nehudozhestvennaya-literatura-16511/;Юридическая литература;https://www.ozon.ru/category/pravo-40022/
Книги;https://www.ozon.ru/category/knigi-16500/;Нехудожественная литература;https://www.ozon.ru/category/nehudozhestvennaya-literatura-16511/;Искусство и культура;https://www.ozon.ru/category/iskusstvo-i-fotografiya-40013/
Книги;https://www.ozon.ru/category/knigi-16500/;Нехудожественная литература;https://www.ozon.ru/category/nehudozhestvennaya-literatura-16511/;История;https://www.ozon.ru/category/istoriya-16552/
Книги;https://www.ozon.ru/category/knigi-16500/;Нехудожественная литература;https://www.ozon.ru/category/nehudozhestvennaya-literatura-16511/;Публицистика;https://www.ozon.ru/category/publitsistika-16518/
Книги;https://www.ozon.ru/category/knigi-16500/;Нехудожественная литература;https://www.ozon.ru/category/nehudozhestvennaya-literatura-16511/;Эзотерика и спиритизм;https://www.ozon.ru/category/ezoterika-i-spiritizm-40016/
Книги;https://www.ozon.ru/category/knigi-16500/;Нехудожественная литература;https://www.ozon.ru/category/nehudozhestvennaya-literatura-16511/;Кулинарные книги;https://www.ozon.ru/category/kulinarnye-knigi-40018/
Книги;https://www.ozon.ru/category/knigi-16500/;Нехудожественная литература;https://www.ozon.ru/category/nehudozhestvennaya-literatura-16511/;Домоводство и хобби;https://www.ozon.ru/category/dom-i-hobbi-40019/
