cat_name;cat_url;sub_cat_name;sub_cat_url;sub_sub_cat_name;sub_sub_cat_url
Красота и здоровье;https://www.ozon.ru/category/krasota-i-zdorove-6500/;Уход за волосами;https://www.ozon.ru/category/uhod-za-volosami-6584/;Уход за волосами;https://www.ozon.ru/category/uhod-za-volosami-6584/
Красота и здоровье;https://www.ozon.ru/category/krasota-i-zdorove-6500/;Уход за волосами;https://www.ozon.ru/category/uhod-za-volosami-6584/;Шампуни и кондиционеры;https://www.ozon.ru/category/shampuni-i-konditsionery-35438/
Красота и здоровье;https://www.ozon.ru/category/krasota-i-zdorove-6500/;Уход за волосами;https://www.ozon.ru/category/uhod-za-volosami-6584/;Маски и сыворотки;https://www.ozon.ru/category/maski-i-syvorotki-6587/
Красота и здоровье;https://www.ozon.ru/category/krasota-i-zdorove-6500/;Уход за волосами;https://www.ozon.ru/category/uhod-za-volosami-6584/;Средства для укладки;https://www.ozon.ru/category/sredstva-dlya-ukladki-volos-6601/
Красота и здоровье;https://www.ozon.ru/category/krasota-i-zdorove-6500/;Уход за волосами;https://www.ozon.ru/category/uhod-za-volosami-6584/;Расчески и щетки;https://www.ozon.ru/category/rascheski-i-shchetki-6629/
Красота и здоровье;https://www.ozon.ru/category/krasota-i-zdorove-6500/;Уход за волосами;https://www.ozon.ru/category/uhod-za-volosami-6584/;Окрашивание и химическая завивка;https://www.ozon.ru/category/okrashivanie-i-himicheskaya-zavivka-6616/
Красота и здоровье;https://www.ozon.ru/category/krasota-i-zdorove-6500/;Уход за волосами;https://www.ozon.ru/category/uhod-za-volosami-6584/;Косметические наборы;https://www.ozon.ru/category/kosmeticheskie-nabory-dlya-volos-6682/
Красота и здоровье;https://www.ozon.ru/category/krasota-i-zdorove-6500/;Уход за волосами;https://www.ozon.ru/category/uhod-za-volosami-6584/;Наращивание волос;https://www.ozon.ru/category/snyatie-narashchennyh-volos-32123/
Красота и здоровье;https://www.ozon.ru/category/krasota-i-zdorove-6500/;Уход за волосами;https://www.ozon.ru/category/uhod-za-volosami-6584/;Флаконы и шапочки для душа;https://www.ozon.ru/category/flakony-dorozhnye-6691/
Красота и здоровье;https://www.ozon.ru/category/krasota-i-zdorove-6500/;Уход за волосами;https://www.ozon.ru/category/uhod-za-volosami-6584/;Бигуди;https://www.ozon.ru/category/bigudi-6635/
Красота и здоровье;https://www.ozon.ru/category/krasota-i-zdorove-6500/;Уход за волосами;https://www.ozon.ru/category/uhod-za-volosami-6584/;Парики и шиньоны;https://www.ozon.ru/category/pariki-i-shinony-6636/
Красота и здоровье;https://www.ozon.ru/category/krasota-i-zdorove-6500/;Уход за волосами;https://www.ozon.ru/category/uhod-za-volosami-6584/;Профессиональные инструменты парикмахера;https://www.ozon.ru/category/professionalnye-instrumenty-parikmahera-30674/
Красота и здоровье;https://www.ozon.ru/category/krasota-i-zdorove-6500/;Уход за лицом;https://www.ozon.ru/category/uhod-za-litsom-6559/;Уход за лицом;https://www.ozon.ru/category/uhod-za-litsom-6559/
Красота и здоровье;https://www.ozon.ru/category/krasota-i-zdorove-6500/;Уход за лицом;https://www.ozon.ru/category/uhod-za-litsom-6559/;Очищение и умывание;https://www.ozon.ru/category/ochishchenie-6560/
Красота и здоровье;https://www.ozon.ru/category/krasota-i-zdorove-6500/;Уход за лицом;https://www.ozon.ru/category/uhod-za-litsom-6559/;Скрабы и пилинги;https://www.ozon.ru/category/skraby-dlya-litsa-6583/
Красота и здоровье;https://www.ozon.ru/category/krasota-i-zdorove-6500/;Уход за лицом;https://www.ozon.ru/category/uhod-za-litsom-6559/;Увлажнение и питание;https://www.ozon.ru/category/uvlazhnenie-i-pitanie-6561/
Красота и здоровье;https://www.ozon.ru/category/krasota-i-zdorove-6500/;Уход за лицом;https://www.ozon.ru/category/uhod-za-litsom-6559/;Маски;https://www.ozon.ru/category/maski-dlya-litsa-30937/
Красота и здоровье;https://www.ozon.ru/category/krasota-i-zdorove-6500/;Уход за лицом;https://www.ozon.ru/category/uhod-za-litsom-6559/;Патчи;https://www.ozon.ru/category/patchi-kosmeticheskie-6577/
Красота и здоровье;https://www.ozon.ru/category/krasota-i-zdorove-6500/;Уход за лицом;https://www.ozon.ru/category/uhod-za-litsom-6559/;Средства для проблемной кожи;https://www.ozon.ru/category/sredstva-dlya-problemnoy-kozhi-6581/
Красота и здоровье;https://www.ozon.ru/category/krasota-i-zdorove-6500/;Уход за лицом;https://www.ozon.ru/category/uhod-za-litsom-6559/;Антивозрастной уход;https://www.ozon.ru/category/antivozrastnoy-uhod-38000/
Красота и здоровье;https://www.ozon.ru/category/krasota-i-zdorove-6500/;Уход за лицом;https://www.ozon.ru/category/uhod-za-litsom-6559/;Наборы средств для лица;https://www.ozon.ru/category/nabory-sredstv-dlya-litsa-30521/
Красота и здоровье;https://www.ozon.ru/category/krasota-i-zdorove-6500/;Уход за лицом;https://www.ozon.ru/category/uhod-za-litsom-6559/;Инструменты косметологические;https://www.ozon.ru/category/instrumenty-kosmetologicheskie-31614/
Красота и здоровье;https://www.ozon.ru/category/krasota-i-zdorove-6500/;Уход за телом;https://www.ozon.ru/category/uhod-za-telom-6637/;Уход за телом;https://www.ozon.ru/category/uhod-za-telom-6637/
Красота и здоровье;https://www.ozon.ru/category/krasota-i-zdorove-6500/;Уход за телом;https://www.ozon.ru/category/uhod-za-telom-6637/;Кремы;https://www.ozon.ru/category/kremy-dlya-tela-6648/
Красота и здоровье;https://www.ozon.ru/category/krasota-i-zdorove-6500/;Уход за телом;https://www.ozon.ru/category/uhod-za-telom-6637/;Увлажнение и питание;https://www.ozon.ru/category/uvlazhnenie-i-pitanie-dlya-tela-31294/
Красота и здоровье;https://www.ozon.ru/category/krasota-i-zdorove-6500/;Уход за телом;https://www.ozon.ru/category/uhod-za-telom-6637/;Средства для душа;https://www.ozon.ru/category/geli-dlya-dusha-6638/
Красота и здоровье;https://www.ozon.ru/category/krasota-i-zdorove-6500/;Уход за телом;https://www.ozon.ru/category/uhod-za-telom-6637/;Мыло;https://www.ozon.ru/category/mylo-6639/
