cat_name;cat_url;sub_cat_name;sub_cat_url;sub_sub_cat_name;sub_sub_cat_url
Мебель;https://www.ozon.ru/category/mebel-15000/;Садовая мебель;https://www.ozon.ru/category/sadovaya-mebel-15155/;Садовая мебель;https://www.ozon.ru/category/sadovaya-mebel-15155/
Мебель;https://www.ozon.ru/category/mebel-15000/;Садовая мебель;https://www.ozon.ru/category/sadovaya-mebel-15155/;Комплекты мебели;https://www.ozon.ru/category/komplekty-sadovoy-mebeli-14684/
Мебель;https://www.ozon.ru/category/mebel-15000/;Садовая мебель;https://www.ozon.ru/category/sadovaya-mebel-15155/;Столы;https://www.ozon.ru/category/stoly-sadovye-33340/
Мебель;https://www.ozon.ru/category/mebel-15000/;Садовая мебель;https://www.ozon.ru/category/sadovaya-mebel-15155/;Диваны;https://www.ozon.ru/category/sadovye-divany-14685/
Мебель;https://www.ozon.ru/category/mebel-15000/;Садовая мебель;https://www.ozon.ru/category/sadovaya-mebel-15155/;Стулья и кресла;https://www.ozon.ru/category/stulya-i-kresla-sadovye-33239/
Мебель;https://www.ozon.ru/category/mebel-15000/;Садовая мебель;https://www.ozon.ru/category/sadovaya-mebel-15155/;Скамейки;https://www.ozon.ru/category/skameyki-14688/
Мебель;https://www.ozon.ru/category/mebel-15000/;Садовая мебель;https://www.ozon.ru/category/sadovaya-mebel-15155/;Тенты и шатры;https://www.ozon.ru/category/tenty-i-shatry-14690/
Мебель;https://www.ozon.ru/category/mebel-15000/;Садовая мебель;https://www.ozon.ru/category/sadovaya-mebel-15155/;Качели-гнезда и гамаки;https://www.ozon.ru/category/kacheli-i-gamaki-14683/
Мебель;https://www.ozon.ru/category/mebel-15000/;Садовая мебель;https://www.ozon.ru/category/sadovaya-mebel-15155/;Кресла подвесные садовые;https://www.ozon.ru/category/podvesnye-kresla-15025/
Мебель;https://www.ozon.ru/category/mebel-15000/;Садовая мебель;https://www.ozon.ru/category/sadovaya-mebel-15155/;Качели и аксессуары;https://www.ozon.ru/category/sadovye-kacheli-38540/
Мебель;https://www.ozon.ru/category/mebel-15000/;Садовая мебель;https://www.ozon.ru/category/sadovaya-mebel-15155/;Лежаки и шезлонги;https://www.ozon.ru/category/lezhaki-i-shezlongi-38542/
Мебель;https://www.ozon.ru/category/mebel-15000/;Садовая мебель;https://www.ozon.ru/category/sadovaya-mebel-15155/;Шкафы и тумбы;https://www.ozon.ru/category/sunduki-sadovye-35067/
Мебель;https://www.ozon.ru/category/mebel-15000/;Садовая мебель;https://www.ozon.ru/category/sadovaya-mebel-15155/;Фурнитура;https://www.ozon.ru/category/furnitura-dlya-sadovoy-mebeli-38291/
Мебель;https://www.ozon.ru/category/mebel-15000/;Садовая мебель;https://www.ozon.ru/category/sadovaya-mebel-15155/;Чехлы и сетки;https://www.ozon.ru/category/chehly-dlya-sadovyh-ukrytiy-14689/
Мебель;https://www.ozon.ru/category/mebel-15000/;Компьютерная и офисная мебель;https://www.ozon.ru/category/kompyuternaya-i-ofisnaya-mebel-38449/;Компьютерная и офисная мебель;https://www.ozon.ru/category/kompyuternaya-i-ofisnaya-mebel-38449/
Мебель;https://www.ozon.ru/category/mebel-15000/;Компьютерная и офисная мебель;https://www.ozon.ru/category/kompyuternaya-i-ofisnaya-mebel-38449/;Столы письменные и компьютерные;https://www.ozon.ru/category/kompyuternye-i-pismennye-stoly-38454/
Мебель;https://www.ozon.ru/category/mebel-15000/;Компьютерная и офисная мебель;https://www.ozon.ru/category/kompyuternaya-i-ofisnaya-mebel-38449/;Кресла офисные и компьютерные;https://www.ozon.ru/category/kompyuternye-i-ofisnye-kresla-38450/
Мебель;https://www.ozon.ru/category/mebel-15000/;Компьютерная и офисная мебель;https://www.ozon.ru/category/kompyuternaya-i-ofisnaya-mebel-38449/;Стулья офисные;https://www.ozon.ru/category/ofisnye-kresla-38451/
Мебель;https://www.ozon.ru/category/mebel-15000/;Компьютерная и офисная мебель;https://www.ozon.ru/category/kompyuternaya-i-ofisnaya-mebel-38449/;Аксессуары для рабочего места;https://www.ozon.ru/category/podstavki-pod-nogi-30491/
Мебель;https://www.ozon.ru/category/mebel-15000/;Мягкая мебель;https://www.ozon.ru/category/myagkaya-mebel-15017/;Мягкая мебель;https://www.ozon.ru/category/myagkaya-mebel-15017/
Мебель;https://www.ozon.ru/category/mebel-15000/;Мягкая мебель;https://www.ozon.ru/category/myagkaya-mebel-15017/;Диваны;https://www.ozon.ru/category/divany-i-kushetki-15018/
Мебель;https://www.ozon.ru/category/mebel-15000/;Мягкая мебель;https://www.ozon.ru/category/myagkaya-mebel-15017/;Кресла;https://www.ozon.ru/category/kresla-15019/
Мебель;https://www.ozon.ru/category/mebel-15000/;Мягкая мебель;https://www.ozon.ru/category/myagkaya-mebel-15017/;Кресла-качалки;https://www.ozon.ru/category/kresla-kachalki-36812/
Мебель;https://www.ozon.ru/category/mebel-15000/;Мягкая мебель;https://www.ozon.ru/category/myagkaya-mebel-15017/;Пуфы и банкетки;https://www.ozon.ru/category/pufiki-15031/
Мебель;https://www.ozon.ru/category/mebel-15000/;Мягкая мебель;https://www.ozon.ru/category/myagkaya-mebel-15017/;Комплекты мягкой мебели;https://www.ozon.ru/category/komplekty-myagkoy-mebeli-15021/
Мебель;https://www.ozon.ru/category/mebel-15000/;Столы и стулья;https://www.ozon.ru/category/stoly-stulya-i-kresla-15027/;Столы и стулья;https://www.ozon.ru/category/stoly-stulya-i-kresla-15027/
Мебель;https://www.ozon.ru/category/mebel-15000/;Столы и стулья;https://www.ozon.ru/category/stoly-stulya-i-kresla-15027/;Столы;https://www.ozon.ru/category/kuhonnye-stoly-i-barnye-stoyki-38439/
Мебель;https://www.ozon.ru/category/mebel-15000/;Столы и стулья;https://www.ozon.ru/category/stoly-stulya-i-kresla-15027/;Стулья;https://www.ozon.ru/category/stulya-taburetki-15033/
Мебель;https://www.ozon.ru/category/mebel-15000/;Столы и стулья;https://www.ozon.ru/category/stoly-stulya-i-kresla-15027/;Табуреты;https://www.ozon.ru/category/taburetki-i-banketki-15034/
Мебель;https://www.ozon.ru/category/mebel-15000/;Столы и стулья;https://www.ozon.ru/category/stoly-stulya-i-kresla-15027/;Туалетные столики и консоли;https://www.ozon.ru/category/tualetnye-stoliki-15133/
Мебель;https://www.ozon.ru/category/mebel-15000/;Столы и стулья;https://www.ozon.ru/category/stoly-stulya-i-kresla-15027/;Обеденные группы;https://www.ozon.ru/category/obedennye-gruppy-38464/
Мебель;https://www.ozon.ru/category/mebel-15000/;Столы и стулья;https://www.ozon.ru/category/stoly-stulya-i-kresla-15027/;Комплектующие для столов и стульев;https://www.ozon.ru/category/sidenya-stulev-34892/
Мебель;https://www.ozon.ru/category/mebel-15000/;Мебель для хранения;https://www.ozon.ru/category/shkafy-komody-polki-15036/;Мебель для хранения;https://www.ozon.ru/category/shkafy-komody-polki-15036/
Мебель;https://www.ozon.ru/category/mebel-15000/;Мебель для хранения;https://www.ozon.ru/category/shkafy-komody-polki-15036/;Вешалки;https://www.ozon.ru/category/veshalki-v-prihozhuyu-32947/
Мебель;https://www.ozon.ru/category/mebel-15000/;Мебель для хранения;https://www.ozon.ru/category/shkafy-komody-polki-15036/;Гардеробные системы;https://www.ozon.ru/category/garderobnye-sistemy-15126/
Мебель;https://www.ozon.ru/category/mebel-15000/;Мебель для хранения;https://www.ozon.ru/category/shkafy-komody-polki-15036/;Для гостиной;https://www.ozon.ru/category/komplekty-mebeli-dlya-gostinoy-38537/
Мебель;https://www.ozon.ru/category/mebel-15000/;Мебель для хранения;https://www.ozon.ru/category/shkafy-komody-polki-15036/;Для прихожей;https://www.ozon.ru/category/komplekty-mebeli-dlya-prihozhey-38538/
Мебель;https://www.ozon.ru/category/mebel-15000/;Мебель для хранения;https://www.ozon.ru/category/shkafy-komody-polki-15036/;Мебельные модули;https://www.ozon.ru/category/mebelnye-moduli-31437/
