cat_name;cat_url;sub_cat_name;sub_cat_url;sub_sub_cat_name;sub_sub_cat_url
Туризм, рыбалка, охота;https://www.ozon.ru/category/ohota-rybalka-turizm-33332/;Туризм и отдых на природе;https://www.ozon.ru/category/turizm-i-otdyh-na-prirode-11424/;Туризм и отдых на природе;https://www.ozon.ru/category/turizm-i-otdyh-na-prirode-11424/
Туризм, рыбалка, охота;https://www.ozon.ru/category/ohota-rybalka-turizm-33332/;Туризм и отдых на природе;https://www.ozon.ru/category/turizm-i-otdyh-na-prirode-11424/;Палатки, тенты и шатры;https://www.ozon.ru/category/palatki-tenty-i-shatry-11425/
Туризм, рыбалка, охота;https://www.ozon.ru/category/ohota-rybalka-turizm-33332/;Туризм и отдых на природе;https://www.ozon.ru/category/turizm-i-otdyh-na-prirode-11424/;Ножи, лопаты и пилы;https://www.ozon.ru/category/nozhi-i-aksessuary-11463/
Туризм, рыбалка, охота;https://www.ozon.ru/category/ohota-rybalka-turizm-33332/;Туризм и отдых на природе;https://www.ozon.ru/category/turizm-i-otdyh-na-prirode-11424/;Туристическая мебель;https://www.ozon.ru/category/skladnaya-pohodnaya-mebel-32938/
Туризм, рыбалка, охота;https://www.ozon.ru/category/ohota-rybalka-turizm-33332/;Туризм и отдых на природе;https://www.ozon.ru/category/turizm-i-otdyh-na-prirode-11424/;Фонари и аксессуары;https://www.ozon.ru/category/fonari-i-laytstiki-11448/
Туризм, рыбалка, охота;https://www.ozon.ru/category/ohota-rybalka-turizm-33332/;Туризм и отдых на природе;https://www.ozon.ru/category/turizm-i-otdyh-na-prirode-11424/;Насосы;https://www.ozon.ru/category/nasosy-dlya-naduvnyh-matrasov-1716/
Туризм, рыбалка, охота;https://www.ozon.ru/category/ohota-rybalka-turizm-33332/;Туризм и отдых на природе;https://www.ozon.ru/category/turizm-i-otdyh-na-prirode-11424/;Спальные мешки;https://www.ozon.ru/category/spalnye-meshki-11434/
Туризм, рыбалка, охота;https://www.ozon.ru/category/ohota-rybalka-turizm-33332/;Туризм и отдых на природе;https://www.ozon.ru/category/turizm-i-otdyh-na-prirode-11424/;Коврики;https://www.ozon.ru/category/kovriki-turisticheskie-11520/
Туризм, рыбалка, охота;https://www.ozon.ru/category/ohota-rybalka-turizm-33332/;Туризм и отдых на природе;https://www.ozon.ru/category/turizm-i-otdyh-na-prirode-11424/;Горелки, походные печи и газовые обогреватели;https://www.ozon.ru/category/gorelki-zazhigalki-i-prinadlezhnosti-11545/
Туризм, рыбалка, охота;https://www.ozon.ru/category/ohota-rybalka-turizm-33332/;Туризм и отдых на природе;https://www.ozon.ru/category/turizm-i-otdyh-na-prirode-11424/;Термосы, фляги и питьевые системы;https://www.ozon.ru/category/termosy-i-termokruzhki-33774/
