cat_name;cat_url;sub_cat_name;sub_cat_url;sub_sub_cat_name;sub_sub_cat_url
Цифровые товары;https://www.ozon.ru/category/tsifrovye-tovary-32056/;Электронные сертификаты;https://www.ozon.ru/category/podarochnye-sertifikaty-32060/;Электронные сертификаты;https://www.ozon.ru/category/podarochnye-sertifikaty-32060/
Цифровые товары;https://www.ozon.ru/category/tsifrovye-tovary-32056/;Электронные сертификаты;https://www.ozon.ru/category/podarochnye-sertifikaty-32060/;Подарочные сертификаты;https://www.ozon.ru/category/podarochnye-sertifikaty-37234/
Цифровые товары;https://www.ozon.ru/category/tsifrovye-tovary-32056/;Электронные сертификаты;https://www.ozon.ru/category/podarochnye-sertifikaty-32060/;Благотворительные электронные сертификаты;https://www.ozon.ru/category/blagotvoritelnye-elektronnye-sertifikaty-39219/
Цифровые товары;https://www.ozon.ru/category/tsifrovye-tovary-32056/;Онлайн-подписки;https://www.ozon.ru/category/podpiski-na-filmy-i-muzyku-35607/;Онлайн-подписки;https://www.ozon.ru/category/podpiski-na-filmy-i-muzyku-35607/
Цифровые товары;https://www.ozon.ru/category/tsifrovye-tovary-32056/;Онлайн-подписки;https://www.ozon.ru/category/podpiski-na-filmy-i-muzyku-35607/;Онлайн-кинотеатры;https://www.ozon.ru/category/podpiski-na-onlayn-kinoteatry-32061/
Цифровые товары;https://www.ozon.ru/category/tsifrovye-tovary-32056/;Онлайн-подписки;https://www.ozon.ru/category/podpiski-na-filmy-i-muzyku-35607/;Музыка;https://www.ozon.ru/category/muzykalnye-podpiski-34045/
Цифровые товары;https://www.ozon.ru/category/tsifrovye-tovary-32056/;Онлайн-подписки;https://www.ozon.ru/category/podpiski-na-filmy-i-muzyku-35607/;Электронные и аудиокниги;https://www.ozon.ru/category/podpiski-na-knigi-i-audioknigi-34453/
Цифровые товары;https://www.ozon.ru/category/tsifrovye-tovary-32056/;Онлайн-подписки;https://www.ozon.ru/category/podpiski-na-filmy-i-muzyku-35607/;Онлайн курсы;https://www.ozon.ru/category/podpiski-na-onlayn-kursy-37300/
Цифровые товары;https://www.ozon.ru/category/tsifrovye-tovary-32056/;Онлайн-подписки;https://www.ozon.ru/category/podpiski-na-filmy-i-muzyku-35607/;Сертификаты на книги;https://www.ozon.ru/category/sertifikaty-na-knigi-39608/
Цифровые товары;https://www.ozon.ru/category/tsifrovye-tovary-32056/;Онлайн-подписки;https://www.ozon.ru/category/podpiski-na-filmy-i-muzyku-35607/;Мобильные тарифы eSIM;https://www.ozon.ru/category/mobilnye-tarify-esim-37457/
Цифровые товары;https://www.ozon.ru/category/tsifrovye-tovary-32056/;Игры и игровые подписки;https://www.ozon.ru/category/tsifrovye-igry-i-igrovye-podpiski-35606/;Игры и игровые подписки;https://www.ozon.ru/category/tsifrovye-igry-i-igrovye-podpiski-35606/
Цифровые товары;https://www.ozon.ru/category/tsifrovye-tovary-32056/;Игры и игровые подписки;https://www.ozon.ru/category/tsifrovye-igry-i-igrovye-podpiski-35606/;Игровая валюта;https://www.ozon.ru/category/igrovaya-valyuta-34048/
Цифровые товары;https://www.ozon.ru/category/tsifrovye-tovary-32056/;Игры и игровые подписки;https://www.ozon.ru/category/tsifrovye-igry-i-igrovye-podpiski-35606/;Xbox;https://www.ozon.ru/category/tsifrovye-igry-i-podpiski-xbox-37303/
Цифровые товары;https://www.ozon.ru/category/tsifrovye-tovary-32056/;Игры и игровые подписки;https://www.ozon.ru/category/tsifrovye-igry-i-igrovye-podpiski-35606/;PC;https://www.ozon.ru/category/tsifrovye-igry-i-podpiski-dlya-pc-37305/
Цифровые товары;https://www.ozon.ru/category/tsifrovye-tovary-32056/;Игры и игровые подписки;https://www.ozon.ru/category/tsifrovye-igry-i-igrovye-podpiski-35606/;PlayStation;https://www.ozon.ru/category/dopolneniya-dlya-igr-i-podpiski-na-playstation-37304/
Цифровые товары;https://www.ozon.ru/category/tsifrovye-tovary-32056/;Игры и игровые подписки;https://www.ozon.ru/category/tsifrovye-igry-i-igrovye-podpiski-35606/;Nintendo;https://www.ozon.ru/category/dopolneniya-dlya-igr-i-podpiski-na-nintendo-37306/
Цифровые товары;https://www.ozon.ru/category/tsifrovye-tovary-32056/;Игры и игровые подписки;https://www.ozon.ru/category/tsifrovye-igry-i-igrovye-podpiski-35606/;Цифровые игры для мобильных платформ;https://www.ozon.ru/category/tsifrovye-igry-dlya-mobilnyh-platform-39596/
Цифровые товары;https://www.ozon.ru/category/tsifrovye-tovary-32056/;Программное обеспечение;https://www.ozon.ru/category/antivirusy-i-programmnoe-obespechenie-32086/;Программное обеспечение;https://www.ozon.ru/category/antivirusy-i-programmnoe-obespechenie-32086/
Цифровые товары;https://www.ozon.ru/category/tsifrovye-tovary-32056/;Программное обеспечение;https://www.ozon.ru/category/antivirusy-i-programmnoe-obespechenie-32086/;Антивирусы и безопасность;https://www.ozon.ru/category/antivirusy-32647/
Цифровые товары;https://www.ozon.ru/category/tsifrovye-tovary-32056/;Программное обеспечение;https://www.ozon.ru/category/antivirusy-i-programmnoe-obespechenie-32086/;Операционные системы и приложения;https://www.ozon.ru/category/prikladnye-i-sistemnye-programmy-32656/
Цифровые товары;https://www.ozon.ru/category/tsifrovye-tovary-32056/;Программное обеспечение;https://www.ozon.ru/category/antivirusy-i-programmnoe-obespechenie-32086/;Словари и навигационные карты;https://www.ozon.ru/category/navigatsionnye-karty-34683/
