cat_name;cat_url;sub_cat_name;sub_cat_url;sub_sub_cat_name;sub_sub_cat_url
Ювелирные украшения;https://www.ozon.ru/category/yuvelirnye-ukrasheniya-50001/;Кольца;https://www.ozon.ru/category/koltsa-yuvelirnye-50002/;Кольца;https://www.ozon.ru/category/koltsa-yuvelirnye-50002/
Ювелирные украшения;https://www.ozon.ru/category/yuvelirnye-ukrasheniya-50001/;Кольца;https://www.ozon.ru/category/koltsa-yuvelirnye-50002/;Золотые;https://www.ozon.ru/category/zolotye-koltsa-39610/
Ювелирные украшения;https://www.ozon.ru/category/yuvelirnye-ukrasheniya-50001/;Кольца;https://www.ozon.ru/category/koltsa-yuvelirnye-50002/;Серебряные;https://www.ozon.ru/category/serebryanye-koltsa-39611/
Ювелирные украшения;https://www.ozon.ru/category/yuvelirnye-ukrasheniya-50001/;Кольца;https://www.ozon.ru/category/koltsa-yuvelirnye-50002/;Платиновые;https://www.ozon.ru/category/platinovye-koltsa-39612/
Ювелирные украшения;https://www.ozon.ru/category/yuvelirnye-ukrasheniya-50001/;Кольца;https://www.ozon.ru/category/koltsa-yuvelirnye-50002/;С бриллиантами;https://www.ozon.ru/category/koltsa-s-brilliantami-39613/
Ювелирные украшения;https://www.ozon.ru/category/yuvelirnye-ukrasheniya-50001/;Кольца;https://www.ozon.ru/category/koltsa-yuvelirnye-50002/;Обручальные;https://www.ozon.ru/category/obruchalnye-koltsa-39614/
Ювелирные украшения;https://www.ozon.ru/category/yuvelirnye-ukrasheniya-50001/;Кольца;https://www.ozon.ru/category/koltsa-yuvelirnye-50002/;Помолвочные;https://www.ozon.ru/category/pomolvochnye-koltsa-39615/
Ювелирные украшения;https://www.ozon.ru/category/yuvelirnye-ukrasheniya-50001/;Серьги;https://www.ozon.ru/category/sergi-yuvelirnye-50003/;Серьги;https://www.ozon.ru/category/sergi-yuvelirnye-50003/
Ювелирные украшения;https://www.ozon.ru/category/yuvelirnye-ukrasheniya-50001/;Серьги;https://www.ozon.ru/category/sergi-yuvelirnye-50003/;Золотые;https://www.ozon.ru/category/zolotye-sergi-39616/
Ювелирные украшения;https://www.ozon.ru/category/yuvelirnye-ukrasheniya-50001/;Серьги;https://www.ozon.ru/category/sergi-yuvelirnye-50003/;Серебряные;https://www.ozon.ru/category/serebryanye-sergi-39617/
