cat_name;cat_url;sub_cat_name;sub_cat_url;sub_sub_cat_name;sub_sub_cat_url
Товары для животных;https://www.ozon.ru/category/tovary-dlya-zhivotnyh-12300/;Для кошек;https://www.ozon.ru/category/dlya-koshek-12347/;Для кошек;https://www.ozon.ru/category/dlya-koshek-12347/
Товары для животных;https://www.ozon.ru/category/tovary-dlya-zhivotnyh-12300/;Для кошек;https://www.ozon.ru/category/dlya-koshek-12347/;Корма и лакомства;https://www.ozon.ru/category/korm-dlya-koshek-12348/
Товары для животных;https://www.ozon.ru/category/tovary-dlya-zhivotnyh-12300/;Для кошек;https://www.ozon.ru/category/dlya-koshek-12347/;Туалеты и наполнители;https://www.ozon.ru/category/tualety-12365/
Товары для животных;https://www.ozon.ru/category/tovary-dlya-zhivotnyh-12300/;Для кошек;https://www.ozon.ru/category/dlya-koshek-12347/;Когтеточки и игровые комплексы;https://www.ozon.ru/category/kogtetochki-i-igrovye-kompleksy-30230/
Товары для животных;https://www.ozon.ru/category/tovary-dlya-zhivotnyh-12300/;Для кошек;https://www.ozon.ru/category/dlya-koshek-12347/;Домики;https://www.ozon.ru/category/domiki-dlya-koshek-12361/
Товары для животных;https://www.ozon.ru/category/tovary-dlya-zhivotnyh-12300/;Для кошек;https://www.ozon.ru/category/dlya-koshek-12347/;Лежанки;https://www.ozon.ru/category/lezhaki-i-krovati-dlya-koshek-12379/
Товары для животных;https://www.ozon.ru/category/tovary-dlya-zhivotnyh-12300/;Для кошек;https://www.ozon.ru/category/dlya-koshek-12347/;Переноски;https://www.ozon.ru/category/perenoski-dlya-koshek-34579/
Товары для животных;https://www.ozon.ru/category/tovary-dlya-zhivotnyh-12300/;Для кошек;https://www.ozon.ru/category/dlya-koshek-12347/;Клетки и ограждения;https://www.ozon.ru/category/kletki-dlya-sobak-i-koshek-32012/
Товары для животных;https://www.ozon.ru/category/tovary-dlya-zhivotnyh-12300/;Для кошек;https://www.ozon.ru/category/dlya-koshek-12347/;Игрушки;https://www.ozon.ru/category/igrushki-dlya-koshek-12359/
Товары для животных;https://www.ozon.ru/category/tovary-dlya-zhivotnyh-12300/;Для кошек;https://www.ozon.ru/category/dlya-koshek-12347/;Ошейники и поводки;https://www.ozon.ru/category/osheyniki-i-povodki-dlya-koshek-12355/
Товары для животных;https://www.ozon.ru/category/tovary-dlya-zhivotnyh-12300/;Для кошек;https://www.ozon.ru/category/dlya-koshek-12347/;Посуда для кошек;https://www.ozon.ru/category/posuda-dlya-koshek-38324/
Товары для животных;https://www.ozon.ru/category/tovary-dlya-zhivotnyh-12300/;Для кошек;https://www.ozon.ru/category/dlya-koshek-12347/;Груминг;https://www.ozon.ru/category/gruming-12372/
Товары для животных;https://www.ozon.ru/category/tovary-dlya-zhivotnyh-12300/;Для кошек;https://www.ozon.ru/category/dlya-koshek-12347/;Средства для ухода;https://www.ozon.ru/category/preparaty-dlya-koshek-12405/
Товары для животных;https://www.ozon.ru/category/tovary-dlya-zhivotnyh-12300/;Для кошек;https://www.ozon.ru/category/dlya-koshek-12347/;Одежда;https://www.ozon.ru/category/odezhda-dlya-koshek-34930/
Товары для животных;https://www.ozon.ru/category/tovary-dlya-zhivotnyh-12300/;Для кошек;https://www.ozon.ru/category/dlya-koshek-12347/;Коррекция поведения;https://www.ozon.ru/category/sredstva-dlya-korrektsii-povedeniya-koshek-38952/
Товары для животных;https://www.ozon.ru/category/tovary-dlya-zhivotnyh-12300/;Для кошек;https://www.ozon.ru/category/dlya-koshek-12347/;Ритуальные товары;https://www.ozon.ru/category/ritualnye-tovary-dlya-koshek-36564/
Товары для животных;https://www.ozon.ru/category/tovary-dlya-zhivotnyh-12300/;Для собак;https://www.ozon.ru/category/dlya-sobak-12301/;Для собак;https://www.ozon.ru/category/dlya-sobak-12301/
Товары для животных;https://www.ozon.ru/category/tovary-dlya-zhivotnyh-12300/;Для собак;https://www.ozon.ru/category/dlya-sobak-12301/;Корма и лакомства;https://www.ozon.ru/category/korm-dlya-sobak-12302/
Товары для животных;https://www.ozon.ru/category/tovary-dlya-zhivotnyh-12300/;Для собак;https://www.ozon.ru/category/dlya-sobak-12301/;Игрушки;https://www.ozon.ru/category/igrushki-dlya-sobak-12308/
Товары для животных;https://www.ozon.ru/category/tovary-dlya-zhivotnyh-12300/;Для собак;https://www.ozon.ru/category/dlya-sobak-12301/;Амуниция;https://www.ozon.ru/category/amunitsiya-12309/
Товары для животных;https://www.ozon.ru/category/tovary-dlya-zhivotnyh-12300/;Для собак;https://www.ozon.ru/category/dlya-sobak-12301/;Лежаки и домики;https://www.ozon.ru/category/matrasy-i-lezhaki-dlya-sobak-12337/
Товары для животных;https://www.ozon.ru/category/tovary-dlya-zhivotnyh-12300/;Для собак;https://www.ozon.ru/category/dlya-sobak-12301/;Посуда;https://www.ozon.ru/category/posuda-dlya-sobak-38325/
Товары для животных;https://www.ozon.ru/category/tovary-dlya-zhivotnyh-12300/;Для собак;https://www.ozon.ru/category/dlya-sobak-12301/;Груминг;https://www.ozon.ru/category/gruming-12315/
Товары для животных;https://www.ozon.ru/category/tovary-dlya-zhivotnyh-12300/;Для собак;https://www.ozon.ru/category/dlya-sobak-12301/;Средства для ухода;https://www.ozon.ru/category/preparaty-dlya-sobak-12393/
Товары для животных;https://www.ozon.ru/category/tovary-dlya-zhivotnyh-12300/;Для собак;https://www.ozon.ru/category/dlya-sobak-12301/;Одежда;https://www.ozon.ru/category/odezhda-dlya-sobak-12325/
Товары для животных;https://www.ozon.ru/category/tovary-dlya-zhivotnyh-12300/;Для собак;https://www.ozon.ru/category/dlya-sobak-12301/;Обувь;https://www.ozon.ru/category/obuv-dlya-sobak-12332/
Товары для животных;https://www.ozon.ru/category/tovary-dlya-zhivotnyh-12300/;Для собак;https://www.ozon.ru/category/dlya-sobak-12301/;Переноски;https://www.ozon.ru/category/perenoski-i-sumki-12362/
Товары для животных;https://www.ozon.ru/category/tovary-dlya-zhivotnyh-12300/;Для собак;https://www.ozon.ru/category/dlya-sobak-12301/;Аксессуары для перевозки;https://www.ozon.ru/category/aksessuary-dlya-perevozki-sobak-12340/
Товары для животных;https://www.ozon.ru/category/tovary-dlya-zhivotnyh-12300/;Для собак;https://www.ozon.ru/category/dlya-sobak-12301/;Туалеты и пеленки;https://www.ozon.ru/category/tualety-12341/
Товары для животных;https://www.ozon.ru/category/tovary-dlya-zhivotnyh-12300/;Для собак;https://www.ozon.ru/category/dlya-sobak-12301/;Вольеры и будки;https://www.ozon.ru/category/volery-i-budki-dlya-sobak-12333/
Товары для животных;https://www.ozon.ru/category/tovary-dlya-zhivotnyh-12300/;Для собак;https://www.ozon.ru/category/dlya-sobak-12301/;Дрессировка собак;https://www.ozon.ru/category/dressirovka-sobak-12346/
Товары для животных;https://www.ozon.ru/category/tovary-dlya-zhivotnyh-12300/;Для собак;https://www.ozon.ru/category/dlya-sobak-12301/;Средства для коррекции поведения;https://www.ozon.ru/category/sredstva-dlya-korrektsii-povedeniya-sobak-39234/
Товары для животных;https://www.ozon.ru/category/tovary-dlya-zhivotnyh-12300/;Для собак;https://www.ozon.ru/category/dlya-sobak-12301/;Ритуальные товары;https://www.ozon.ru/category/ritualnye-tovary-dlya-sobak-36663/
Товары для животных;https://www.ozon.ru/category/tovary-dlya-zhivotnyh-12300/;Для грызунов и хорьков;https://www.ozon.ru/category/dlya-gryzunov-12429/;Для грызунов и хорьков;https://www.ozon.ru/category/dlya-gryzunov-12429/
Товары для животных;https://www.ozon.ru/category/tovary-dlya-zhivotnyh-12300/;Для грызунов и хорьков;https://www.ozon.ru/category/dlya-gryzunov-12429/;Корма и лакомства;https://www.ozon.ru/category/korma-dlya-gryzunov-12442/
Товары для животных;https://www.ozon.ru/category/tovary-dlya-zhivotnyh-12300/;Для грызунов и хорьков;https://www.ozon.ru/category/dlya-gryzunov-12429/;Клетки;https://www.ozon.ru/category/kletki-dlya-gryzunov-12435/
Товары для животных;https://www.ozon.ru/category/tovary-dlya-zhivotnyh-12300/;Для грызунов и хорьков;https://www.ozon.ru/category/dlya-gryzunov-12429/;Переноски;https://www.ozon.ru/category/perenoski-dlya-gryzunov-12432/
Товары для животных;https://www.ozon.ru/category/tovary-dlya-zhivotnyh-12300/;Для грызунов и хорьков;https://www.ozon.ru/category/dlya-gryzunov-12429/;Игрушки;https://www.ozon.ru/category/igrushki-dlya-gryzunov-12434/
Товары для животных;https://www.ozon.ru/category/tovary-dlya-zhivotnyh-12300/;Для грызунов и хорьков;https://www.ozon.ru/category/dlya-gryzunov-12429/;Домики и лежаки;https://www.ozon.ru/category/domiki-dlya-gryzunov-12431/
Товары для животных;https://www.ozon.ru/category/tovary-dlya-zhivotnyh-12300/;Для грызунов и хорьков;https://www.ozon.ru/category/dlya-gryzunov-12429/;Туалеты и наполнители;https://www.ozon.ru/category/tualety-i-napolniteli-dlya-gryzunov-12444/
Товары для животных;https://www.ozon.ru/category/tovary-dlya-zhivotnyh-12300/;Для грызунов и хорьков;https://www.ozon.ru/category/dlya-gryzunov-12429/;Миски, поилки;https://www.ozon.ru/category/miski-poilki-dlya-gryzunov-12441/
Товары для животных;https://www.ozon.ru/category/tovary-dlya-zhivotnyh-12300/;Для грызунов и хорьков;https://www.ozon.ru/category/dlya-gryzunov-12429/;Средства для ухода;https://www.ozon.ru/category/preparaty-dlya-gryzunov-12390/
Товары для животных;https://www.ozon.ru/category/tovary-dlya-zhivotnyh-12300/;Для грызунов и хорьков;https://www.ozon.ru/category/dlya-gryzunov-12429/;Инструменты для ухода;https://www.ozon.ru/category/instrumenty-dlya-uhoda-za-gryzunami-12433/
Товары для животных;https://www.ozon.ru/category/tovary-dlya-zhivotnyh-12300/;Для грызунов и хорьков;https://www.ozon.ru/category/dlya-gryzunov-12429/;Шлейки и амуниция;https://www.ozon.ru/category/shleyki-dlya-gryzunov-12430/
Товары для животных;https://www.ozon.ru/category/tovary-dlya-zhivotnyh-12300/;Для птиц;https://www.ozon.ru/category/dlya-ptits-12416/;Для птиц;https://www.ozon.ru/category/dlya-ptits-12416/
Товары для животных;https://www.ozon.ru/category/tovary-dlya-zhivotnyh-12300/;Для птиц;https://www.ozon.ru/category/dlya-ptits-12416/;Корма и лакомства;https://www.ozon.ru/category/korma-dlya-ptits-12427/
Товары для животных;https://www.ozon.ru/category/tovary-dlya-zhivotnyh-12300/;Для птиц;https://www.ozon.ru/category/dlya-ptits-12416/;Клетки;https://www.ozon.ru/category/kletki-dlya-ptits-12422/
Товары для животных;https://www.ozon.ru/category/tovary-dlya-zhivotnyh-12300/;Для птиц;https://www.ozon.ru/category/dlya-ptits-12416/;Игрушки;https://www.ozon.ru/category/igrushki-dlya-ptits-12421/
Товары для животных;https://www.ozon.ru/category/tovary-dlya-zhivotnyh-12300/;Для птиц;https://www.ozon.ru/category/dlya-ptits-12416/;Поилки, кормушки;https://www.ozon.ru/category/poilki-kormushki-dlya-ptits-12426/
Товары для животных;https://www.ozon.ru/category/tovary-dlya-zhivotnyh-12300/;Для птиц;https://www.ozon.ru/category/dlya-ptits-12416/;Чехлы и колеса для клеток;https://www.ozon.ru/category/chehly-na-kletki-dlya-ptits-31979/
Товары для животных;https://www.ozon.ru/category/tovary-dlya-zhivotnyh-12300/;Для птиц;https://www.ozon.ru/category/dlya-ptits-12416/;Купалки и песок;https://www.ozon.ru/category/kupalki-i-pesok-dlya-ptits-12428/
Товары для животных;https://www.ozon.ru/category/tovary-dlya-zhivotnyh-12300/;Для птиц;https://www.ozon.ru/category/dlya-ptits-12416/;Светильники и лампы;https://www.ozon.ru/category/svetilniki-i-lampy-dlya-ptits-37712/
Товары для животных;https://www.ozon.ru/category/tovary-dlya-zhivotnyh-12300/;Для птиц;https://www.ozon.ru/category/dlya-ptits-12416/;Переноски;https://www.ozon.ru/category/perevozki-12418/
Товары для животных;https://www.ozon.ru/category/tovary-dlya-zhivotnyh-12300/;Для птиц;https://www.ozon.ru/category/dlya-ptits-12416/;Одежда;https://www.ozon.ru/category/odezhda-dlya-ptits-38356/
Товары для животных;https://www.ozon.ru/category/tovary-dlya-zhivotnyh-12300/;Для птиц;https://www.ozon.ru/category/dlya-ptits-12416/;Дрессировка и воспитание;https://www.ozon.ru/category/sredstva-dlya-dressirovki-i-vospitaniya-ptits-38953/
Товары для животных;https://www.ozon.ru/category/tovary-dlya-zhivotnyh-12300/;Для птиц;https://www.ozon.ru/category/dlya-ptits-12416/;Скворечники и гнезда;https://www.ozon.ru/category/skvorechniki-12419/
