title;price;initprice;discount;rating;reviews;url;img_url;cat;sub_cat;sub_sub_cat
Радиатор охлаждения УАЗ 3151 УАЗ 3741 УАЗ 469 медный ШААЗ;19407.0;59282.0;67;-999;216;https://www.ozon.ru/product/radiator-ohlazhdeniya-uaz-3151-uaz-3741-uaz-469-mednyy-shaaz-1007726891/?advert=AAoBy1l5OBhMnhnMZbs_7JkYPU7SUYNrB5AaVlG3B8xvmd6RqEZ2Oc41762q3KTv9hZp-cyrQnuSAHQvVgbntH8BCRu2xjZWqFuJBht5cQzKfSQANcVo7b_4x184F5W4LPj-6c_BGRRlCSAgkE3K3rKLFHoRYMAfhMqOMSG12WH7fL0OAXY3Znhp6qlXPyWFGsJ5clt5K63nLjS7hYcgidGE-cW4osgpfglyr3VmCKc-A7iIFMAUsKUngUDxGWyvHGprv936ONKKuG1xP0aAYFCaxecJqAP8xLo_fa6n6FN-h4GmFTDQTXA5nSYSljITtksX0fCu5BbMrZDr_r0GPEcqp3IlnY5ewICRZvfqs_Rsaw9yEsdGN6yU6rR2T_e2iDGTXbeB4A&avtc=1&avte=4&avts=1733833344;https://ir.ozone.ru/s3/multimedia-1-f/wc350/7207916055.jpg;Автотовары;Запчасти для легковых автомобилей;Запчасти для легковых автомобилей
Фильтр воздушный Веста, Ларгус, Рено Дастер, Рено Логан 2, Сандеро Степвей, Каптюр "FORTECH" FA-239;294.0;700.0;58;-999;12;https://www.ozon.ru/product/filtr-vozdushnyy-vesta-largus-reno-daster-reno-logan-2-sandero-stepvey-kaptyur-fortech-fa-239-1738781159/?advert=AAoBMlvoX9cuZVz1Kk_vEZ9TKnwyvUBSyd7M-FmwzIY_PeFGmk88SkBMPtIpyalZkWDo_zWf_GK7uNphxOX3ws6U-s0Y7P8qAwkf7xlTriT1bFkTK7fyrtRyj5bXZzwMnqI2CuI1iFfSYz27Ustol04njLy1dRPxyfvNCGJLR2FKkmdCzsf6uDlZBroyUgpGuNMXUBtr1Mk3zFij2B-ozvcjRRtd79MVrBY3Eh2d1jQfEVFEDGBCbd9bT1weESR9fIsA-Oyl0LHJPY8c7KW_St1NZan9a3I2Kv3si7R8gmWQko-DopiuqqgUWuHh_lF5YnB_8ZnuWZ_UQmPMFEDlggfHkwAsU6kJzM3u_TF2V4I3buhYhsMy3mSDDhf1Oylo70DzcrLHh9vg&avtc=1&avte=4&avts=1733833344;https://ir.ozone.ru/s3/multimedia-1-m/wc350/7220046730.jpg;Автотовары;Запчасти для легковых автомобилей;Запчасти для легковых автомобилей
Светодиодные лампы H4, мини линзы H4 A80 PRO, LED лампы H4, белые 6000k, 10000lm, LED линзы;1560.0;9990.0;84;4.7;2400;https://www.ozon.ru/product/svetodiodnye-lampy-h4-mini-linzy-h4-a80-pro-led-lampy-h4-belye-6000k-10000lm-led-linzy-861532413/?advert=AAoB-q-0UVqv92fBPVIH9Pohd_Bqr0_9rZsFbdR5xLL3zj3WS3Z_eDJK6MUP1XWD6vtvsO_TOeuM2t_qaPbco8Yy55FCPZ2IcueJphv1-LPX4oXjNsRUa82AbC0gdmlAjUNONX816uEfXUxrd7o_O_CDYFs6b9n-xRHRg9ODcX6mKjze0Q4aDcsg66mbIBvVPn_H7x1HEwSy92D_kJedKXHgf0dgxZXLtSAEU-_9IDkb_EL-ZJniH5SrWF4hwgGxQd45fr2WOnuMX2A_0PYQfvDFLLJyUGUStxeDgcfeVxhZDvrJGs9kwsNpXHYb_NR7HeEFLIgO253mB_JSocZT-2p-o5WOSTYMR3-pyuy5R5QNNqEgujbNS1jywayTQLKJQBLQTI-6CsB7SQ&avtc=1&avte=4&avts=1733833344;https://ir.ozone.ru/s3/multimedia-1-n/wc350/7187061371.jpg;Автотовары;Запчасти для легковых автомобилей;Запчасти для легковых автомобилей
Светодиодные LED лампы А8H11 лед автомобильные;981.0;10000.0;90;5.0;313;https://www.ozon.ru/product/svetodiodnye-led-lampy-a8h11-led-avtomobilnye-1776867042/?advert=AAoBjlNIOwnLqL1Rm5FZpnrpT3730VHM7rW-FbNLeP3ioo8BVUsqGkm4he_s3rFwGgD7oIXC-Yd3BJfwRnpQ0USUb0UsN6SsW38t5Tf2ZwblV7cc2HRODHFYWxdvtkN7h0JpHbNAaEJ78naKtrqs2Zbdhf5m9_fu2JgICd1cHxQUZYPEhXEHaNcadZCnmd-28C-ALZDcwNF6nn2QvSTJIJkWYCzTXH1sr3aZe2aOhu9kDlw_o81GedF5dYk0PBFC4ir9M-BWsDJ_jz12QlJOy1eX7_h5yLSP0Aab9X_2m4TkrfkMf5ZXqVPWgXkVSHVHOzv10E2_Gca2lGDP41400eb63O-M7QnjX57EFUHr2R_BczBEcNHDBjdWN6JVTMoVIo_KuWv2vw&avtc=1&avte=1&avts=1733833344;https://ir.ozone.ru/s3/multimedia-1-2/wc350/7219187930.jpg;Автотовары;Запчасти для легковых автомобилей;Запчасти для легковых автомобилей
Автономный автомобильный отопитель 12/24/220 Вольт 5 квт / Переносной камуфляжный воздушный обогреватель с полным комплектом в гараж теплицу и кабину;7681.0;11488.0;33;4.3;12;https://www.ozon.ru/product/avtonomnyy-avtomobilnyy-otopitel-12-24-220-volt-5-kvt-perenosnoy-kamuflyazhnyy-1422529385/?advert=AAoB3cr4fRh0KSDgHGphegvDHc9maqEKTDjVAjMEBhfEDNalyrgqEHVCvR9Y4nE0avMfcyqrZ54fqkH1XzQJmUzLUpG81mayI8m0N6tSzrDWpHv_C9vpFufI2ojpkTOKACyqHTjswDPJ6ub-Qr78Ep6pbn4qfDbi7XwDfuejqDdlN-us9zZP_G_8Gs8b4vIu1MKfNowloMPEb5fn8TT2xJOhYIzj9LE75TwX5lM5yczjyD3s9_G_2gaHvNa_1SXGSox85-VI9GwPPZKHvz8nvtvnOPdsJ-pua2Jnw6FSK2ndvHt_hGpFIU_0xPvZZ4gACt2QuZc38Pmq3RmZiNrn6hT2DIZxeEbgZZS4xnavpMCb7X5kgbs63CvE9q-CZDPIJX1WEzEv89ylIA&avtc=1&avte=4&avts=1733833344;https://ir.ozone.ru/s3/multimedia-1-v/wc350/7140650863.jpg;Автотовары;Запчасти для легковых автомобилей;Запчасти для легковых автомобилей
Ремонтные пороги комплект (2 шт.) и усилители (2 шт.) для Chevrolet Lacetti 2004-2013 универсал 4 двери, холоднокатаная сталь 1 мм. (Шевроле Лачетти), пороги и усилители. Кузовной ремонт.;4932.0;42900.0;89;-999.0;-999;https://www.ozon.ru/product/remontnye-porogi-komplekt-2-sht-i-usiliteli-2-sht-dlya-chevrolet-lacetti-2004-2013-universal-4-1754666830/?advert=AAoBriu6g8A_eFHtsRGlzjxAu-Ts7bClpNYBxyxf4tJ-tNCNsdi5Bd8_dxXu4R2-HRPT2iL_X8xUi7GcsMyguHZ-vhgJKXlZ5aTGjl1hxon0z8j3xjYjuejU_YAQVNfJdf0HHCXPdzWSpJZZ0aTmqnbh4avvop05awGkTMLyTbDudcEmGDPb4tpKBsfN21ruFv_sa5qZeAYfCBBfgm-w6-CIeGJIhEfFmBIVh4bAnxEpkdBNYbwFj15wsGdGka81w3G97ZdAqlDSR-yHoqkNrRREyk2LSE3hkXQUVAWKJF49B35DdkIKUJVVMaXF6oxEgBMvZqHRMkSsv7NknxkFZ_MVQ1G67XyDCM4uCuYGY8uDyGDkYhJ_X1K83ZLUXy9iLaHkKlVyi2hbKg&avtc=1&avte=4&avts=1733833344;https://ir.ozone.ru/s3/multimedia-1-k/wc350/7191442712.jpg;Автотовары;Запчасти для легковых автомобилей;Запчасти для легковых автомобилей
Колодки тормозные H'ANZauto передние дисковые для а/м Ford, Mazda, Volvo;1177.0;5500.0;79;-999.0;-999;https://www.ozon.ru/product/kolodki-tormoznye-h-anzauto-perednie-diskovye-dlya-a-m-ford-mazda-volvo-1767188462/?advert=AAoB7R1a_6YPvAnNLYevIUn4kc5NiXie4b76sXiCOS7p7YarrAo8yTQAmV66FA6I_Ic1gPIIC7tI3ZzQ3u8pQbU5ZzDzc1Q-2eXsNiqJVR3jU9JwAqdUtHWeYR0p5xL7qZduBO3OdEAOYYHVfuZsKqRBlNPZHYDcjiGjd4wzQNeCwv33fvbZ1UGM-LXzA4vA4-se1f3gdpviQO2W-4pGQlz3aFf76T6xuhV6BNGdrKrLiM1h-YjACd8bMJQXt4Cd8g8T6lCxEAMMiku2mJLVzFlgxh54KPIoZUzng6H0QVVg2-bLmdOnK2FCc4-WXawq0ubPPgqK3kh_LdjcgnTdn3oFCgjtn6Q5SW_3OpsD7ZZA3cEx_qomPVmQfAe4DnaC74ZpDjx0MH4&avtc=1&avte=4&avts=1733833344;https://ir.ozone.ru/s3/multimedia-1-b/wc350/7063311503.jpg;Автотовары;Запчасти для легковых автомобилей;Запчасти для легковых автомобилей
Светодиодные лампы H4, LED мини линзы H4 Y6D Max, белые 6000k, без разбора фары, 2 шт;1649.0;7790.0;79;4.7;7682;https://www.ozon.ru/product/svetodiodnye-lampy-h4-led-mini-linzy-h4-y6d-max-belye-6000k-bez-razbora-fary-2-sht-927702573/?advert=AAoBzhwi-OyrigS_Zj4XuVX0erH0chnLVgSGqhHboENxaHI9kA35FWFtS7A2JLxXBH2yV6gR3m5qDUrwY5Xdx-X5AfgYbHPxnZchWmoQSuPdD2B_62VmLrqN1hgIeRSWX-fm3Irj-Kg56Wcg4a0a7iGaplvR26fmm2ORhaA5OepXsHgXTFENtGoQLJl_KfYvQNg0guiBuFSMf6CAfm_VuMzkB1gkvlT4Cg9QYPsrhlRzhZiBqulG64iG0eQASxTTWxvRwnU7CGT3HenhuHszwpfUD1kI4W9zmx3A2KV4Veqpw8czW_H0hLXHKdnORnqbmN0woxd50RJJn_89tqjfvwZQIEYVW6Tv1WsfL4Kno6S3wQ9_QG73JrfvG3goKqzaMDZiPWG8Iw&avtc=1&avte=4&avts=1733833344;https://ir.ozone.ru/s3/multimedia-1-t/wc350/7128481133.jpg;Автотовары;Запчасти для легковых автомобилей;Запчасти для легковых автомобилей
Комплект фильтров для ТО на Geely Monjaro 2.0 / Gelly Atlas Pro 2.0 Fx11 / Geely Preface 2.0;2003.0;4900.0;59;-999;454;https://www.ozon.ru/product/komplekt-filtrov-dlya-to-na-geely-monjaro-2-0-gelly-atlas-pro-2-0-fx11-geely-preface-2-0-1294506631/?advert=AAoB7Vg_yZYrFVKZj5WHlDPzJTnyTeceEJBn5xn4uc_KLwesKHeYMggNlcEBKzkR21kVBaLcSWOShru-Dtmb02DbEm60v8u8jQiUyNm1FHlSQpuBJv6ibS-nkPaahvFSn_6IzsOexxrVEGxluFs3OrU9iok5WmGLcLmi41R7yvJlq203jyEPkeF6a3INPwuP_VOWk4Uz1zbq1xLDJ_SruWQFSdINdIThJwMc1kXqlePPms8y9fplimEiIa6tsdHU80Lilqig6kT1MRlwlo4rpuBkTTtm5V8kyBtJ4m17_tx5PJvUEYXGHx2u4w0XDIq07M1oJk18ycJcPxXdPV05plLTkPknFnrosGzvdW4e0rXoSoh1c2lUrXt4ybDB5aRdRkdHD47SPto&avtc=1&avte=4&avts=1733833347;https://ir.ozone.ru/s3/multimedia-1-k/wc350/7219876700.jpg;Автотовары;Запчасти для легковых автомобилей;Запчасти для ТО
Комплект оригинальных фильтров для ТО Geely Monjaro, Atlas FX11 / с двс 2.0;2217.0;5000.0;56;4.9;88;https://www.ozon.ru/product/komplekt-originalnyh-filtrov-dlya-to-geely-monjaro-atlas-fx11-s-dvs-2-0-1695740312/?advert=AAoBmdrPnFC4bojpdr8WuOQaPeAagxz_AY9cb3tCqEz8xzrYD3DMDqjSWu7jfXW6ym6C7Q4xwqy9JvX5ZhH9WXK0swzEKlRiMOMj2XxABQhvrjgqhfTKmDjv6EaxUxjnSYsDlXmP3jni2NtRt-_OokZrB_b7iTHgW3h_RrppP2od7xVkyC_PXFoRU61FNMaomz2S8uZM_jMyCixOd79bWgyKfV5-LpN2nvwkXkSh62Zn5jfc7ZHJ7V_xwn5EBz9Eq2HzKSjmyAQWwxgF3F60nXeM5z0sNy61qNAG2E5E6JLvigTWtoahYUaK7DhykIidTWfo11jaES_7C5rI9BbMwRNEBnzU1vkJaVeI9RQZ1ehlfh8jY3SmhgtC_yl6Z-gbnAs2LX201NcKlg&avtc=1&avte=4&avts=1733833347;https://ir.ozone.ru/s3/multimedia-1-l/wc350/7195485801.jpg;Автотовары;Запчасти для легковых автомобилей;Запчасти для ТО
