title;price;initprice;discount;rating;reviews;url;img_url;cat;sub_cat;sub_sub_cat
Шапка TRUE SHOP Зимняя коллекция;943.0;1990.0;53;4.9;7534;https://www.ozon.ru/product/shapka-true-shop-zimnyaya-kollektsiya-334868494/?advert=AAoBJTOpB3jBYhvS6MI4GXGwQFQr8mLxj30kutew8th0-4MxUQf6zEns_c_6J85n6gjdNUNLjunIEOMpNcifdNgGg01rXcSn6F40Yqtl92acoykx7O2D8IXFhGKtduFuaYXzga7vVAYsAkCClgmrJpN1ieu6KEmwURSZp6RYQ2kTXrnZcbmuh4efUU8-c4WHDj9mPTP7Uj5RjPxe2q_dxq1HvM7lmgPGCOqFFX5uvOjcrCto-CUqxgMad1sSVwkF7i5mWQ2tSgXyZvmvKn9u5MtU5t033MpVnIxRi-P6-U7XxwTLYpFuXp5XLXGHnm2dUAQe-__B4rYKYM4-DUz-ccGO56KveLR5Jb5QPccLtseSjy-IpVuAstJV6yWl_azCt7XmU6QLBDNg&avtc=1&avte=4&avts=1733832311;https://ir.ozone.ru/s3/multimedia-1/wc500/6413782129.jpg;Аксессуары;Женщинам;Женщинам
Платок;468.0;1777.0;74;4.9;221;https://www.ozon.ru/product/platok-1600996948/?advert=AAoB8_4VXqnpeC5AjACoPx8xNwR04UT_jxoaZJuzjuuHLyj5NGyMCevhSOVZO3oGiugP5JTjhUzjOIn0GNQsP8D_HCvw9WkiF-_NGwGraBu_w33naVMC8IOexFiBpjNxXzUw4LfOzYaD9Sp3hsXNilkAnObhNLwyzwZGv8khyiKJVjN9LGXBQMXhWAnjIb8Z6Vk24eqlXmTnHuhLFUtHPl7FA8EqREAH8sxHuLpxmKPlTDIHZcZSB4RhTb4u9Ca6A27B_JKkMEX-WI3mWHEkjBemyGfeMuSdM86c__qivilX6vDXQRmwxVLE8EOP0lxnjxKQnyle2e3x4SYw-XYydolK6RWE5B7cMZkU0Dk6IAOM7llREeaptEz5Tah6lwSo4Q68cujvJKeRug&avtc=1&avte=4&avts=1733832311;https://ir.ozone.ru/s3/multimedia-1-k/wc500/7215036068.jpg;Аксессуары;Женщинам;Женщинам
FRIMIS Варежки;616.0;1999.0;69;5.0;286;https://www.ozon.ru/product/frimis-varezhki-373594503/?advert=AAoBkt5m5xV1FSRvblP1adjAHpA7YTctY-lF1fR0YyWwnZ_RmajYdSY2xw_-UkAeBge1RwaBC514SdBWL1IzDOTQvxpV61deSPp3-jKIH4CkeKznMNZ2Uu-eJg2xYec_I5YS2THZsNVcR8b30ahHYs8Yu8q6yepOv8aaxlplELfI996eS3Hv-kDcFDJ6t0UM7DssCCgqD-1vOPDBndUeTGGAIiU5l7LbpxA5qxrPgP0JAJhPP4GS2zppsVQB9kqpUHD3V4MjnyaPMz-yRAUf_hqpU_n1pVQZrBunGpWrpVmbHnjLG-6EpKG6MBudBjJoJGpTPR7x6BMt3iSx562DfUUXa5dyvzGGnvhjIR9iXOFy1XG38HN4sxEP72D4tGaEDUOUsWwYPjPWmLk&avtc=1&avte=4&avts=1733832311;https://ir.ozone.ru/s3/multimedia-1-7/wc500/7159232059.jpg;Аксессуары;Женщинам;Женщинам
Капор ANTONETS;1092.0;5500.0;80;4.8;442;https://www.ozon.ru/product/kapor-antonets-1739599894/?advert=AAoBitunOR4E1Nhk7nJDRW-5sZSSSAkcLCzJz4ecwUowO3EUthBzLD2zeozd3c3QnybtAzKW-F2v0GSdcNyPkzNgRZVsmqg9jAB9vy-IVAUgrcV-3mZ-dGAx66hmDtBj9WqpLI6ysMFzrcL9i_R9LJg0sgecOqxIJwHItgNBQqe9iJT3slUrQ4XNVJn1pvQpeIJ5hsaR1higcr6NPwKJ55P5l3XC-KPjD1MS25-l2fTaDoOxPxlrTGA6-vv9F8p3qFKsVNIBdovXGNh225cnMyBduA8Hj1AAbqs0CFNKjgr6T3NOPZcqi7YLPmto9T01SR7L8eSwaYHWGY38myLfWQXhbulVaWU-NLO73wqpI2mFXhvJG_Tcvv3ounynIAjUkDng3IFZ1eY&avtc=1&avte=4&avts=1733832311;https://ir.ozone.ru/s3/multimedia-1-2/wc500/7185748646.jpg;Аксессуары;Женщинам;Женщинам
Рюкзак женский косичка;859.0;5000.0;83;4.8;304;https://www.ozon.ru/product/ryukzak-zhenskiy-kosichka-1034165128/?advert=AAoB00wTV14iX2cyZxATQLWloxvgcZgJEHzpeJ7vdXOU8B88gxIcTLUKrTjKnhpNd7Kl7Lg0YFlz5vGWIkdKik8hVzTqe7srSlWbmOQ84vCJiTZGn2YFwM2rRwd37iru85qNUXefLKbQbv7dKNxZeBdTruQr7IFwqq47s4sOOFma6WCFP023KaxZnZNy-D8my-TXDN2c50if-BUSdZ3IwwpUmQlL3XtXKOsIzdPa770L233GRZUJe-9wPR7hqbxMzdzGoehCe-SudyaGMAh-67JClakHWCD4YlsC6ef9sjvT4uREwfMbkSpMm75YUw-Vzdg24wuhSGoAnXUd6RoiOUQ9pGUfqmjMLg8BPrgmPUOW_pznH8ZPAPJZ4kmSlwSGrslW4_FzeA3DWA&avtc=1&avte=4&avts=1733832311;https://ir.ozone.ru/s3/multimedia-v/wc500/6873382723.jpg;Аксессуары;Женщинам;Женщинам
Crown Варежки;526.0;2190.0;76;4.9;2646;https://www.ozon.ru/product/crown-varezhki-1213571192/?advert=AAoBear5zeaa6KSudti37P06fVD1Hw_0gdOxilDQ_yEzmTPxpJx0Xtp7pj83aYPnIitgLrOgwNXWw4Noq1jUulmM2gXa2itpXH2oNjvVdu3-vkg3_ZpRLz5KjqxErJbi0MMmISHbg2lMnVIDpYdosMzpxfFcfnrfp81G5geqJ0Dqj5BFSM6FG87ADGLm-eWeD82sdBJFiphS7vYyyT8rW4-0RgF3Mo-s10xcrX6yDKk7jxMSCff9nB3CkXlbmzbNcC_8vd2LZAk_7x-guMZ-DhGh3z14MGngURA4ASlUcpRUw4OMi2ab81dqYnxVbQI1HyooC85ry_BDQn4oWFX8ASW2-EZ7304QP_jZUvINVhQCSYbWBVMgvnArQPN_aC65hULjqMBzsIcsnHo&avtc=1&avte=4&avts=1733832311;https://ir.ozone.ru/s3/multimedia-b/wc500/6779701343.jpg;Аксессуары;Женщинам;Женщинам
Варежки;705.0;3500.0;80;4.9;773;https://www.ozon.ru/product/varezhki-1743011985/?advert=AAoB3LbEpaHOoHVCfUN4_LiTQUoVuYX-vbawPaZ70cVzLTUr0CZRKtif9mAys-31O9lWXQDUOqY2W5SlCTIKc9RMLXS94xWNH5WNxrOSVGISQ8kCnKal7RX3qKMlFvvp7MEW6FiYhAQM3f5HrjdifLkEFwkIC3OkG6_tLS6hFAy6nXrsW4fJ5RHHgvunxXtRF5VsnpkGBz1DOkRuRgu5ahFO2wROwDW1sM0l5PPCm1wxiff2TxSjRt7a7lVSgsVZs8kmHfU2rdrZ9tXmhYM4_PnEuKmJ9JI8KE7ck8IIiimPBiQC5SZVYb6dMgp_mf_-Mc5ncWbSokdOE_978_Npme940qqZOB2VoBy2fTVr-T6N3NaDmk-qBDhs9mGeGp3pehXu10ZNCe-ewug&avtc=1&avte=2&avts=1733832311;https://ir.ozone.ru/s3/multimedia-s/wc500/6838176844.jpg;Аксессуары;Женщинам;Женщинам
TIMASSI Ремень Весь мир моды женский;747.0;2600.0;71;4.9;3236;https://www.ozon.ru/product/timassi-remen-ves-mir-mody-zhenskiy-1132986154/?advert=AAoBGHbtVVWTyQ_hxLMUNNMzIWhg4Bkccgbio25Cr8tQASZNC2ES6nD34N4JvHImXURGNWg8IEl5Lt2-WVfiuZCX9Ef227naA66O-K6P8nRDuOF_cffNpJMRfjvRsMye1d_ikbs8LWqjZv86WxMRjH-c6eHfUCUaTiUEWPZjuVjydKq-dmVZU3vBlky9pNgKJ1IwiLZpLhMI0OfHUtC0QCwO4qRD7RtnJB1dPqmgWJrs5NmgYe8rE8UjaTxS0V10ymEdDxKZ4890BfbLKx68aZTy4MhBCsi4gIG1opq2AguyRtKzOjL_ZlBJyMO8C63UIoN8QhPX9cy-jaFMsGvQWxu6LKTRtOe23Zt4uVlD9meG-ADbwNIfTqYUBihey9khr4qkQ7ypywKU5Q&avtc=1&avte=4&avts=1733832311;https://ir.ozone.ru/s3/multimedia-1-a/wc500/7220773414.jpg;Аксессуары;Женщинам;Женщинам
Часы наручные женские;1751.0;4542.0;61;-999.0;-999;https://www.ozon.ru/product/chasy-naruchnye-zhenskie-1748071369/?advert=AAoBrb7eiBVRMpc3sLlmYoIg_ENq1oTl_Hd1DSYGvfFaFRNUiVLdRWeGlQZrr8DQnBT56ENnGBT0chyqPopPRxwG1Of5j4350MdxIcfbvzpbZAKUHL_JjSR5onc8HSwJ2-ntPWa8YAP7twxJQnX41kPojese1gabJJNRcUNJmC50wwL0QSeOTNuuuwTMvlcoEqceqFV4x4GVO4ya57RbxPJYn4CPKoqCs6qx4Ihz21ECWpDmQKlKo13QLNJcMFX7kxsl21DaQch2tKWkPvt1Fw0Vc-U1TIlaEO5qTDT7xKrHLn9hLsal1iN0OUVLHElvFDV1rSCTFYGVkNu2Qg0d23Ej84d9968tm03pbPxc-nwfoP2-o1_aWQlXRvbsmaEpWZoPuJ_s60fj&avtc=1&avte=4&avts=1733832311;https://ir.ozone.ru/s3/multimedia-1-o/wc500/7208645136.jpg;Аксессуары;Женщинам;Женщинам
Перчатки Hammon Moda;1046.0;3600.0;71;-999.0;-999;https://www.ozon.ru/product/perchatki-hammon-moda-694819672/?advert=AAoBw2AsHlrmfuHqZPjqAIeDyJjnLblXFlFjadtcmNqOqwBaYg49r9QEzzz2EzmtdnO7hRjpK8PpdTXNexFrH0Y3EMIGsP322PGEFjjMATC-mDzO5tb19cfGRos7upKecyjOTV6jp1U2vQFbLd520LdQ8lSwYezzartfI3854kG_qimOUPQDNRrglruuMAyrAp5wOOfUb7yeFr9KmIOwWaJxGphF1ouIrS5z1jlb8vE4W8hyJaY6q0ofT3tJWNHKD-1wfz2SO3YYQuTWwdPyJ_aLNf5q7OCBLNti8fcsq4SXE1YZMZj2-5sjEucXjcvAMaUl0JhIzYne2C6KIfYGXIMT3gC0SzFTLHxYqMUUuapWyjsJMVyDOhgLRfpCij_e7fVKO3hmUv8LWg&avtc=1&avte=4&avts=1733832311;https://ir.ozone.ru/s3/multimedia-i/wc500/6489553038.jpg;Аксессуары;Женщинам;Женщинам
Ободок кошка с ушками, LovelyK;323.0;3700.0;91;5.0;14;https://www.ozon.ru/product/obodok-koshka-s-ushkami-lovelyk-1712455800/?advert=AAoBoxamOc-nLEKfA09xWqXYKDlunCYzaIYC1DEjw7aguQeLGRbaGunkGuwmkLOyqcl-L4vP4OucySYz0cklPmWWyxvnsT5-qj73BGFV8PotsQ8H_hqn8tDOhZvLgF4O9dXfPTC7IYO-aMPZhS2tpB2Yh1BGIkOEnENbMo_VhY5Uz8D26ppuZfEshm0-GFHO8HngU6K2UMIcWx6nRZ936dGu-XYmM_wqPocdM6DHTMxff-FWeMBajiAKOn0NTOharonl994UTPqGQvlxZGerv05yqWNKWnRKIv1O03y5KISH72nVhH2l60KWljjcezinwEvkqsVTZ_vfVtcCoy5Rrx7iCLXAs3hgPoL8P0USt_yz5fSuSEiNtfO-T6X5JjzEarCzMX_f7A&avtc=1&avte=4&avts=1733832313;https://ir.ozone.ru/s3/multimedia-1-y/wc500/7148503942.jpg;Аксессуары;Женщинам;Аксессуары для волос
Крабики для волос маленькие, набор 3шт.;294.0;350.0;16;4.8;179;https://www.ozon.ru/product/krabiki-dlya-volos-malenkie-nabor-3sht-1438537939/?advert=AAoBj-HKCfZnyDLIrIyiXIduRJuJ0h9KxPhSL2_pqT8fzGKYTSSQ-rU9B1TY-14NIGdCshgSp2ZshtyFVqSCw0EAHsW2LKDE_aOiDGiDL5kbAjjfkK9WTeNxS82kVcexaAbrEYlvjMV3cg-YWe1dTPL8DkQiGPhxeqVsb9-SyyCpCZP05vCFeCIjT5VXVfF3qp4zowsJLLBpdwoGmILhEslhbl3wbFHoFG4LlEbSgT2iddwNQHADHY_aMuUy21XYt3vnz6GvrL4ugldHninllgA1__1ZnGeHB9us5nn-4O2dggYs-v2COKuJeI9akrEyfazpeMWDuzX6GoF4PX4yB9Z_vTpEsAc4dV9038EhU8yOn9HiqjxCtA5POd4j2asfeYEVcbAhBQ&avtc=1&avte=4&avts=1733832313;https://ir.ozone.ru/s3/multimedia-1-b/wc500/6990235247.jpg;Аксессуары;Женщинам;Аксессуары для волос
Силиконовые резинки для волос ALLISSI черные, набор 250 штук. Маленькие резинки для волос детские, женские, идеально подходят для плетения и создания причесок;105.0;500.0;79;4.8;25691;https://www.ozon.ru/product/silikonovye-rezinki-dlya-volos-allissi-chernye-nabor-250-shtuk-malenkie-rezinki-dlya-volos-detskie-647546149/?advert=AAoB_Mq73nVWn6Q_bhxMN6H3KHfkw6Fdv8U6ZzHqq5VLE3jmWpwlNk7GtpXuCQa872l_t_7a_YrKicxILBghhpWoZhjXpRl_YLZfe1j9sxpFDtdJ_Gk8hVm9yt6D6avfd1aIeMqPUltAiddrI59d21wzBSuVZiXWQaC1F47ye2s-fi0QpNah--m--SQysFeCMwuD3sknnJti7BPPSvRfv95cQQpQX0u16BKkPqnW5eluYG75DN8NcUfPaoJJaUjND3DDAwGF0oRLA5kSJbtabGgkJQJgFuaE7UEE5w2M9x6ur76cH1S66f3qkccEEYkDi0s_eodXimwOJUabkQmR5XjbAxVOz4Y-8Ai2dJt3Wayle0w8xr0Jk6g3R06UuZf6Y55IkE1K-C97tw&avtc=1&avte=4&avts=1733832313;https://ir.ozone.ru/s3/multimedia-h/wc500/6373493249.jpg;Аксессуары;Женщинам;Аксессуары для волос
Заколки для волос (невидимки для волос) BLISKO, 4 шт.;255.0;550.0;54;4.9;2180;https://www.ozon.ru/product/zakolki-dlya-volos-nevidimki-dlya-volos-blisko-4-sht-1380254342/?advert=AAoB45rkBHxt1jeozSehHDv0hiy5sh1VXYuWmJXw6SgoaWuq96QgDeStcWJ6bf9UTdiW2_us6LAun9P9Kuth7NPuem7Z5dOGxww-IshkzGsK9cziYWku1mxhuYVESuAbTe0TznXOqA2zp24FtG6dxwVWxGrfLuc4Wg8uepfOj8zyDirtpkf92897Ysiri2icVrP63W3xP77JLaw9ckANZlk9aY2cekp5NqFN1n6IZzww1cEBlirBEBKEmDCtGRHqMtyH0rIik646zWrSzd9ovMmsYTj-gYIkzp_Q5xdoUTWIDKRKDHii5T-D1oJj4CXmq8IM7CTZUiW_a9y7xYMaXxbWYsDM3YA5_pB47TGhBapQlfZaKc7A1a3m6z3TSI8FmlIMCFluMRa1hhA&avtc=1&avte=4&avts=1733832313;https://ir.ozone.ru/s3/multimedia-1-h/wc500/7061586893.jpg;Аксессуары;Женщинам;Аксессуары для волос
Заколка для волос 1 шт.;273.0;604.0;55;4.5;452;https://www.ozon.ru/product/zakolka-dlya-volos-1-sht-1126652094/?advert=AAoBYNw4BMvVrac8QvCvV2NJlC8Jw-FSCx_aHUlJXe_6ooM0ALM-zWIJisTAJOo-L7cHJiFj4Acmuw4v-VFfjvZbq-mLzbuQdD98nmo29ONAJQhOUPloDPa52ddp4i8l4JlwAon1Nov1-tu1Mk2xQHUgXgAi0RqH0XQUKFMSl2o6RfiosuMaanhQlez_fBnjyrW-9kG7dwRfrAen1WMdnTOS_lUya1M1OMMSVrlqvovecIR7YngOLZk8yDo3VJBev-ek0q7cBpHjzROcIB6Bo5zFkQNZvULJVfoi6_jOWKwiWG-x3dm8mcwF6NlGLKUkkPoW9WEbsk-bcZzksxbbXOMS-VIX7D4bblXb2HTvgkjTY29MK1XvZugZotQvt1KJdLiToDB4wbE&avtc=1&avte=4&avts=1733832313;https://ir.ozone.ru/s3/multimedia-t/wc500/6755681189.jpg;Аксессуары;Женщинам;Аксессуары для волос
