title;price;initprice;discount;rating;reviews;url;img_url;cat;sub_cat;sub_sub_cat
1 рубль 1897 ** Брюссель Николай 2 XF (№2);723.0;2800.0;74;4.1;15;https://www.ozon.ru/product/1-rubl-1897-bryussel-nikolay-2-xf-2-1735602812/?advert=AAoBf20vB7O-RyzAsaluGr09A-MNGtAyUVyOb_csxafCPS56-fmXrkmtj6CFxOWUtd-f4urGohkdEUX4RmhMiYiZr28xOLlILyutqUTZD4gaYQ6rnpOpaw1-TQYdHbpEkOFualIqsXRNJEJeVx2M6xDgUhArKX1PqYMPSgGmLtz5hqIgY-W_O03uCqrY4eCfw3VAifz13Lb-6wrpFISUB3h0EmHhLMeeYVkwfQqbb-2dUNj2Uq5Eeid0NG7I4lo3OfX5T_90Z_IhVKg9mHyizl47a8ym0COfzlh4FKmesXJkJoaPIVCgCaVCNby9Ai2TaBgv5OuxaPjyYyih_Swtac7t0WWJfNGOpxe1e_9rz5c28r-FqjH4RSmkbWRz0Dyjs1no7vgp&avtc=1&avte=4&avts=1733833220;https://ir.ozone.ru/s3/multimedia-1-e/wc350/7201872878.jpg;Антиквариат и коллекционирование;Коллекционирование;Коллекционирование
футляр для медали с гербом;1701.0;3500.0;51;4.9;76;https://www.ozon.ru/product/futlyar-dlya-medali-s-gerbom-1612513639/?advert=AAoBTj6WbdVsuyzVK9P6ejtN8D8n41NfMSpGICGxO2gSqCmuVdiNNu6qVisBctoPlGhQSleG5ynksdr8_xkHyH2B69lxffa5LfA2VDSbnCW-2tUhVGecAsMTIecw89onx8yi3TgduLR2g79jtw8-sj84GmwVRu_-qvz9lzoH1A3VCBkaqMOIdMLuNq_EwiGzeffFyQhIW-fuwl0I3O1uzdBs1qI3n6GQDGXvLD_qjks6vpTwMkJOUvDT-68WaEmx-YCHCGOAre5egxVa_e8ebNyZMvaYseiataWVAZ4_aAlQ_QT4Tvk1as9Rk1WJ4_gCm1cx2JeGq71UMh7UivIyTzRKLM0jPI3u_JvqFprUa2lciN878d-R8jULOpcA5woUsAkHxQImOW2ytQ&avtc=1&avte=4&avts=1733833220;https://ir.ozone.ru/s3/multimedia-1-y/wc350/7060938514.jpg;Антиквариат и коллекционирование;Коллекционирование;Коллекционирование
Альбом для монет;1784.0;3990.0;55;5.0;509;https://www.ozon.ru/product/albom-dlya-monet-1509375393/?advert=AAoB-_yT1yE1nBXaHnjyBSyinfs5Nmxb-8tmEz22RSI2bSNIMm0_KcDsbQrjB9-4oIV1G9XEak0wa_HT57kASy57_JaZr_76FnIFQtWRox9DQJhuiewkSw5PzBfNillVrUwlkW0xH1TD1UPcVYF2Pi0rask0dvzEiJhUJHfadlGJjF9TCyXHG7kglZ_qdeLj4SidByqx8innPM_tl5SIoKX7aPDDDg9EWXlnbYckHjmL4U_f0pCtChg2Zx74YWQ00kE_E-UJLNGzJSSj5LDnO-Yp_GPQ2yL8Tspddjl6SQoCnY4cQVklrP_5NaIP-PbO-wOtps2EIuMoscfQiU0zpBTnKCC9CL6l2RE697qBJZS6J29Uqb5NlUTnCzxLCbLR3EtuZdkX7DlebA&avtc=1&avte=4&avts=1733833220;https://ir.ozone.ru/s3/multimedia-1-o/wc350/7012350852.jpg;Антиквариат и коллекционирование;Коллекционирование;Коллекционирование
Альбом для монет и банкнот;1784.0;3990.0;55;5.0;509;https://www.ozon.ru/product/albom-dlya-monet-i-banknot-1509358549/?advert=AAoBo3d8dCAnKKuCp_2jqXCwC3MliWrDRHaOc9MUepezNbtJLAuRIrAzSY7ehgA4g5RrDOkzZE2ltsPIWI7eMfJYnA74KxRtiSd1vhcsXTw8-J7bBEL6GUVnTws55Xn3_S5Q54rD1tRj_Lf4QBBymLB77C6n5TQsyu35gW7XJtdtuTEp9y5WRz_8PxgQPBCWDL4tnJi5bbK1MzwMhxR6_jeusPwCXdGFqZZaOZkUOfZufhxbE9nPcw3VVtd_HYijEgwxvKnSchp85QBmzG0QuNe2BPZIYG6B6_8QPWgwnJ3QG-64QTiZmt6sxbzOF0u51TBJmyHl7rysuPc1mPTS6-tURya001vtqciAxDjYEetE-OIAauvmunDfU8IuTvilwCEhYMLbOzfvEg&avtc=1&avte=4&avts=1733833220;https://ir.ozone.ru/s3/multimedia-1-l/wc350/7010931981.jpg;Антиквариат и коллекционирование;Коллекционирование;Коллекционирование
Набор из 47 монет России номиналом 10 рублей 2012 - 2019 год - серии Города Воинской Славы и юбилеи - UNC;1597.0;2999.0;47;-999.0;6;https://www.ozon.ru/product/nabor-iz-47-monet-rossii-nominalom-10-rubley-2012-2019-god-serii-goroda-voinskoy-slavy-i-yubilei-unc-1760667330/?advert=AAoBTn78IGFcgCHEPGFH428WqEuMu4z7rb0G_dY2DrVlgI8i9ra1H_VqMpiPYy9fh0WRIvKgECArWceRbsoCs7QqW5lkaJelHd3KWf26AHPAsZ6MPURZFRrvKS2VZEwvXYOkKTplvyYJ1_CxeC0-h8B_XlXFGkQ4PTWgwj_2iWH7BJzFo75CllvdcQJZA7s-lHZmOet3mVcw8mPN7qwRNvUqJCx6GCiSpE2u_AN9aKuTHOWdDOw0wi75_c8qFUk3Kti3F7MLbul4THLQqneGkqxi4nhb_aiQbgiHWaIFkOA3o3hWMcvaB931V-5zRtnzJTlk2jMX9FuubAAlL2qyhuaZdVfuEtfP6zNf8olhFqDg7rQTxh4SCj-74utrD28y&avtc=1&avte=4&avts=1733833220;https://ir.ozone.ru/s3/multimedia-1-2/wc350/7200508178.jpg;Антиквариат и коллекционирование;Коллекционирование;Коллекционирование
Альбом для монет, банкнот и купюр с ячейками;1784.0;3990.0;55;5.0;509;https://www.ozon.ru/product/albom-dlya-monet-banknot-i-kupyur-s-yacheykami-1509346885/?advert=AAoBgFGdjG9_-yU5WOF__Nm7AWREe4qfMSKLeV9v9DjwzZldcwAG56x_VNIkedQrnIuZkuAeU1dsM5-v3gxDrx-T4WZs8aLz8vED0udRbI1Ng2fZ_k9LHHIfarVrTf4aT0QfTE7fsVw3czMhcko6m1e6_vr77raVQM6qQeuj_cVx0lNJROL57YwfEo2lLnFHAanOUqqsBUirzigeWryaoMCGlsMYssN_kwaT94mip4oX7Hq9tMvC_iP5Gc4K88gMGM9AuCgSJgnqPFYz0ZTkhJSv8Id3VKxceIgGrcGyp6rr-FoxNU9zzunHFK3oreXDZP0XqP-ZTK6MGV30M-F2LTr44oht8RiB2TTLAfc2XpdzvTEqyVKHZj4Oko9PoFKNwetHAi8dRi5SPA&avtc=1&avte=4&avts=1733833220;https://ir.ozone.ru/s3/multimedia-1-v/wc350/7009586743.jpg;Антиквариат и коллекционирование;Коллекционирование;Коллекционирование
Банкноты Египет 2 шт. набор 10-20 Фунтов 2023 год - полимерные, UNC;394.0;1500.0;74;5.0;48;https://www.ozon.ru/product/banknoty-egipet-2-sht-nabor-10-20-funtov-2023-god-polimernye-unc-1352416504/?advert=AAoBvPeMzp6vjrYkpIwWW5O2QoPq_lSjvqHTYcmtmiVE7eO11Ms-bJ1sBb6J7lA-4kA8AHFTAmTAxSXtj95QP0L85QxlHs-0i55Z0sC4y_2hvuEtYkSBO7g3HXbcnBNAUCEu6bgRF1rzI5X2DGfpEsVPYaQ2uT8K4_-3Nw3bEeuWX1aqMtL7Wcyg8t2Pylj8r1RWKFj1lfsCgk_gMrvkbuFCdNtlJ1kPozn3Oh7mzxAx3Pzle1sDrV2bOB3Jzovajnwm8zd21fMhkVHFNLgIxZf22DKOcezJh9lyPfzqPASl9uEOM0w-N-4fDjqlvdCTlMJ8x-DfB3oQMyGLiSegRJSGDW3ymKuIE2GNqK9K7a_N2yz2qb4M99unI03f8UPv8m5zQ1t5Dg&avtc=1&avte=4&avts=1733833220;https://ir.ozone.ru/s3/multimedia-p/wc350/6868554685.jpg;Антиквариат и коллекционирование;Коллекционирование;Коллекционирование
Приднестровье набор из 5 монет 1 рубль 2017-2018 Космос;580.0;980.0;41;4.9;46;https://www.ozon.ru/product/pridnestrove-nabor-iz-5-monet-1-rubl-2017-2018-kosmos-1422303279/?advert=AAoBjRSYHAvHTxe1BxpAJaHlQf5SVhOiC8iasMXxqrbnXNf2gfA5E_wtsP92HwXmiXcyIjMZvZ8AWLz7Ctk5R5L4_eJuEB10p-Dtayx2-4D7CbAjBngMcjoXe-lKgKLRBvaDHVKsC9tM5kk7TS1v_5kbzgEmvufR0sGtf91Dyr0smqlH5h8v20Szs435e1rAvsmPqaJQlZcTOs2IGzUWKIgkh2UlY0qgc7ZSSkardNh3KEln7bqi60iYn1mM36iR5ef75x4LKI-RCs9OvUs4JJHc0iFkVfNwSUFrNQR9CbIofACyDDLc3WmsS6Hd7dxrqtnf-MTb4mOQrZmAIW4r8R1z_0HPXfdTnUURFqpAyiy0_JqcdrU5ZJRIvZ7aHGzuEqCznHWdzn5l2g&avtc=1&avte=4&avts=1733833220;https://ir.ozone.ru/s3/multimedia-1-n/wc350/6922580747.jpg;Антиквариат и коллекционирование;Коллекционирование;Коллекционирование
Аниме-фигурка Нендороида, сделанная в Бездне, Золотом городе Палящего солнца Фапута;1123.0;7808.0;86;5.0;2;https://www.ozon.ru/product/anime-figurka-nendoroida-sdelannaya-v-bezdne-zolotom-gorode-palyashchego-solntsa-faputa-1657883981/?asb=Uq14byiqNg61QQx7OSk0sAa%252Fg1598t5mPEUM80L3tro%253D&asb2=7bgzZm4pxGp9jmrj48VEA9Lq04FkAqBKfvGewzmRUVHd5OmtdoSCIjJECAsuRnVd&avtc=1&avte=4&avts=1733833222;https://ir.ozone.ru/s3/multimedia-1-3/wc350/7100343003.jpg;Антиквариат и коллекционирование;Коллекционирование;Куклы
Аниме фигурка GANTZ Симохира Рэйхуа Второе поколение 25CM;1857.0;8800.0;79;5.0;5;https://www.ozon.ru/product/anime-figurka-gantz-simohira-reyhua-vtoroe-pokolenie-25cm-1692867671/?asb=mJoeS7bfzEfpL2XvuU69zWKaZgoy2DZAIvetJy1hXBw%253D&asb2=ftCVwv0zm9v0wivIRtDFgSXy94KbHulFoOBfkK7dBzFSA5NR1sDo82lSsaeZsZYfBWwxeLrIjqDJjPWwuLHRhg&avtc=1&avte=4&avts=1733833222;https://ir.ozone.ru/s3/adult-placeholders/wc350/plug2.png;Антиквариат и коллекционирование;Коллекционирование;Куклы
