title;price;initprice;discount;rating;reviews;url;img_url;cat;sub_cat;sub_sub_cat
Максиколд Рино (малина) при ОРВИ, простуде и гриппе + парацетамол 325мг, жаропонижающее, 10 пакетиков;352.0;449.0;22;5.0;2049;https://www.ozon.ru/product/maksikold-rino-malina-pri-orvi-prostude-i-grippe-paratsetamol-325mg-zharoponizhayushchee-150336620/?advert=AAoBxPbREx_PC68cL8cuhAqQeuan5FYGO1wDd30o1i3IfTzHGKTTKDlsMv8A-rlqr_EJf2B_glnmHKIr5_b0TJ6XngVNOsblnahHakIoIMaPBuapWQP5NX85AMGsjodgu4rniRd0Axr4WV4E7V0Lsl0FGELjjv7fHQYlt6-WIAeb2kypK2WyKUvxdUCQ00kou0ccFBu6Uob8uzxFZ7jZUPhM0yuW6D4i6LhP_CZeoaUH4GSg1zr2IAJHBWibt7OltRe6TJM5l3vWph525utularmRgWvuWnKuN5P_LMg8EbFSyjmReiHxN7fomi9WaRbaKOf_5P3D6M0XSiCa6bjnC5AlMtQEA7AqkvdzESJHMPUq_JH3HG1siSyLka61HwkYJUh&avtc=1&avte=1&avts=1733832645;https://ir.ozone.ru/s3/multimedia-1-q/wc350/6987854390.jpg;Аптека;Лекарственные средства;Лекарственные средства
Бронхипрет® сироп от кашля для взрослых и детей с 1 года, 50 мл;311.0;-999.0;-999;4.9;109;https://www.ozon.ru/product/bronhipret-sirop-ot-kashlya-dlya-vzroslyh-i-detey-s-1-goda-50-ml-147251447/?advert=AAoBC2cbByHbQ-sAmkHNw_BDlKj31P5vSns8hFdKKsP8DlBkLSAoh7oGcWc0A3l6Pw6zMqo0yY0hIoebyHNJNYBs-MrIsEZQSxqMXEgx-6xerjFX9SJqns_dTIEB8kfqQgpbWfMZY4cO-MBAnWFaSSqpcQCpdwMsNRcxlcz2awACFlFXF0pP1-dQc6ks53icKKgcHQabyXi0S7qUVMdAouLnP6RQyK0aGDDj6SvFpLGOc-cOGxR7E-vN4Rc2EqzpFP1rP8FdgQN7DvqEoTiXP5wNh7ud3ydq4erJSifps0mxCT8IS1WB23oi2fbkeSrGNZaKLbBSBKDrGQoVinwGtDTg0h3b-cB4tP8giECRNRDXcy_vrpBQ0GuIHpyhi4OQjLRXmjI&avtc=1&avte=4&avts=1733832645;https://ir.ozone.ru/s3/multimedia-1-j/wc350/7158733855.jpg;Аптека;Лекарственные средства;Лекарственные средства
Бронхипрет® сироп от кашля для взрослых и детей с 1 года, 100 мл;537.0;-999.0;-999;5.0;159;https://www.ozon.ru/product/bronhipret-sirop-ot-kashlya-dlya-vzroslyh-i-detey-s-1-goda-100-ml-148170511/?advert=AAoBp3_WUMgbPb2a1uZ7bEs5zaeF6QDvjD3CeJtfQFOCZLoprRXxKRDCgiieK2_Is15ReRr4K0vQj_TowQPCXuDmfcTqcECh4sdvcQaJ5onADJ1f-QDP1pfCGJ2Ec0kad6Qk9TlI1yLlX99cnOqpheBowjnngC_mc3VZCM4Em7-t_DlNEuTzwTNqqTQohZzyPlPOIHMeWp1RkAx5iwm2k8tH47OikM3eSwSiff_R6-dHAWrWulXTCkQAI_HdfxlzfEUmh46LIXv2Wke0X8FHwahD9uCfxg8-D4Q8NHYqMKN-DMx61RVulNzvW0EIWhXrKUSTBdPfwIFWhYxQxOGSPhEvt2dVJSDfcdxnpcs_X2RFB5k3cm5FRI5dJg9S5pt48e5Qq1Y&avtc=1&avte=4&avts=1733832645;https://ir.ozone.ru/s3/multimedia-1-n/wc350/7158733859.jpg;Аптека;Лекарственные средства;Лекарственные средства
Фосфалюгель гель д/вн. приема 20% пак. 16г №20;612.0;690.0;11;5.0;1943;https://www.ozon.ru/product/fosfalyugel-gel-d-vn-priema-20-pak-16g-20-146930865/?advert=AAoBHEeTiS5RAyLA8EtdGT1gyB_k49kEf3Q5hFrwh7BV9RZtSVNp-WaNTq0tIIFURlAEpj5Hpm2fjDAzipcBMpPVR2kMrkWBvK23dqELviyGfMPAzChtbsOJoMHonrkAeAUOb2nLIStW-dZP6gvdNy9DUw6OkPSYUXKHFy7587AoTtRLfx-eBdv06Y53BANieK4v_OLQ79U0UKSuPfHAN89Mg48UETd6sWCXbcauEnDpfj7llNKvcuglHd5tWwobBpbBiH_dnubsbM-XNbDaxlj15yPYklE-zOIlxq_Tkv-jqL8OsTD2AWsqZmJI4xbeeXzEm0ns7cnrLoJPJu6P0GDk0XWggDX2i7eCTMI2MPO04Qn3rSdLVk2F_-Fw1PA5bRkcTp0&avtc=1&avte=1&avts=1733832645;https://ir.ozone.ru/s3/multimedia-1-a/wc350/6953905078.jpg;Аптека;Лекарственные средства;Лекарственные средства
Миг 400 таблетки п.п.о. 400мг N20;134.0;155.0;14;5.0;2163;https://www.ozon.ru/product/mig-400-tabletki-p-p-o-400mg-n20-146940271/?advert=AAoB_QdSYoaaLeqzt1C_8RS45gUJ6dVIDb9iA6Ej52AAGwjCdHitXp6WXhMHE2xiwR8ppTNAgQLfkLf9JPC6OzdLJPm2Fr7BSlrnsI9o5A4A7VsX9trmTyULMPmDEPV30W1yHel7aWZoLm-mOV0NEEt22ntU8PlrKkkCHQWpda6mjMJUwcQ5r2aayFhsP60HwYkWrbP7wUasLhEGMaFsgKNJ4e4XL-1OMDP3D6132EUPuo7Dj_4O-8m5CHb8wyg0HEcsKUSBsQB9X4OpuSe0X-pVxY-3r-axaygUUM0dToym8c9f96lGI2v4nIX6bTyVSHlmLJSRuqZ-ZK8CvZ73IxsQzWOHIGF1RQiJHtIIeUmHfgtanv8DzZaewFFjDSqDzNE&avtc=1&avte=1&avts=1733832645;https://ir.ozone.ru/s3/multimedia-d/wc350/6844397509.jpg;Аптека;Лекарственные средства;Лекарственные средства
Эссенциале форте Н — капсулы 90 шт., для восстановления клеток печени;1701.0;-999.0;-999;4.9;631;https://www.ozon.ru/product/essentsiale-forte-n-kapsuly-90-sht-dlya-vosstanovleniya-kletok-pecheni-146933043/?advert=AAoB_TFFLRiDfJT89QAIKStsD5InfxlhVDpYhIJtT8VPtgCQyvsEmdqTPhO8c9s_bipPH6j9oF8HJgu9jfNAO-Vb1bxThBNtxpdbTW7IMqTZ6x_PRXbJgRbVRWiTHsNieMoe_fHHB4CWe0FmHCGZeME2zmK2VTosNzci4aYb-67zwGWonbZiMS6_J5cx5EwyAhZ0HnsXediucbGERmCG6UchDFI5cGuLB5wWeaNwr0r8tpXO4AcRGLXC_Yh1yzgvS3E2lngciy8RMyb77JypMZ_DmKU45JUZHbzqYiRhbe-czYp52EvxUEVjAgDi3m9zpPFFi2W-zaKTdjfajHEfgxH8cagYP2DIWYpyz0ro2lQJP0vr7bGF-zMj_MZj9d0iJF8QWrY&avtc=1&avte=1&avts=1733832645;https://ir.ozone.ru/s3/multimedia-1-a/wc350/7091039806.jpg;Аптека;Лекарственные средства;Лекарственные средства
Тизин® Классик спрей назальный от насморка дозированный 0.1%, флакон 10 мл;107.0;137.0;22;5.0;3018;https://www.ozon.ru/product/tizin-klassik-sprey-nazalnyy-ot-nasmorka-dozirovannyy-0-1-flakon-10-ml-146806384/?advert=AAoB2dMNsTgb_HFZIxVfbv6vbguAsF5WtBAXCBNu5Hi86XHnpIz5QUCFXcGUJfKT6UJJ2hLOBF83viXcv62TZFgsXv4LYIOX2MCxl4S2IJGHFuCbOAlOMuqVr1kiV3BJOa7mV1rIraIgsWRhPGLDA62oCOAAjJ3GydexyxECZnX9eHTSX9140tf_nMG3QzbxWhR__Bs4FX-mLTU_AbVeujr2p0zTxDrxTeUNIRY5nD8PQA2hR3H80bJF_VSbYPuZX8NZCtbT1ARgS-qXDFVGpdiVP89zYzO-RDD-_uTPEm7yNf7ckyklOQVFHASqG4nTkeVFqB-Bz07NEKzdFk0w3qviet2ZM-ymriu6hb804BjwnaNSjF4MlhBRjOFPY8Xt7iM&avtc=1&avte=1&avts=1733832645;https://ir.ozone.ru/s3/multimedia-x/wc350/6828572397.jpg;Аптека;Лекарственные средства;Лекарственные средства
Энтеросгель паста для приема внутрь, туба, 225 г, №1;564.0;-999.0;-999;5.0;3762;https://www.ozon.ru/product/enterosgel-pasta-dlya-priema-vnutr-tuba-225-g-1-146940314/?advert=AAoBSc4Mk6gYwzEwIakvh912WGAJGp0G959iK6FM1YXlQNJRc2rb3-F-zqzr-Yvi1TPvFURy4MLHO89Eli4IaKoGFtipp2rOxnRUZNs2I1DJ1A6WRwsz-HsfLi22pCSb-A_Eh-Uu4A7p1W7xJMS26Qe1PngxGErQ229EEkfZPSziTq7Ju6H5Z1WQwidCcVULI-SBbeIdNAW3kN61br8i4QvCbHO4WO7CBeCWXZyRdfxbg9y6mktp4IO7YVxHysz6pguS1P2H0fL_0jnuTPrsxpfuRjIziewZ0R3o48oGPjSU6pyoSAwpQw2Qaj-IhONyCLJHFfg22q9NnFrklTiJ7Nxs4xJpEPWgS_1wT3UqVenxyKev3YYeaVzW4_KOQLAaBhU&avtc=1&avte=1&avts=1733832645;https://ir.ozone.ru/multimedia/wc350/1024135526.jpg;Аптека;Лекарственные средства;Лекарственные средства
Аципол пробиотик + пребиотик для профилактики и лечения дисбактериоза, при приеме антибиотиков и кишечных инфекций, 30 капсул;481.0;579.0;17;-999.0;-999;https://www.ozon.ru/product/atsipol-probiotik-prebiotik-dlya-profilaktiki-i-lecheniya-disbakterioza-pri-prieme-antibiotikov-i-373351049/?advert=AAoB_r4Db3QocuABINzRJMIkNHBrdY7fO_L15EaR24a-Bpu33WGHiOeDMz7lYjVSZCmGqp7Fd30j_i-Zwze2UKr18W7XKt1Vi-741Uze-yyDEJZoZJh3-rYSZsNziceA6awhlEP7gjv-SDopdkYEr8W70POBcOEOcB_oReIwah8uERT0TZ6yZO_R1taRBK_SpKDkJo7KG-CbhrXyUeB-fyb_Um5umfSVBvIJjJsFei0hwRVV-eWBbxtpbt-gGsjONZOyNNsAFDvJyz55cWCM7RT1WQzCrByuap_5ZbWw70vOSRGPUsPhGzl11IPNC9IiCR6v-hCRfb4_0VZGBRvYt6XqMLLReioVRWWFfzvr-lnS5jb40aw81Xt7YLI4E9nz-utOAOjf&avtc=4&avte=1&avts=1733832645;https://ir.ozone.ru/s3/multimedia-d/wc350/6425814097.jpg;Аптека;Лекарственные средства;Лекарственные средства
Но-шпа форте - таблетки 24 шт., дротаверин 80 мг, при боли в животе,;152.0;179.0;15;-999.0;-999;https://www.ozon.ru/product/no-shpa-forte-tabletki-24-sht-drotaverin-80-mg-pri-boli-v-zhivote-148170252/?advert=AAoB4PVzXqLMAaGOpFL2_UXN8Fcztkh64lhEk90kvpSiMucsfcP6pZVImcG-G5FVhVYC56qb6xoC_W69e0hPYRpkxj1WkGReUzoTTA_Bkek9SSi2N15tM3nUU6o0jxc8bJr0drxxVuLeS7xul2yTTlV_iUQCfByeXsk9fG2_-Liib7G-d6QKgAHj2kgZlIi4yMt_q6PDOV9R8c2ZuFGFnAdBMBiJ8X-AY9zY8OUsUmP3PDtN1TM_XLMkvaBp-txkHk6BgMTw7wYImMBNnpC898uzFemiXVUwy15hQ4nJC3hdimwtTvakCbvt6sx5Tyj_2TAJD-lu7jV2sFuGers-l5XZtR_WOkpKTl73n7SKdkJBVw2v3whEB8DQwKihyK2gA1o&avtc=1&avte=1&avts=1733832645;https://ir.ozone.ru/s3/multimedia-n/wc350/6050831951.jpg;Аптека;Лекарственные средства;Лекарственные средства
