title;price;initprice;discount;rating;reviews;url;img_url;cat;sub_cat;sub_sub_cat
Увлажнитель воздуха для дома настольный;1890.0;15000.0;87;5.0;342;https://www.ozon.ru/product/uvlazhnitel-vozduha-dlya-doma-nastolnyy-1757420277/?advert=AAoBUpGbnAgcaZZ74rA_io8zIHDOP4CgQfbnKtTxGw5qVEnBGzl6f7PRlJjTDzxDsdMzjUi4IpoWpvSQo-XVoie2y26EcA4rItd_fv_jVpIuqkOfOFSn-Ayx4L5M_AnKbPiOOYRf36vVd7RNv05LpqUMqpzIVu5oS0X4Kt1bKUJln-FWqObUPeaQBUJFbp9VdTu-T02thtqW9BsOowT9_mmwMxm4LHPRDs2orGPY89uMtMM190asYdt9oMlvJv3ySlGEEjKCR8Pa7BoYUSEmm1DP1qJkxfPFzy_JFdFViWeampwCHuzaTClgjbh5byA93YKFhUDpQs3nyOdDPajaTAEYY5NMKhKN6i_aQZ_Eja_R-rAjZCP5LJss5XbUMRWAT27-PEZuDqg&avtc=1&avte=2&avts=1733833072;https://ir.ozone.ru/s3/multimedia-1-7/wc350/7117230103.jpg;Бытовая техника;Климатическая техника;Климатическая техника
Увлажнитель воздуха напольный для дома смарт, ультразвуковой, большой, настольный 8литров, с ароматизатором, мойка воздуха с увлажнителем, со встроенной уф лампой, сенсорный аромадиффузор;6308.0;23000.0;73;4.7;345;https://www.ozon.ru/product/uvlazhnitel-vozduha-napolnyy-dlya-doma-smart-ultrazvukovoy-bolshoy-nastolnyy-8litrov-1759065523/?advert=AAoB1GtPpl3_jSEWeWuutoXDPGh9ERJWcYwyriOy9-AZhmJcjsFhmaIjMa92gDyb4lasfoRWOMeAvSwM1BWXMReziYDxfW8y9whMUPOWWxw6SxnSrSfxYgSM_JzgPDch9rJbN68qChGxwe3oViWWkEfh9lGJtgwi78PfRbEtXvWp09DD3de9bqValDNAjfkmlfTjESgS_Eta0G1mCwkTaAjI4GkhUlKR7lSQ99L-ujJB846_sL3fpGJl5G1WpLGLTrnLgZlO3wTAbc4TXVLEm6ubqEwmnr9xyCZe06O18J8kOXpidAvhJqWvsP_HfSxT733jLw21AnLny6cJixFFuwpT_jJaBPZszSo-AtoVCgWGlPsL_tI7zv2tZQzEFZ8pRVcg-Pz1344v&avtc=1&avte=4&avts=1733833072;https://ir.ozone.ru/s3/multimedia-1-4/wc350/7216728340.jpg;Бытовая техника;Климатическая техника;Климатическая техника
Камин электрический напольный ELEKAM NEO Pulsar 38 с очагом и порталом, с пультом, обогревом и имитацией огня (Электрокамин);47531.0;89900.0;47;-999;86;https://www.ozon.ru/product/kamin-elektricheskiy-napolnyy-elekam-neo-pulsar-38-s-ochagom-i-portalom-s-pultom-obogrevom-1234463918/?advert=AAoBW5aSPGVNWWhwgUzNdLffliNCo0KNkn8wE6IHe1CjbrMMv6oFw30oH9jvxWpjhxrmkuyJsdWUoujqnk2dWzQKh8HTcgrW3yV-_9-iOZITJgWoTd3zAhoOpJ_mbF00XTywgDb619ETjASWwznI22si_y1DvtfjU42kVRf425WeR2gVkuSPp11jm25edinNIMcHU_gBmSy5jC2tWQb9DhulHoGmfwjOWu7Bcg0S0upX9qGi0pS5G_MraVViIjwCr55DHW5OM3xJ-oMCxz6WR60ODomyA7iClDzY5IBnnDLjqc6m_SUdj0orrNBA-w3lXLvCvNM1g-aqNicnK1sy9If57MkqY9lDRuk45FMwssPzd6vQDLWtypAS5Qk_03bI_EgWsrbsIq4N&avtc=1&avte=4&avts=1733833072;https://ir.ozone.ru/s3/multimedia-1-c/wc350/7221766548.jpg;Бытовая техника;Климатическая техника;Климатическая техника
Обогреватель для дома/ Тепловая пушка керамический нагрев с вращением 180 градусов;2375.0;12847.0;82;4.5;154;https://www.ozon.ru/product/obogrevatel-dlya-doma-teplovaya-pushka-keramicheskiy-nagrev-s-vrashcheniem-180-gradusov-1683768346/?advert=AAoB2ofJr3Cd-jeXYHrWkp1xNOhHhssU8Ko8McIt8c71rRbfKXDK9H9xQkXgqwvUYsR3HoSZz_Ho3VPed64iHQwhZYcg84RlLvmGfxBce_LIVo0ywEbvbFenEmAnY0Qo0xMGnwnN6lL_J61CQLIvF_UKYKOlZY_-FQiQRDfyul_aNorQyZIF1oiKG2DIqoYrHrzYybxSH9-8IV01slCaOBwuDlsJgTcotynFOgrIBGsHRPySbYoXTT7qz4plA0JWaatciRQqZf6vaccw2SaSelF2FsXAMdXTIkJarFaMYaGZJ2u4WqRhAWi0MwGFrIEBxOKBDRd_AM52DbqODgCH5WDQcOW_nUiP5MeihagVj_59a0RfGvKYdFfUxNxk7_ASs3J-gf1ThzLL&avtc=1&avte=4&avts=1733833072;https://ir.ozone.ru/s3/multimedia-1-c/wc350/7215061224.jpg;Бытовая техника;Климатическая техника;Климатическая техника
Обогреватель для дома керамический;14974.0;40000.0;63;5.0;1148;https://www.ozon.ru/product/obogrevatel-dlya-doma-keramicheskiy-1756413358/?advert=AAoBjdPSp_LF3gYlepdC6DK_TqV6zRkdHcp7hLJTWB26BLReciu5uJpe7oRjrE0mjKadRx0FbHytXjLf1GTWOAfXKlrbhQpayzqonaIdeZiuPCyz99QnMYs0QO_4sYOmOPs6p1JgrjkrNdBqP-s5cnkMWQAlDBBzlcXFXf4BuV4Wb_39gOIGv1x9CNmIauo30j_fReNioPb9sR9175Szhbf19_BKnW7dQD-BhQwY5QMFx9zZgeSIS6h8RwTR3p6Z4VJINrIEJJ1sS5YEhZMzDbEzTV2yMI1Z6Hups0NsEO0LnvQrxLMypL98SiE9ZE06vfzFEG7iU7z5VWC9ub_vVeyAL_nTopFH3ac043ipAgpCk9Mmq03aPdM1xtRSz4i5uOnKbWXA8ZswJNMBvaI&avtc=1&avte=1&avts=1733833072;https://ir.ozone.ru/s3/multimedia-1-q/wc350/7194763934.jpg;Бытовая техника;Климатическая техника;Климатическая техника
Камин электрический напольный Elekam Line белый Pulsar 60 с порталом и очагом, с обогревом и имитацией огня (Электрокамин);57789.0;159000.0;64;-999;41;https://www.ozon.ru/product/kamin-elektricheskiy-napolnyy-elekam-lines-belyy-pulsar-60-s-portalom-i-ochagom-s-obogrevom-1713896162/?advert=AAoBduIDHk48094RsgAvxg5T1XWwMJyXX6Rjf7hcssIbi1WQmnCFhw9BENFAtDeDnXi-K4raXOl8OUxtGH3JZ0qr70kNUzRMj7jcTTORHBVPTDsyI0FgKEZdnDFGb3aBFpmE7Vw6FvTQMQd7FXsSmZ9lXrsiKmCml8flmYESy_suNwdIh_rrlf2EWRANB3gzimsoZByS3Ms1IDDvGP1JZH9cF-uiZRl7-c77SrLs8-mEEV5sAVCOx0MSNW0DmIwhBWCUYEOGE1rEV6i5Lz0qgca4X1USzeK5D4q1UWfjOfp0z5kLDpkcAfs7whikK-7Fd7gOhmuTW7C0FJ49NX1sgULcwT75MwpZ-IH6zPjoJRCF89ix-QWOzsgLeQidgu4GkTVAa96BEMS2&avtc=1&avte=4&avts=1733833072;https://ir.ozone.ru/s3/multimedia-1-4/wc350/7217494780.jpg;Бытовая техника;Климатическая техника;Климатическая техника
IBIS Увлажнитель воздуха увлажнитель, белый, черный;2197.0;8900.0;75;4.8;1102;https://www.ozon.ru/product/ibis-uvlazhnitel-vozduha-uvlazhnitel-belyy-chernyy-1758213804/?advert=AAoB-j5Y2TAz_aTzUmpn1UZ3w8UBVimdHAEUqrBZkso9PKy8BGOcTSL-DnipGHlM8Ah4yV1zv8kUKfOva2v8fQi44kEMuljKAZArvGD8ubZ3_JULm82VReCbaB5rikZlZkbR-7D5ubWKqqWMAazyuqmPgMIR_Pio703FUuqVnBHSH4hWyimWdqu-fA35nEen-1SmaUL-HlcDA8r03XOyoYU4f6SGejhQbK1VOACeUffAlXWZk0WwhHXd6QhIgljtqrgEwWI9CWzR0KxcVtu3SwlmTSkE11aZZ-4pW5-os4DoLMDPBF0ZlfSXZ-92y3JBO3x5VWLGjQlHKpPrrE3Kd40ISfvh0Ga3ABvcK11etGodqoTCXFCUTyLdMZC3i4d6yldl-yHnTY-pbA&avtc=1&avte=4&avts=1733833072;https://ir.ozone.ru/s3/multimedia-1-k/wc350/7211340380.jpg;Бытовая техника;Климатическая техника;Климатическая техника
Аромадиффузор ультразвуковой для эфирных масел Galaxy;3994.0;10000.0;60;4.8;545;https://www.ozon.ru/product/uvlazhnitel-vozduha-galaxy-uvlazhnitel-vozduha-dlya-doma-nastolnyy-aromadiffuzor-ultrazvukovoy-272689451/?advert=AAoBii5NHORLaqbirJsrgBVzk-S_pFPvhJ6UEo9JciGJsqHIPHVHW_2VMASabpIah1u38KD6hepmIANuRm-WA0PkOqtxWu-Iv85H-kDMVuueYFmKqU29rt_i8m15j5giauZBhZmLizCi1Kkc-UDvM5s-zW-m9eMel65cNc8piqL_pDb4eoYEPoRsiPY-nybcOc1Ud-sy8ubuiMPnt8LU36k7ynHdTRyEnRb9cUsTDryUlwQRPODhttZFdyTL8Z1Ug60mKpsi2g5mwz3VJ37KysAECLj_i1iDvt2reDtTzd-He5s-_X-QXMXd0wAQUiDu4796OqLu64UVf9DpKUBg1xNi2v39Zrud1uMswuzSldPs4cFruyq1WBeDNN-CYU3nbF_3B-Wkx1yh&avtc=1&avte=4&avts=1733833072;https://ir.ozone.ru/s3/multimedia-1-6/wc350/7177647426.jpg;Бытовая техника;Климатическая техника;Климатическая техника
Озонатор ионизатор воздуха для дома, бытовой / Озонатор для дезинфекции и устранения неприятного запаха в помещениях / Очиститель воздуха для дома;1445.0;8900.0;84;-999.0;-999;https://www.ozon.ru/product/ozonator-ionizator-vozduha-dlya-doma-bytovoy-ozonator-dlya-dezinfektsii-i-ustraneniya-1724738161/?advert=AAoBq9vGJnLiCfyp5bPZccsetATp9t9crNYcENkX26RwnWGlu9Dy-tLcYZ6_yuSsgb15BImnhyNs-Dh1NDGFiNw0_AJubFfGGz9rrZHvyGOoORZtdC1-0QTf5x03zQ6U_3e2XU88demy5cpU3bucUjj9xTXmDlI4HRRPRURWOwC52I7S-idxLjznMy4G2Oe3QtG3exGNRvpyGJsx0cMXyqJLmKdHOF2ART6OhFHLY_cUUZs4wo-acvKOc21dX_vT7ezMhSzEt2uW7tbhLp-EOLfckt3hkXYRJY_1aG88kDBIbRhpH9xve5cMTJkjzQ_crb9optEf-ipW4xPN27Q9jHJ2SFobvRR7qNR3SAgsOum7n8gRnrh2PwjIcwdnSTDOGqdbs9jV&avtc=1&avte=4&avts=1733833072;https://ir.ozone.ru/s3/multimedia-1-u/wc350/7169408202.jpg;Бытовая техника;Климатическая техника;Климатическая техника
Автономный отопитель HIMERS ADO9000B, 9кВт, 12v 24v 220v , дизельный 5л бак, 125 градусов, климат контроль;11029.0;23999.0;54;-999.0;-999;https://www.ozon.ru/product/avtonomnyy-otopitel-himers-ado9000b-9kvt-12v-24v-220v-dizelnyy-5l-bak-125-gradusov-klimat-kontrol-1745163544/?advert=AAoBFxgXG0auY53aUI8TbG11j6aKjAaMOZoKJ0jqblYosZ1PXditD9ahJMFah1fpFJxJ3rDom-gR5qsN9f5FlmTr6vSd_oQyR-k6l74OWPq1a3H-2CbgkLmD9dPaT9rUTMr9pomi4qQmYxTG5n89fsMP6p2jTbCCqcgwreFW_AecDdWJ2c16h_RQB4brtA4-7izySKOuEafc_jSg4ILJDbDjqA7tsf6uhNKpshwipFwT6Ufwrt-lagvUGDZjX87OJABUx_3kAh7Y0lgqav4-blRLqfE9uMAeE9zfeh4irhxqrE0UeuKhI6m6IwV3EVkSBQHlLeoZ6bKiugetydouFInlSU8cAwNSIY6P9Kc97V7H1KJMEbJF-jWayJoIOYryDfFzmeN1zQ&avtc=1&avte=4&avts=1733833072;https://ir.ozone.ru/s3/multimedia-1-t/wc350/7180086197.jpg;Бытовая техника;Климатическая техника;Климатическая техника
