title;price;initprice;discount;rating;reviews;url;img_url;cat;sub_cat;sub_sub_cat
MAGUSE Clean Средство от тараканов и муравьев, ловушка 4 шт.;231.0;472.0;51;-999;831;https://www.ozon.ru/product/maguse-clean-sredstvo-ot-tarakanov-i-muravev-lovushka-4-sht-1525458158/?advert=AAoB0K-5cVjMt5-aynS_YSx9EeeZvtsvoxriunNJJD7mnVIwdh5AbZU_DiVqmLFPoQFHCQWhQbmyUB3O0De1qfkpEoyzQ4fsbNWPqo6rrzsStnHNfv29L6Ypa251Bift-0zIKw6NBHabC6xp5Cf0YEGw3d9slCqvbWy_tb3XjHOYf7fyLRcziUxWo_7Ks0coxqk7OyejeU_t7XoD0R5XpyVIlEJ8WGOfZB4PjKaF7HJkZxXjMxOSioHs5elXDgWm_-RgGe1p_GAltj8UP4e-551sNJ9tLMIaX2Reh99QxvGdmQMNxCKXMclPRPPAYPhvzPskgLV-JAR0otUa3QcKU0-qQrH9rz6NAXPu3eXS5eEHny-YVV4YGGytV4QW8DOjEK999fKFyKcJ&avtc=1&avte=4&avts=1733833869;https://ir.ozone.ru/s3/multimedia-1-p/wc350/7132926481.jpg;Бытовая химия и гигиена;Бытовая химия;Бытовая химия
Освежитель воздуха для дома парфюмированный Wild Oud, Amber Neroli, Tobacco Vetiver по 300 мл. Набор NICE by Septivit;749.0;1397.0;46;4.8;6304;https://www.ozon.ru/product/osvezhitel-vozduha-dlya-doma-parfyumirovannyy-wild-oud-amber-neroli-tobacco-vetiver-po-300-ml-1525737169/?advert=AAoBq3sGnohoDGl3EGvlDukDi3P-KVO-6DliXngmiWWG5mp7Ol7kE7XXb_ZIrAmlTcwQP-sD2z1UkJ-wuT8HVjXMm2E9Yj9vBOh_6TFKDH9rV0tFbZGtPpAb96Rwf0oU9RR76-RVFUo9UCqGDXAPKspKqMOMVZDag2VKRdWksrwj3UJWnHcbOjxZWbi1W8qxHIHwSYht8hiStE418Mtv0GiiER6DJqMcE7LTh76fEZRGJDvj45kfWjDKURriSA9efJv8VqfhrkVSHSvYzbGpEj1bkBPOjS8WDO5h-x9cOkMsn9AZf9QyAzgKxKwRi35BBNek0GUAOccIpPywe3bR58BFA4iasZH2rurS_mLVmx2n2WF1dTWQBBziIOnCIxffw2ayfs-MW9CG8lY&avtc=1&avte=4&avts=1733833869;https://ir.ozone.ru/s3/multimedia-1-a/wc350/7077859498.jpg;Бытовая химия и гигиена;Бытовая химия;Бытовая химия
Гель-концентрат для стирки белого белья "АЛЬПИЙСКИЕ ЦВЕТЫ" 5 л, 168 стирок, биоразлагаемый бальзам, жидкий порошок;581.0;1999.0;71;100.0;18053;https://www.ozon.ru/product/gel-kontsentrat-dlya-stirki-belogo-belya-alpiyskie-tsvety-5-l-168-stirok-biorazlagaemyy-balzam-860849935/?advert=AAoB5GedoJQeNw2bAsknuBJ4FQWizbeo-9ptp-M93B3ZSOvqfiU7VGRAE9KetiPsknXsQ6lCkdi3cuW-DfrkR64qNYYB9DqCJzldFfzdJ7m3mfiSVKYbHEpTzeoN_66KkfeoO38wdABJ3dAUQ1s6XVI18r3vrK3amwJ4GWl8hTY0v-0ZMEQ7xHzbbGzrAMvP2Pzu4V4OiNDuuH0-Ul21VZKESewOD7l9sXwz6Su3fqNOHof8HFPUUORrnLYs8f0kQydVA-I1sxZ8Sq1Ps8rEyREDWXf9e9wOfmOJ-3OEH_1d0iGKYYXdbQWi9_yR57j99IEPxzvfwAG76YqYta-o42NsV1ZTUFpXhpckp-NuC5J5tsJ3KtZlU3T3blWfnjplYS6cj-pAgI9ZjA&avtc=1&avte=4&avts=1733833869;https://ir.ozone.ru/s3/multimedia-j/wc350/6765626791.jpg;Бытовая химия и гигиена;Бытовая химия;Бытовая химия
Air wick Райский десерт освежитель воздуха сменный баллон к автоматическому распылителю освежителя воздуха серии Air Wick Freshmatic, 250 мл;322.0;549.0;41;-999;86781;https://www.ozon.ru/product/ballon-dlya-avtomaticheskogo-osvezhitelya-vozduha-airiwick-life-scents-korolevskiy-desert-250-ml-31357741/?advert=AAoB1bdtKV1Oyy-6OMv3Sn8d8VHPDgbeL4p0Pk9RRtEv3HCgNlYoJM_7id_8IGUVFTbiYWX_keSAyxPj9qT-BgtZ4fA9EanE9ETxB0ZHjY329oyBeImCnBJShMoldyzE4-IR-rJE9DyxJroZm2hW0_XUW1uUhOsOrbwxOr8T1VBu2ZMXTl8XA2Xaqxekq6I644zENSgVQBl4pT5aDKFrL2wRC8tm0pm7UAG3fYT2zEQMeXY7x1Kq205gyL0BoLQOJTVwKXby82VykWTkeOhb0Q382Ah-ev7Z5sYbjNV3dxzBmayQ4iz7UQSklyKO2n75xZBCM2jhGnM2gXNmynqe3N2XVrwAFV1G297ZMSIN1lpAGs_yiRhfu-VrgghbPfhDceWGwpc&avtc=2&avte=1&avts=1733833869;https://ir.ozone.ru/s3/multimedia-1-s/wc350/7219169188.jpg;Бытовая химия и гигиена;Бытовая химия;Бытовая химия
Средство для мытья пола 5 л "Устранение запахов от питомцев" концентрат SEPTIVIT. Нейтрализатор запаха животных.;599.0;1143.0;48;-999;6212;https://www.ozon.ru/product/sredstvo-dlya-mytya-pola-5-l-ustranenie-zapahov-ot-pitomtsev-kontsentrat-septivit-neytralizator-846600216/?advert=AAoBtxxfJ_vXVHqJUXAv7ocMFeWFqRFpWs_Dvw2ePamst92LCJRO5q0opQ35sc64fth3HfgjKzgq7oSzgpHW9y-SjMSAuXoSeLdDJIk_Xx9O_xDzWS9d-LuSqiQ-Qoo4W28rsHzzQFoqvFZVU5hJT-MQl1n43Izr_01bxodhJhKSpvhydesnncNSbfe2xlGzdG-NEB2SLNVd4tSPtTl60AeqY5AT-D4Ir7oDFu6TPwzr2ND_Q2v4xhTuNs4fsoxcXwcb24hvxd_nQ3SmhKI2kwpXB6RPMmq5mQcSpk66zNDVH93dmxtbODpZio0lzCJw5Jpo65Sb0laEgL1QkVk2rG01VnsPruS3j8tRAoT-jrjypt8k5IedeJ3EdGYqcopGEtizX1G9nt_3Bg&avtc=1&avte=1&avts=1733833869;https://ir.ozone.ru/s3/multimedia-1-e/wc350/7063232918.jpg;Бытовая химия и гигиена;Бытовая химия;Бытовая химия
Средство от тараканов Раптор, клеевые ловушки для насекомых, 15 шт;865.0;2200.0;61;-999;6953;https://www.ozon.ru/product/sredstvo-ot-tarakanov-raptor-kleevye-lovushki-dlya-nasekomyh-15-sht-1118767408/?advert=AAoBsfl-khIhYZ_dpaO4E5jHXySUkjAlatPr-RFBq7AToTJhFQ7oGzvBFB4mNzw5KxoWxcLu3Or5AhGy1XO5DFd2GYd3kb71zkZZttmsNl8ZPeYri3PIDunV-EthBKsqYRevD-YxG8gpJQPG9cnHBvUMI5BAMeB5_nPijUddJGeq_7GXjbH9_cKG2pz4Vxwgm43tFgi5qX__S1t8tYStsQ4ZK1jDurKyVFTHchqbn4f_6KhLrr471yYcsRf_zCsvDbI93CEbbJ928jsz1VhQy8xygweT50hKoICgDhHYHe_RE9F60kM-9prNQZLinNqJDKgNdASv9JXVRt0WecKeaVctepsJkkCflc4zJ8xzmJZ9N1xrY710HQjxlSD5KNh4YDlII3fwFg&avtc=1&avte=4&avts=1733833869;https://ir.ozone.ru/s3/multimedia-1-e/wc350/6919207034.jpg;Бытовая химия и гигиена;Бытовая химия;Бытовая химия
Персил Свежесть от Вернель для белого белья 2*8 кг, 16 кг (106 стирок);1648.0;3999.0;59;-999;186044;https://www.ozon.ru/product/persil-svezhest-ot-vernel-dlya-belogo-belya-2-8-kg-16-kg-106-stirok-1604828444/?advert=AAoBO7QN-RppW9A4nfBCYRlmi3eVoJ44mXMuNjkpj8G80FCmOUfIrMBLdLisgGu-1Goh3bbCwcVohK5eLXJCW6-E_nUMRl2qEIQP4yiaSSiC8VYz2IqC8Oi4YvmkjF9JeZISQkRkhIWfOMZOtb0h2fyE52pUNqsPcpNDpjZULSWjM3Z6rrcm5q-EfCdwwcPMOg5PAspuKp0DTORd4NPOyc5ODGv6J_SArr5bnzYMpgg3OwTI4O0zzVW698Dir5pbzTI1xFg7o0ONw4pGQ_yDCZGG5pksUv5fAl4Wa-b2EV-l_8FkAyikyt_wsqlnyiCxicvC0FJ8xRErFho68fKLpBBHIxf964pRZh68-ox1EK409oKnygylNdOw5iG8_xreHCE8cvB-dQ&avtc=1&avte=4&avts=1733833869;https://ir.ozone.ru/s3/multimedia-1-o/wc350/7219088508.jpg;Бытовая химия и гигиена;Бытовая химия;Бытовая химия
Средство от тараканов спрей РАПТОР, 430 мл х 2 шт;823.0;2500.0;67;-999;11480;https://www.ozon.ru/product/sredstvo-ot-tarakanov-sprey-raptor-430-ml-h-2-sht-674484665/?advert=AAoBKtTEod-n--Q777rJmZ9fMeOwlPWwbBu4OsC2Gzw4IKwnFWvX6909BQ42LkqBSOSb464GQ-0bvPOhH9yBDi5QmyUDoNgJI9S3OgWKut-pnvwXOPzhA5Obn_3UX_HGj-fWCoFAW5cXtnHskXAWFiqC6H9fym2GQFY6auswo7_VAY0kbA0GtbamLVDIY75FL7Bh1uszzUE3NDl8vidZGmio7FvFHPmRIILEX8xu1fdd-S1kSgY0CzlviNWO5vEcQhE2LCOTbLs8UYEew3Nwskqef3fgIg4XXU6NU2qTUKyH48AiFIy6d-U0HglcZ-Nw42BUnnhZtvDQdFTFVRqaicM4miPviQmOdTl-nhXKtKwi1apzzU8GRgTqdo_ul6h_dNhFTUnB4lQBOjo&avtc=1&avte=4&avts=1733833869;https://ir.ozone.ru/s3/multimedia-1-8/wc350/7173055592.jpg;Бытовая химия и гигиена;Бытовая химия;Бытовая химия
Персил Professional Universal для белого белья 2*10 кг, 20 кг (132 стирки);1939.0;4899.0;60;-999.0;-999;https://www.ozon.ru/product/persil-professional-universal-dlya-belogo-belya-2-10-kg-20-kg-132-stirki-1604828450/?advert=AAoBrO9RoGt6mO-OrbNc33tCecIWjxHZVozpc_NK5By8pn50glKZKRzeVCRDnWWfgPPHsgGS6IYQH667lxraPCS4PasFSRQgx46Pne9NqkdpvQGs2yZC12SjzTRTdhdHc-9MIIlJucy2UheC3wDYfvlRsOnnAdEym9YrCXr0EBSodUovBlJRVW3wkdq9H-pi_GoXdQKJgxqG44rw34KF9nPYCR3UZ2HrwM9oe1E5xP7n33Om34uqKRAHcL16IQ2bI0o17GMrjKuR1AqGDmGmHZ2YDBs9MJfTFLQWF9R4mCbNKRpWys9nJO5-vgSPfSeUrWCEJlOoPCZxR5oTzeb4m8xt80FxguCRVAXpTNmlZgre9379soYa-lOX7Ssz2cSz2ac3LkpY6w&avtc=1&avte=4&avts=1733833869;https://ir.ozone.ru/s3/multimedia-1-w/wc350/7219088516.jpg;Бытовая химия и гигиена;Бытовая химия;Бытовая химия
MR PROPER Моющая жидкость для полов и стен Лимон 4.5л;678.0;1237.0;45;-999.0;-999;https://www.ozon.ru/product/mr-proper-moyushchaya-zhidkost-dlya-polov-i-sten-limon-4-5l-1619212433/?advert=AAoBkabUWn0_JHKM_1r8B2VzlOVg4lOrjf49jXSW--CPW-oBsJKy5f_-RrWWVQk5jf242TLzcgwdvbhk9TpaRZt8a9YVjFO4KZXdQk2qYaOVkUgn-Txa6ziJYt7ysXFIM2c8oL-yguvMhT52LKQb776iwgmDu7rN8dnGuBv_tJYYW6ebQiV7YuZvgqnCDvYPz_DJbWCXl9VDtocFtGAtZOIxlHH0UuLM0Hlb85d2y1_EnIMhMXm_2Kx5n9wszdCx4raC3MRZE6QKuo6tZGSxxRYk3pvlfsRcMwlN8_Lw2WKrMHxZ2htuOpq5ZwB6dfAYwvyS6W7mrbqq7B4dBx-JhurVGQn67sqMsa--4iC1FSEZ6CNQnluZzm4igk5MsTya68Rr&avtc=1&avte=4&avts=1733833869;https://ir.ozone.ru/s3/multimedia-1-o/wc350/7204677420.jpg;Бытовая химия и гигиена;Бытовая химия;Бытовая химия
