title;price;initprice;discount;rating;reviews;url;img_url;cat;sub_cat;sub_sub_cat
Счетные палочки 50 штук Calligrata, пластик, цвет разноцветный;98.0;252.0;61;-999;5236;https://www.ozon.ru/product/schetnye-palochki-50-shtuk-calligrata-plastik-tsvet-raznotsvetnyy-807611524/?advert=AAoB-Z5P8K2dbIn7y25QJt5YZjW3-gidoSSs043RwCWAGvGmq8wud0HtL-22zjGJOa-18gK6cD0eM7m6n2FAtrwPpQqZ9lTDLxXhCQB8xnHK2sTueqUinx2L2PNVOB8Wa5zbM307otS7Vt38qpXmzPmVDkwoJtrzOHb4KGGIURMycJDiV_DDavmkuZWum6jQTSCUkDcAZTOypxYouGYJeSlEKM_WLMDwZGd5bfSr8HXwTA4SfWr6PCbl4tD93X8iPCt8453kAys3PjlIxFPTfjYpAAYPq5mKd63WAciFJZqu27XqKJqhMwpmsR7sZwl5vA4FmHzle-aasD6SW4DM8wEbd8MEpK8HvWW0t3yHCU6UBASZYWkSNSU3O3L9ZwAFv9EOG2Nl6A&avtc=1&avte=4&avts=1733830928;https://ir.ozone.ru/s3/multimedia-1-c/wc350/7217421492.jpg;Детские товары;Товары для школы и обучения;Товары для школы и обучения
Пенал школьный для девочек подростков Magic Box белый в клетку;351.0;1490.0;76;4.9;33711;https://www.ozon.ru/product/penal-shkolnyy-dlya-devochek-podrostkov-magic-box-belyy-v-kletku-865810779/?advert=AAoBTKdjmOWR9rKuJBWD9I_YLgsMkGSwVLGsjAR7guwQ7a_ltpYaYn-WqcbXLIPWA6eVgdN5IfAFEVC9ypAyuf-7D--LOdjQRdxFIOpa7ARK6JoVrlXKYMpEANVEv9oD9rdceCiT5Fqva6xv7WBTv3kUAvrVOO14HZCn7JDU0-g4CSQ0KW_AESx26c2WkzrnKW3VGBdosAJxPUkuAicX6O03qnXwWigZhbtobNaXNncZtnVUlZGUXtrzaMu3N1FrNGfUChPgSZN-J_XFbMHzm6dp_JPpHZONQDX-VRvdKAn9R5cDAXLaTJ9ia4gZbiXGsIZKXf3ARQ-Iopv6bBWbYxQMNNbJHjGibZsb-5wqZHLy_sEKOJxqjhUnh8JSeBIEdrWY8xNvwRZ_VQ&avtc=1&avte=4&avts=1733830928;https://ir.ozone.ru/s3/multimedia-1-z/wc350/7066708163.jpg;Детские товары;Товары для школы и обучения;Товары для школы и обучения
Обучающие плакаты Дрофа-Медиа Комплект из 10 плакатов для детей от 6 лет "Русский язык";483.0;925.0;48;5.0;135;https://www.ozon.ru/product/obuchayushchie-plakaty-drofa-media-komplekt-iz-10-plakatov-dlya-detey-ot-6-let-russkiy-yazyk-479461432/?advert=AAoBZcJuLpCg9rXaSjVqjjDgyfZE6Jcur5b8oNPM41y8T3nKRAsGtUReQJo4hhc9QXoP0eNXyGeagVErKxriYLIFC6mLXjLogKtc0NEwX_TwXzz8BSNO3lCdDysGyUtCAm6HTR6-4ojNOE0vF1uZOdmrvhso3G1ioVUz2uSTQKVr_93WxtZoKBZ6wuSuaeMVR3pbhJKRXhUitbGLR-VMKjDbgg6tPmxr-gc96HQNUuO6cWrefmpMP50-Xh-9dkX0ee8g2WPhVdwb1UNImGWWZHHhGXhrj21sdMU5b-Lo9Qb8VO41eRYONiVa_8NTF8L0J8PU_qP2Q-MD1Zyxrc6TLqiI1lO6kYcPwCteCVVUIfwiG8OLq3Z3c7QHFSxnPQSDVW6UNuw7IS0CKLj9&avtc=1&avte=4&avts=1733830928;https://ir.ozone.ru/s3/multimedia-1-0/wc350/7038291708.jpg;Детские товары;Товары для школы и обучения;Товары для школы и обучения
Портфель школьный для девочек ортопедический. 1-7 класс. Рюкзак детский. Брелок и сумка в подарок! Ранец для первоклассника и начальной школы. Анатомическая спинка, лямки регулируются.;1522.0;4399.0;65;4.9;630;https://www.ozon.ru/product/portfel-shkolnyy-dlya-devochek-ortopedicheskiy-1-7-klass-ryukzak-detskiy-brelok-i-sumka-v-podarok-1294538096/?advert=AAoBzrRgY4smyYSuPgn4fsTycSqk4cDWhG1DFTvwEF7GmeFqfc4T0uZlf1nREMqSl58myizHN29qFDuL8s-ArGXOFMOjrB84MknUW-aj0TU3hVr10OpeZ2L08zGqRMpzBAwQRl4C0w_4uQb8CPM8nIzdpoEE6peUoaaOwCcoxdCRVUd4Wt_1csZG7E-ilxGgKQNPkHhMMkhFueoDtmScBZfCDT7pDDpLy1VOAQyY82LBhS8v3cs_PykGVSOpYvxEjzY3YMNQmqXnyuqUSUYyPf2UacTS1CyL1Pgvw9RZcsvHwOMGehYVtnAQSQkm3KdKQKWlZ4gkylVuNmctFEqXYL1doMO5ybiThKUw2aiETsoyKYUprwyINoOkbA_SOZ8tvmAq9rHR_EQzYXpTgOQ&avtc=1&avte=4&avts=1733830928;https://ir.ozone.ru/s3/multimedia-h/wc350/6834229433.jpg;Детские товары;Товары для школы и обучения;Товары для школы и обучения
Globen Глобус Земли Антик, на подставке из натурального дерева, с LED-подсветкой, диаметр 32 см.;3435.0;6500.0;47;5.0;38;https://www.ozon.ru/product/globen-globus-zemli-antik-na-podstavke-iz-naturalnogo-dereva-s-led-podsvetkoy-diametr-32-sm-212410454/?advert=AAoBt179HGrutyQadJlrR_TAPFUJgf4dIBPvOrhDtyT6OiFfm90DnZJAPuEBPMYkr35Hc0zNmBNHK88ZZFhZcZ0HBkzikPxus5MZhYzN25shGuLmOUL5pBRzaXBkXd8oU4IY_tlKucQMKxfCvtFT2rC3QWsTpxCH6_wl1Vhept_UBI1ONNBLtuxDYtw9Y-XEuJBPlDVX-BlbQ4IfRj5qwt_AjJNKo57LtScZ8zVZKQ1vRTv0UZkrjlet_wl9flysKmeS3vDoCq4mUJ81iZ-hYRJDd8_hWdc8okm8lS1KGXsgY59aZnqYCqERXrz2R73Y9G0ifLEn3CrYx9OqQHIeJMgP0UDOCsc9Mw9o2wfQ6EGRmmRRavb_UwxJek49XsUwf1Qbk_ijMC8&avtc=1&avte=4&avts=1733830928;https://ir.ozone.ru/s3/multimedia-1-t/wc350/7217749685.jpg;Детские товары;Товары для школы и обучения;Товары для школы и обучения
Пенал школьный черный большой с растущим дном для мальчика и для девочек Magic Box подходит для карандашей;469.0;1650.0;72;4.9;4793;https://www.ozon.ru/product/penal-shkolnyy-chernyy-bolshoy-s-rastushchim-dnom-dlya-malchika-i-dlya-devochek-magic-box-podhodit-1412669743/?advert=AAoBXIPB-y14vHsDINmfrS_oWKdiqJLh2YrGWcY7D7SSwno1sBlO2FZtmJ3MdFSEYR1MevwXpl661n3ywaiCuIgZC2DpCF0k299J2hTF3P2jADKcBoWAzTcHGD1c0jaUnZnzba2RUumtlnvoxVin9I26GhOp3jRz7U5_hYnrrFsrt90fAuUGFzgLZ7oAjYnWBkc7Hz4ScTfWELkjaMHCtE7YWnORM-OkaNBvCx_dIvoUQuiuwfY3PrOHKxqlsmKccor7gtOwURNBBcEoJKEriF-8Won9mVZooUK8IehzwZBR6OF_xj4eLzEKQ4ukYfB5NmXr-te9pWjgQ6SCKVMoIm5VVD8y0f7pnLu8-9X2veWtXdSJxsP-qvptTzlcJLLE5g0bx0a40W5G&avtc=1&avte=4&avts=1733830928;https://ir.ozone.ru/s3/multimedia-1-j/wc350/7089754807.jpg;Детские товары;Товары для школы и обучения;Товары для школы и обучения
Глобус Земли физико-политический 320 мм с подсветкой Классик;1355.0;1979.0;32;4.8;327;https://www.ozon.ru/product/globus-zemli-fiziko-politicheskiy-320-mm-s-podsvetkoy-klassik-140896847/?advert=AAoBrKDIiXdoguRqRG0MvAfCij-3yswMpPdwP74fK-mrFlc-8mL6Nd65Erm3kvD0HQqmx3BW4oc3hmLV_o2qukaPkMQxec8lDbud-XD88fuil3zx3HUR8d3XYqAoJjBYL5q-QGnHZOK2HgRDcx37J76vUcZPd7XrnpyPnVSGKdUChVudID8FR1RgAAX5-NT9a4nciMY6oDVcBLj3szy_eKfv42YkP4ogS3AIKBSPhdog4ovaAwqXB_imEFh12j9fvfpKKLdL4ul0fcidfD3syrwk1vrC-3a__HL5KaEpKpHHXFfIT-Uaob7swAKZ2EpLhlCZVAX15rWqlcfYTYbSCDTLFqIHc7RKXdZEKUrBNpkVn52uChuQT47I7R_bwsJ8&avtc=1&avte=4&avts=1733830928;https://ir.ozone.ru/s3/multimedia-9/wc350/6300913281.jpg;Детские товары;Товары для школы и обучения;Товары для школы и обучения
Пенал рыба / пенал школьный, прикольный Карп. Размер 29х13 см.;483.0;3100.0;84;4.9;143;https://www.ozon.ru/product/penal-ryba-penal-shkolnyy-prikolnyy-karp-razmer-29h13-sm-1718478893/?advert=AAoBDjIS1J9l9LBabJe1ela7lYO1cCaiYzCUkQHSem2I6AvK85AIHlZYc5ItBwG6F35gDHE3ZFfff2Hn4rf3FWV7qyeWWnYQTKcqwefYfKc64_2pK5vMoGmFMGz5t6OhA_iywlj2DtFi5kXL8IX_5DtKSVhNKa2Pnsw7NqUTGGOJBvSa9KWMpHmmoaD71Zfq1fTM_wXuuUA0jen1j9G6bUiDkfqwoNY_UUZclnGJg9ShYZ8ZmGtx5K49dHn7N3DFiKKuFOZkF9upTKSbxTrSMHroUI7uAA9C47I_fG60A7zEXDpO1jDVmUu9J4pi9tEZNNsb6wEYqtYlVThxstUN8XEfUQvETD3KUJszLDeYbu0FbJtWVdmXQCoVu-R3roSfBgqJm6eVmfj5XDSrpBLG&avtc=1&avte=4&avts=1733830928;https://ir.ozone.ru/s3/multimedia-1-g/wc350/7153311688.jpg;Детские товары;Товары для школы и обучения;Товары для школы и обучения
Ранец рюкзак школьный для девочек №1 School Дракончик, ортопедический, цвет черный;471.0;13990.0;97;4.9;444;https://www.ozon.ru/product/ranets-ryukzak-shkolnyy-dlya-devochek-1-school-drakonchik-ortopedicheskiy-tsvet-chernyy-962801567/?advert=AAoBetw8kRVoVGcRVU9fEIXkYcHSVCV3lNFrqZVOqJIoIf03e3p8OgwNVOp1pgXLcQATr9bfuJ_PS1Rk49gBk3G_uiV3v1TrikdS5wA_2y2o3yzYK_vdvKg73K-5CNj6NwxqQuLa-Eemd8yIhdVmEKh8SScBMzbRd7x_2RVwdZ8vW6TXFNS5Lx-jQIAAhA1-OEETsPcqTfshDHNz_0dKWK1-DscM0EVl3-OFZg2yUhqlnPzzWe16Bi73nO7TVbBKwPjBbFpE8TFeCkrlkockljzv_jedo6cbzG0LZQudmZI8sdQSu5v83DZSfXsyAEJk-w9rBh0C3dx0cNih8AS2tw6P7uGTwIFigYqDJ1CAZhuHNRI6P5m-xnR2QVc5BJQiLdKblxSh8n8&avtc=1&avte=4&avts=1733830931;https://ir.ozone.ru/s3/multimedia-1-5/wc350/7105779077.jpg;Детские товары;Товары для школы и обучения;Рюкзаки, ранцы, сумки
Рюкзак школьный ранец;1363.0;4400.0;69;4.8;416;https://www.ozon.ru/product/ryukzak-shkolnyy-ranets-1642652524/?advert=AAoBsq_0zBtwl_G36z54YGEERyjau4jK3RkWABOi9y-y2VuZ0GPeAR3JMx0au9Fgy74qyxJS0KE7s-vqZd0iBWx_L_49lb17EIZwTCpna8QpbGZ94-IffMa5tui_HSEwI9g7cVSFWyUJOzmf5AKEw0M3JUzBQvMXZsM2_m__kfjQwi5Wp-uNtMJ2XN7tvux1zPe8xGZhWZDU8VX8RtrKD5peBsGRby--zPLWAbLVSDKmdYlEJgnFxzY3xKJWd66YK6FEbj010KodS2ggDMjgW3Hl3LnEyf3mdz09EJs3w9q1KjmczqUMbH9G-t6PRZEfMie7ngKW8H0GxHSAr4pBCRh16pNtelCztIUmCHREUPzbXLLDqfPEd7zulMVspIr9K9WYI3Gv&avtc=1&avte=4&avts=1733830931;https://ir.ozone.ru/s3/multimedia-1-0/wc350/7088665104.jpg;Детские товары;Товары для школы и обучения;Рюкзаки, ранцы, сумки
