title;price;initprice;discount;rating;reviews;url;img_url;cat;sub_cat;sub_sub_cat
Банки для сыпучих продуктов универсальные Палитра Уюта 22 шт.: 150 мл, 500 мл, 1000 мл, 1500 мл емкость для специй и круп, баночки, контейнер для сыпучих продуктов, для спагетти;1155.0;2309.0;50;4.9;8246;https://www.ozon.ru/product/banki-dlya-sypuchih-produktov-universalnye-palitra-uyuta-22-sht-150-ml-500-ml-1000-ml-1500-ml-1413258582/?advert=AAoB30RQsyf3LLHlKHKtcITpRhhQcf7UjpkFm9IzYqAvKppRO4GLiuNpUvJLngfM-QfxsF010kO1oQMBGMExN3lGZ8knTQTShsFMYFVVltJtXCkyCOEp9uf6r-6WAWgVXgrT1Rx-HLFenxHpFuRwo_l5aIF8gPcNelzDRBPLxqIfpwMxZ-FTe6TJcd54tLWGTNm3kwZMAf-ppao-UqhmO8wjR8U0K6V5URNNQwNduFK9h4-zTl4p56cIJMTRJ15QwLZzG4W4Pl8TIQTwc-En3gzTd7TEtoI91QRtSMRX4Dfx6uMXxHulkrAGCdRHT6PeJ4G6yy0_txJkFw8Uss_UResnSXPalBP3y7UHNJCNZzJ3hX37OHfv9grpHAbUZzR5t9w5fGDIemY&avtc=1&avte=4&avts=1733831400;https://ir.ozone.ru/s3/multimedia-1-8/wc350/6960679820.jpg;Дом и сад;Посуда и кухонные принадлежности;Посуда и кухонные принадлежности
Термос для чая металлический 0.9 л черный;864.0;7000.0;88;4.9;748;https://www.ozon.ru/product/termos-dlya-chaya-metallicheskiy-0-9-l-chernyy-1663145623/?advert=AAoBEXvx1blzm_hLWBcNUonazBImFlVVtKItVek02glVZjs0cOz3u3eI1BLcX9nYpK2dtpvYeogtVw0-vuaH44MIExF_ObEY4YggCIVWdcFHdMYbbW5GWq_8alYSeG8u6_fgEvJHCstmrUmBwK0-i0GG825JRjmQ1mj1q2u5IjluLu3HAXNdAOJOg24NBjPipX78NEeZmmUWWK7g8yBTWe3sBioenNbVhi1vr-AjzQs3egRpvmm_BHwwzV5T3udxWfnNWXxDOf49Yk27Ct3YGdl8JDERAFI_Qyv2C-Oki1-yY7IHKEaa2BncUT8-jI8P5Ts8WtIEHMsDqKQBhgtqHg3Xz11HShMG9UKt4amnS3GZFe_Ew-vXy3B3EXX6oTZyEKZFjG1hCw&avtc=1&avte=4&avts=1733831400;https://ir.ozone.ru/s3/multimedia-1-z/wc350/7109931995.jpg;Дом и сад;Посуда и кухонные принадлежности;Посуда и кухонные принадлежности
Пергамент для выпечки (пергаментная бумага) 100 м;472.0;1049.0;55;-999;15622;https://www.ozon.ru/product/pergament-dlya-vypechki-pergamentnaya-bumaga-100-m-690728023/?advert=AAoB6SAkhoWm6HRCepbKQKe5QCdBpsCNr0zplwBwJEs_DYQg-D0K-9yQQjzfCe1I1pvKxjI2G-L5eRczQUecGhIVZnqLZCuiqPqMZ_S9Zd4AprRbBgjerv_-m4rPK29Y5IqByvAryFv8_oXmpMMuBm3gmwI5m7FaQa3Y92DQQMDI7OmjwtHZfQmyRdAUyYE48CCVShLa5kFCri18HjhaWURiWMk1qIsrEIVGuXngPx33hkREvP2WbvqRHmHsbmkdgQfOf3HMlDaYk9kAfwGKnQlVAgrlabL2zXLqgLPyg8UqhZxOupCVUyvwxfWyNXq1lXvvvH7_cmXPmRnUjDXeyD0IbSFq_Wg734MEF9vJe8CaJEPd-J2qmfy6-DhjaIxzu2TSXDrE6H9Psg&avtc=1&avte=4&avts=1733831400;https://ir.ozone.ru/s3/multimedia-1-f/wc350/6934337403.jpg;Дом и сад;Посуда и кухонные принадлежности;Посуда и кухонные принадлежности
Good Sale Контейнер пищевой "контейнеры", 650 мл, 1000 мл, 1850 мл, 3 шт;1186.0;5595.0;79;4.9;1390;https://www.ozon.ru/product/good-sale-konteyner-pishchevoy-konteynery-650-ml-1000-ml-1850-ml-3-sht-357713122/?advert=AAoBkV2FWNUH_4X9orhwARQDxfyy-HIgZr1BPFW9ryH8P1DB15K3Kc953DGgy6gmSXF58eDrBpjbDWPn01BVDjrmsaZw_Td_Qurkbg1aC1NpX0mYarbxaD4YSU-NdXnEnBWraDRDl-v_Dc8p_9ZM-DkEjGha78m80nTI7_Kx27CyKYjh-bcG3vwpw2p-StW6mQYMe48CCfWEoXf_bz40aJ5IgygrTdWyVexCh7S84F3bJi9kUBb-TdRgC3buOq4unrWnV2p2f-mRhCn_4UFWaBf2SxOciVJNmdJQ-GmK2zaYu6VDb9h3sNKMaQaFLuLL2DHQNHGcgrWQ7OVmRK2XYNrrIYO9-SPV-WLOwNoPAXrfPIFoloN24A49PVvBSBFt1MZAvxOkrbc&avtc=1&avte=4&avts=1733831400;https://ir.ozone.ru/s3/multimedia-1-x/wc350/7154074725.jpg;Дом и сад;Посуда и кухонные принадлежности;Посуда и кухонные принадлежности
Царга к колонне 2 дюйма 50 см для самогонного аппарата;764.0;1965.0;61;4.9;320;https://www.ozon.ru/product/tsarga-k-kolonne-2-dyuyma-50-sm-dlya-samogonnogo-apparata-1635249401/?advert=AAoBRwTZXdlUWKjQlDj_7in5UUzAs0OryCsSYmwyRJThBtR2HYJwr1d2PtAOz6pbH8g47_0AaOPxh2v5IQK7XoaFo9brGDkHO6znBQXONpClCv_HuUOU48WOnuiuc8cztdQYQIaLrRI5LVvbFhHfDL3B5nD1GTlOoUPScqHVeV4VRen1nsrQyMFJap7qbwZA23-v_EsPvQ6lVfvg3QhTuBTozJxK0wER6ucV_Ua80YH7BxD4VEVdNWOTB8KaR2W7qJdqm5cJN5eWciojrHoYAdKVfCuutC5HYjFf_6PLPmqrvB8m6lRaFfGahiZ5TrXbKgJ2A_3rhmsuzUBjwIWLIu26zPtje9eGXLXvjgeZccr81fDRAWa8BF4K2hxzmw&avtc=1&avte=4&avts=1733831400;https://ir.ozone.ru/s3/multimedia-1-9/wc350/7202004561.jpg;Дом и сад;Посуда и кухонные принадлежности;Посуда и кухонные принадлежности
Набор посуды со съемной ручкой 13 предметов Tefal Ingenio Emotion: сковороды 22/26/28 см, ковши 16/20 см, из нержавеющей стали, аксессуары для приготовления 7 штук, съемная ручка, для всех типов плит, включая индукционные, гарантия 5 лет на нержавеющую сталь;9299.0;21109.0;56;-999;380;https://www.ozon.ru/product/nabor-posudy-so-semnoy-ruchkoy-13-predmetov-tefal-ingenio-emotion-skovorody-22-26-28-sm-kovshi-16-1075397212/?advert=AAoBKhPwzw0kX-HIDAXvQdkHkrrO4GiT2ldS12I8F6iEMplBZWDbnUvNmudi1EwzLjFcuy3n8ZauoIuaexC5G6KXh_tHGqyzO8XYNqPG1d9LlkSFAnIPFszd6U9tAN2cP4VBlsdH6imS4i8wzqPTWXsGvcbwwSmCO72nXPvmT8w1lbZru31X1Y03wY_kTxVfraryR5jozA_N_Uvm4QsXzi59bZnr5X9jd8er_Ijjo7EZkzZHXHsY2YWpTenkjFPH3s23PsA_yvW3FykiYj1B30sDr1Qu3N7P6ZOqWRIOxHyNU94Jkhn0jg1e7D50QR5CBEu9Zdxs1cmbudmL4-3vliwifJUNTahrNhf4-kalCknYFtZ8VA359X4PJ1XMDi27uewmurzC&avtc=1&avte=1&avts=1733831400;https://ir.ozone.ru/s3/multimedia-1-q/wc350/7220439518.jpg;Дом и сад;Посуда и кухонные принадлежности;Посуда и кухонные принадлежности
Сковорода-гриль квадр. "Мечта" 28*28см Гранит с антипригарным покрытием со съемной ручкой и крышкой, можно мыть в посудомоечной машине;2803.0;3728.0;25;-999;2494;https://www.ozon.ru/product/skovoroda-gril-kvadr-mechta-28-28sm-granit-s-antiprigarnym-pokrytiem-so-semnoy-ruchkoy-i-476453718/?advert=AAoB3OeSCas3ioKBbyqGZVb_x6PJjx3ByzsvO8HnR5zctcIsvvc8Z2tkXEqc_kQ--0TW13KCrm2iMhvqEg9zby7Lm6Y_b7KsGEuuoN-fv1D6DiadSWIR6NE8jvwIZUuzbWLP2HFXyqRVQ0mbJkkwJ8tcv1TTDX0F9E1c-CLc0-GPdlF7p26G7_tvH8LdIqb0WWvrSRIlLSLxhDKxmm4hC_agnEesLylehxIcoRwfYEhGYOWPNKT35E1JygLzFci0RF6fiaSYHlvT9K0dhpY8A2v4y3RfrYqksLzNOjVHBTWrtFJ8TeVol2RWZ-vMeEQE8BqiHdTkEjK3CwuhrieNiAhK_jvKorWE5yzn4C2JlCJsmpSiCPYCvvwjzTLHFB9q0DI3-gDUO0N7VQ&avtc=1&avte=1&avts=1733831400;https://ir.ozone.ru/s3/multimedia-1-d/wc350/7088883061.jpg;Дом и сад;Посуда и кухонные принадлежности;Посуда и кухонные принадлежности
Казан Узбекский Наманган чугунный 12 литров (плоское дно) с алюминиевой крышкой и печь 2мм с трубой, дверцей и съемными ножками, шумовка, половник и специи;5538.0;13386.0;59;4.8;23778;https://www.ozon.ru/product/kazan-uzbekskiy-namangan-chugunnyy-12-litrov-ploskoe-dno-s-alyuminievoy-kryshkoy-i-pech-2mm-s-truboy-743420871/?advert=AAoBbVJncD0K7XMgFU4E1d7MjGaMO9sgmFMzJcORQ7xEkiCvE_RcxJfZlvra8QfNxA6PEmxs68StsBSorWqo7eeP-QhPOoxf-Mbyp_GvoVcFpsBeXx6mj0_iS9p6797ZxnfuS_MGetReYaiB7GBrIoydqntbI7VrFhdNpWyojDxCa522rdE_B3BIz8LWV1ycTsYBbCAxWEiD_K9DR4RTMDr2b9xJqkMDeFgKVY3FUvIYsnVChFx6cz324C07WxZTg45lVaS3wfMN2Tby4xTkJhHvC4wEW2D7OXpW_YaUEvipq0-WUtmxvOwxh_tNrAmqIHOxeKBTAjXFtQ_lC8vQtmQ4evJvuC_261rAWMlR8bzedEDEr39heZYckpIoTLJhutZGDnr6DESLwg&avtc=1&avte=4&avts=1733831400;https://ir.ozone.ru/s3/multimedia-1-n/wc350/7196976707.jpg;Дом и сад;Посуда и кухонные принадлежности;Посуда и кухонные принадлежности
Контейнеры одноразовые с крышкой 1000 мл 30 шт для еды и заморозки ягод, пластиковые;360.0;903.0;60;-999.0;-999;https://www.ozon.ru/product/konteynery-odnorazovye-s-kryshkoy-1000-ml-30-sht-dlya-edy-i-zamorozki-yagod-plastikovye-1574212720/?advert=AAoB-szCI4woe1dK-KbnCBkQidPSJGnSFzP_NBrNxM-Bn89RH_SkYAd8mu4yoqUXWSTL6FsbOn5YPwwaqsDKoFDIbkQf0mm6bnBYyQoz7OU66YWXgI8Epg8XpilXLvKjqDUVM_-NBEO7R1A1CUHBVLtFxVLEROt2tJ0uZ7z-_YmfdMZ1g-3h6u6M1F4GBnLYcnwqv8QhTPp_-PAMWqdiWgY8N9_lvSzHQ4FwJ9O5VwcZG33SA92yuuwnEyOifOL3bYJikMCKUNJ2nep5N9EutTfjSVKJ2OsMD4-HcBiWsq9gzW4ZPBcRlVXmxgJD9-cG6_FpGJz_HKkK_igkvgFCLO4lKZSC9a4hFc9tc-t9V19njciqQKU2ZpkrgB4rhbrXoA1OIo30hRt27g&avtc=1&avte=4&avts=1733831400;https://ir.ozone.ru/s3/multimedia-p/wc350/6862589593.jpg;Дом и сад;Посуда и кухонные принадлежности;Посуда и кухонные принадлежности
WOWZILLA Сушилка для посуды , 57.5 см , 2 шт;1148.0;5000.0;77;-999.0;-999;https://www.ozon.ru/product/wowzilla-sushilka-dlya-posudy-57-5-sm-2-sht-1718333964/?advert=AAoB7Yr8JN9UTVKCbl7n2fcycRpd12jT1ZVtxE9ukOSPlFKTfcpyfuMAIkch1XO6K6mJSgnasPJXZglz-S8h14XWK-R9ow0fvARKUnbC-9_bcDQ7NArrwUVQsM5MiS1KV6HsIiTvte-b2WdqsCUCVzKLb99Ydk2SwrwZCzK-Z9_Daky-sf2JLZ7hoF2LonEJtaec8TemXCAWzj-1V4t_BssXTKkSnQdcgkQqfaI6R3FUPmANZpFsTvCP_F3clnFsouq7tRQSNM-auKbQ4Pm_7_YtYiy-qNRhYlnwyojIQVo_cXWYq9JckXurikSo5Z2sy9ecJDwgKfj1pl6tZ1UzzdzL4ZHEkwwGwQDSXJYWTha1Ck8yzDmgPq4m9WALgLMwFDKGV2ex2g&avtc=1&avte=4&avts=1733831400;https://ir.ozone.ru/s3/multimedia-1-z/wc350/7163291987.jpg;Дом и сад;Посуда и кухонные принадлежности;Посуда и кухонные принадлежности
