title;price;initprice;discount;rating;reviews;url;img_url;cat;sub_cat;sub_sub_cat
Игра MARVEL Человек-Паук 2 (PlayStation 5, Русская версия, Русская обложка);6693.0;8590.0;22;-999;1345;https://www.ozon.ru/product/igra-marvel-chelovek-pauk-2-playstation-5-russkaya-versiya-russkaya-oblozhka-1760959538/?advert=AAoBgmChHUAUWcZFICYoa0AOOWPmlFZAQ7kLLf9aeWFlz98uTN3IA2s50PAHikEWsl04MoUrHF4a28w_JIBWK1WX0r8U9YgpO_LVju7S5yjkn2l9I8kWuOdeH4bXdAADMieBDL9CQg2pGQVBFfxQ7xrwEX3i-bqtJx4LAF6-DCGgqhxhgNggFAri6GTXKbG1OJscRiLhGTedoyes5CpPVWTBXFpBjVOu4rd0uu9leSdONPWSsnhNEuvCSFJFjkY0rBvSkkTSDKKkM8ZOtleHZKIeCagsJsfZPgHURNE7R9lDqzIk-mnHqM7ukTpitIkaf8tn1mFT0NtjiOGJ2PbO_emXHxYUq5KoBAzF0XevtQ6VlqxnGGPmzszEOrZiqeuQ-O772OK6fQs&avtc=1&avte=2&avts=1733830195;https://ir.ozone.ru/s3/multimedia-1-8/wc350/6920673920.jpg;Игры и консоли;Игровые жанры;Приключения (Adventure)
Игра God of War (PlayStation 5, PlayStation 4, Русская версия, Русская обложка);1899.0;2581.0;26;-999;69;https://www.ozon.ru/product/igra-god-of-war-playstation-5-playstation-4-russkaya-versiya-russkaya-oblozhka-1614751769/?advert=AAoBX2rMNMEg7m1qsRVqIxx64S26OIWaNFgfHy53dDwxVjnrZViSQ01Uj5Jtw-5q4MBQB3xTsapgj265-tA4cPEMtZATH99Qyeti0HrgUWxh8_VO_ax1yHWFuDwtSk0JjaLMEeFZ11OBZT4qimqq6uy3cWcwir_MD_04_yZDhgkMsiyxcStHoUuoM4Vibfdc7c2V_xQJRrdlIlllnXEP8Ba7fn3eu_7N0bY-2GK8IsvnXQm8mUOIhae4bit23cWBFC5UqA35gTNcYIs56TvU09w7-dc1LJ1kwerMLpmeugUGnuZbzSJZbANVefQ2AbUrmCkW5bxn8aePwv3Rh9WKZmWpIdr8xa7dHE0aa1gmKBDj5oY7RWrywxnm8oC5AQftpv4sVIb2V5hAfU0&avtc=1&avte=2&avts=1733830195;https://ir.ozone.ru/s3/multimedia-1-4/wc350/7062389608.jpg;Игры и консоли;Игровые жанры;Приключения (Adventure)
Игра Minecraft для Nintendo Switch на картридже;3272.0;7990.0;59;4.9;68;https://www.ozon.ru/product/igra-minecraft-dlya-nintendo-switch-na-kartridzhe-1335403228/?advert=AAoBv_j_tnDux0Z1pRsIw7YF4c9w3ehPPh4bjPb6tEUBI204-b9w7lWczLNTh52l3zzkowbmSVtlY5199hW6HNDb_Orgi0SCyiCKx7K-B4teQeKVYDMltvxI7GKm12sZ4PiVSApbVWqvf5jcvyjAZoXZl88k9CGhCAx9ANGz3AuCOCDzfGkilg9hmKwg1ECkZPIJSmlHIAftxy0RzDlhBE1ErWY-0C2W1wQKsuDg16-erAwoxTHEpqzbAzjdiqZoBCQs2OJOgvEDBSG-S7c_0bElUa3ZXlGNdZy7h9ipv_tCpI2Mt770Dl21plVKS65EvqC1Re01HHbajIIl696MW1T_6j-ajz-UnDuduAlFyPgNi81zTlKfzcpJ1gU4qIb08PrJbzS8ON_kTA&avtc=1&avte=2&avts=1733830195;https://ir.ozone.ru/s3/multimedia-e/wc350/6857461058.jpg;Игры и консоли;Игровые жанры;Приключения (Adventure)
Игра Одни из нас. Часть II (PlayStation 4, Русская версия, Русская обложка);3480.0;4876.0;29;-999;1018;https://www.ozon.ru/product/igra-odni-iz-nas-chast-ii-playstation-4-russkaya-versiya-russkaya-oblozhka-1760966894/?advert=AAoBi1qwuAU3bvjL_BnSsksvAgmfLOBv4kzoSYavPzVxEqfIV3aXoeHIOTcjtfbW2YwoPP4iRlDeyfNhehz0hr4O8rUKDssRhiU7skV2Ne7x1s_fyfxGGkZJ8RTkD4cB5Ms8wfxtthe0cHNY1_8mVKPdveyQGM6MY4zUneehF9tRLVsrNCwBbgTZynPXbZks7mZ49nd1NRgegBanbCxmxX6Mrpm3fBtE0kRV1TTR_MVtll7IbdtFKzKc_WmUH_9UqmVnMFBPyf3eBcrifxaPD8-7nyV-kYqfEOp3tYTgeb5fxdoyfqZ_mzi68rFbzRLHdZjG3MbNA2ok2107tjKlwWEka55S0XOJn8hJtsCx9ukyKOo7PFRTibitTvJS9MTG5yA2g3uaMIe4Mg&avtc=1&avte=2&avts=1733830195;https://ir.ozone.ru/s3/multimedia-1-x/wc350/6920559537.jpg;Игры и консоли;Игровые жанры;Приключения (Adventure)
Игра Minecraft (PlayStation 4, Русская версия, Русская обложка);2619.0;3390.0;23;-999;470;https://www.ozon.ru/product/igra-minecraft-playstation-4-russkaya-versiya-russkaya-oblozhka-1760972956/?advert=AAoBCSpUsex0J08hGKpHtUJJCjmxqR6-Ija3S1pOAJpwFE-KoOvCEVwImBMwG_dwFSaHdvNzz1xXHXU-Pp9PQmszcQmCFEeTd1bLXklg-r_3jBLz7OUdSbyl3n_JQYXCaYa1Az4QyFeCfiOOCni9TULf4REgp3_LXXbkZ_h6heQ_14g7rI8vCmdFGLbQcGYNj31ToxB1QrAzcw2SIkEGHn_ZQk6s2iU48yqjZa3jiQ_U05dvoiZG8RAgUzYhKSuZc-oqYc6JHKDRx3_hTagDg4pBGMRHr05t6VABa2yZCJH6tIjJV3eAwGlq5mq47js992Bu4VJE8OETtlkxlyrAPOGcyo4RLuZvYKVfocSvnjXWvwcaAGAdEfR_f25Hac946kV-PjuKGEUVog&avtc=1&avte=2&avts=1733830195;https://ir.ozone.ru/s3/multimedia-1-a/wc350/7053819598.jpg;Игры и консоли;Игровые жанры;Приключения (Adventure)
Коллекция игр UNCHARTED: Натан Дрейк (PlayStation 5, PlayStation 4, Русская версия, Русская обложка);2134.0;2590.0;18;-999;546;https://www.ozon.ru/product/kollektsiya-igr-uncharted-natan-dreyk-playstation-5-playstation-4-russkaya-versiya-russkaya-oblozhka-1632175958/?advert=AAoBq-4XGNJWBWrvCmtoU-HKnENJaRHUf7WBmFKZeuxaCtRsHOPKS6QgS3ZmeMhjMiX6Qp23wjomYhENA0o9wo-ETBn5ENEOPqibZ9x8nQ1OVwFM7XQDnZsSbX2gfPt4R4kREDv7YsNwYolKQGpCLpx7R6I4niRTF71w2n025O8CgZ7_w1xnWA8rSTYv-lD-MCdoJQs468UkNKWl6lILxA1lJugSpfSib99EjHYRgn6tshDqKrCO4Jcy0aoguy1OFN8p-A-ndXpcyTynAAe3UA8PMyUg84AdtTppiVH0F1zxNE18kOKnw010xwqC3SpbYIIdu4XtGF49zTyzpsK73AxfryCfvPmunrZ_ZOaLcVlRYuNAtPhrF0TRwlHXcYFOu_dCr7dbqg7syfc&avtc=1&avte=2&avts=1733830195;https://ir.ozone.ru/s3/multimedia-1-g/wc350/6920681920.jpg;Игры и консоли;Игровые жанры;Приключения (Adventure)
Игра Grand Theft Auto V Premium Edition (GTA 5) (русские субтитры) (PS4);2091.0;3999.0;48;-999;905;https://www.ozon.ru/product/igra-grand-theft-auto-v-premium-edition-gta-5-russkie-subtitry-ps4-390631643/?advert=AAoB7z5hMDLGfkY-wEGeAzzf6Y_w6IWqtE-G2WOi-EV0S3WgF70III9-W_R5WC7BQlAApXkEK-1JET4ySTGgs_0iWIcnPCjeV6ClMkLBEOjMQEp3RkyBQYwMGvaP0RmrUl1eyUeRffARAyaI9LQiSB993oY_Un7FRu0grMA56swtxe1uCxkAt3IYKuqTvoRpXdQ-XP-gAXX8vBDu_U88MvdIN-Q5lg5f-YGxBOm79dOQIHqadfuj1HTKSysP5uzAcnoHp3IKv7JHQmUEMp8Tqv8TtWq25Vs2GVM1707IzC39OMkEKtX_fjR5NcYC4tUhCGNlvHSVskxw2nkO2VHhYjSAkJB_ZxQ-g3uguziA1UaL4O_BFb6TqoV6MuHWJj29qT7gUAWoC23cyw&avtc=1&avte=4&avts=1733830195;https://ir.ozone.ru/s3/multimedia-1-p/wc350/7143116533.jpg;Игры и консоли;Игровые жанры;Приключения (Adventure)
Игра Nintendo Switch на картридже The Legend of Zelda: Breath of the Wild / ZELDA BREATH WILD RUS 045496420086;4932.0;8990.0;45;4.9;69;https://www.ozon.ru/product/igra-nintendo-switch-na-kartridzhe-the-legend-of-zelda-breath-of-the-wild-zelda-breath-wild-1378333188/?advert=AAoBG0NOmmHXewvxVl8cQrFuAwDD_Vwdsl_fxfOhu3Y1fl4_EphTKPH9rUGwflpDkZPIUjuS_8XngaMjTCqVKIBqwRJpdyKpZpwXf3o4EijSZVJpmuzCYQulQW_J99xFQRcP0olu16IjCTNFCVJCHoaRqAz-BRlliKQts1Y3LrFQAsy7jnmWLbXWrbpNuxITBGmTcRlQsjtV2HSB8CMFFx21lqhnQs3ak3Gcw684RyVwjTvSfQvff190HsxWNM91qFeEARtRpUv7UpdMaIREDWEQEeWIawo7xyK8w6UtqVz4EsWRH_mh_tPDrpoT4cd19FqheWDETxUAFpNQVW9T_tsW7KT5g17E67K56GhNbjWc5uP77gP8mTlgPSJXcKMtsUoNm_vNFy9Mkw&avtc=1&avte=2&avts=1733830195;https://ir.ozone.ru/s3/multimedia-s/wc350/6324308908.jpg;Игры и консоли;Игровые жанры;Приключения (Adventure)
Игра EA Sports UFC 5 (PlayStation 5, Английская версия);4667.0;11999.0;61;-999;41;https://www.ozon.ru/product/igra-ea-sports-ufc-5-playstation-5-angliyskaya-versiya-1262389509/?advert=AAoBwGlaY06amGCMwSR8z7CKfEHhzHc5FRcBSjUX1LcM6bK2uFM1uM7TIfefIb7fMNTnebdyDsUTSHNnNZ8DkEtV02X1Y_66dK3g01-HFMf_Ax9SrTApMZryAFQdiH-SoH8mEOtRFsuE_NsWeRnMbv2aAVCeJHWuYRYKjtkM7ooCZvrvVhyk1BIKkt-SVJ2hc5dxBDHiZR0oEWdS8vQkfAFNyP2nPLHmh2afPgY9OOB-f6qeY38zHccBNFyLtbQwmy6IlPFyrExfkrFbfjhjfA-GR8VjUomT2TUvb2PNWMKAsNi2yat-h9PJVsm3-aZsSUsAJZdUsi8wfTjrlu2WT61IZqBDXjM-CDQBipF7gAkMguw9rn06CKQ9WJTL&avtc=1&avte=4&avts=1733830198;https://ir.ozone.ru/s3/multimedia-p/wc350/6820404757.jpg;Игры и консоли;Игровые жанры;Драки (Fighting)
Tekken 8 / 5 (Русские субтитры);3357.0;5710.0;41;-999.0;3;https://www.ozon.ru/product/tekken-8-5-russkie-subtitry-1747169874/?asb=dDyDjW%252BJCc2LwTO2uRM6A3XRzS4Hiqc9aIpX73sT%252FHo%253D&asb2=YyJZiV22CbrOVmxh0Eruuz_yC960Y49hWYUbvIyHBUJ8LW5Ejo_nWLFKZ-5SacgVfEHlXvc-1paBfyOEDThUwQ&avtc=1&avte=4&avts=1733830198;https://ir.ozone.ru/s3/multimedia-1-t/wc350/7182649793.jpg;Игры и консоли;Игровые жанры;Драки (Fighting)
