title;price;initprice;discount;rating;reviews;url;img_url;cat;sub_cat;sub_sub_cat
Куроми Набор канцелярии для девочек подарочный бокс для девочки;1176.0;3500.0;66;4.9;1314;https://www.ozon.ru/product/kuromi-nabor-kantselyarii-dlya-devochek-podarochnyy-boks-dlya-devochki-1564791452/?advert=AAoBoPBdh1UjAULzqNTq7_M1u3X-cy20CC2nLoPsJnuMDDyn3cBfkVzLaORLuZoUGQRB99qfiHI0ecvzvT6CiG4pQj9I1DkuspzeuwGdhFNmudbQa42HjCsqxJZPp4EP1hLlANGMpp3OhHM08eZlDjt6CN4RPt9jYyEOPR4NuctnBgY3WdZym6sF0OdL6ICKq-H1VIWgz1soBq_M2SJHFViw0nCcbHpVnMnIFjGMDZTva2PY2i0a3OVeqjuvvliaSbcPCP72arCibThqro5XZ5MMdspNXTGzhMA-ySGflEIR98GBfTlPiQrJCbZ8jp05WlrwxzqKjGe0IrPS1Q2Sdwl_NI-OOcx1jDW6GVss0d_bcQYiIQxb8mSiKgnEQa2gsHLXgZuLu0A&avtc=1&avte=4&avts=1733831116;https://ir.ozone.ru/s3/multimedia-1-y/wc350/7090157590.jpg;Канцелярские товары;Письменные принадлежности;Письменные принадлежности
Набор акварельных маркеров для скетчинга и рисования 72 цвета + 4 кисти с резервуаром;3160.0;7990.0;60;-999;2018;https://www.ozon.ru/product/nabor-akvarelnyh-markerov-dlya-sketchinga-i-risovaniya-72-tsveta-4-kisti-s-rezervuarom-1717798620/?advert=AAoB-FTjErmjfJFcEHu6CBwiIr_4B5bhIwdr74bKJjYDQz9pUU_pJ1Qc7zuPURf0ZXqXH6z8DszqE8dhT6NUX3JXcpQTufISBgk808oCXF3utdI0z49WpxAIc2AmocXlcdBsjkOVeKjrir0pU5GeQ3nuOcwid8yfyjmmPtVPEA4XpRHCz3xoZh4ssrpbs43OnpcTqKiG3As3NgoZDURnU8U7WL7_1j-lNHCWCeJO_KW2o41gGbHdwQg9bPXwva3YmZrh5xliXzrIkCzXA8QiPVALdkPOxWykW-hlRNdcxoKaO-QyYXU1HBPxZ9gpp4c5jjj0Wx7qFtlOwXLUsVhzs-uKKR-kiKkpr0H4TREqwvROFvFoKV3tNVBBnYS5XrNY5FDc2VVrqKmc93Y&avtc=1&avte=4&avts=1733831116;https://ir.ozone.ru/s3/multimedia-1-r/wc350/7179591663.jpg;Канцелярские товары;Письменные принадлежности;Письменные принадлежности
Набор карандашей, вид карандаша: Масляный, 72 шт.;722.0;2499.0;71;4.9;279;https://www.ozon.ru/product/nabor-karandashey-vid-karandasha-maslyanyy-72-sht-1607015688/?advert=AAoB3D8B8C6l-zXVA9N-Dl0GPTddxDU2W6iwifLzv-PeM_fCe38XLwtJKTZNIliNU3IBe7WABoMmTQKfSqMp0gBWHoMZ_IcEo82l1jSXumrDTvwx1DvnFsyXaPy53a7hm-rT8ms9ui5dEdrtLlQVKcx_dyAmkxheKmScXtlfXOXNcfaYrLuKKk67FU0aLo1Rpc5rYm5FpCDOB5399r8eo88WV_iywXM1X-T4j1QW8B1u8Bk1H4lcdD06AClTDW3qAgTdyNIzWYOMnBtsVBmxdUgu1-2QXceAu2s86kXwyH41bjMGTPPpxJZ3RFXgHLWLEySWeoOAlpVSWrS3BeImFM8OLCP940FcFQAGYrFXQLahaOMuq38gTrItnI77qmEfBWk4P8CliYjJXt0&avtc=1&avte=4&avts=1733831116;https://ir.ozone.ru/s3/multimedia-1-0/wc350/7186709664.jpg;Канцелярские товары;Письменные принадлежности;Письменные принадлежности
Ручки пиши-стирай, набор и дополнительные стержни со стираемыми чернилами + ластик;358.0;1290.0;72;4.9;2266;https://www.ozon.ru/product/ruchki-pishi-stiray-nabor-i-dopolnitelnye-sterzhni-so-stiraemymi-chernilami-lastik-1467433783/?advert=AAoBRa82hqbeLqdOe6soTHeAgs1y-HsxDGNF9Q60PqQDo5b8mJyaHO91GvZFF5y5BAZYUrrYqI3GVSSMqZr5sBAjwt4JTKFckG737V3qd3F8abCADR3AP-2Rw9eBbaI2kYVQM-sCEy6vXQ7KmQsisuAHndBaOxgRQiUQqDQG90qFDHXfMylAKbk94Ehj-Pur6_3vhy3p2oIw7DFUbciv5AQ-2QMYY2DZaho4suyy-Y4KkoQxpsscexVobS2VrX77e7C28jga_brvf_aTKLOlOiWyn7ZCOP2WQnHScLWy8cYrWIo--8KhK-Sj3SYN9mvumSrE811e5FfVUeNi3JxrTbCHtm7BK0Dna0FRRrVTR1Dt0OtScMz1BtQ7-MR6me9ezkuqL3dz0bTdv8s&avtc=1&avte=4&avts=1733831116;https://ir.ozone.ru/s3/multimedia-1-i/wc350/6985864674.jpg;Канцелярские товары;Письменные принадлежности;Письменные принадлежности
Карандаши акварельные художественные для рисования Гамма Студия, 24 цвета;544.0;983.0;45;-999;2725;https://www.ozon.ru/product/karandashi-akvarelnye-hudozhestvennye-dlya-risovaniya-gamma-studiya-24-tsveta-1103105068/?advert=AAoBhfCVZcFWU_ePl059OEFTkViPkrIMHn-IbTsKZfRbcGJ_RwljTM7ERwIF97ieShWSyDkm_dH3FMz5fk7TkgbqBe3zdZhtsJqtTd9eHEOevqezIaQEEolgcfKIdeE8NsapmE96OYWFlP8DtMIKI4UCusyTSNeDwbneuH8bY0CJNnNkIHleIEPB5XiiI5Fmpm7WAdNBANhvi9OtFaACpylyks1J0HYcJmwxVLadXRUrfB11q7TRkXZ_5EFc2TseC13RALyvtCKkfuDRps43GIOcGsxAKk9rJ1pImVHm6luV_UXA8KJnoYmL3m3I635z7xYk2JyOudRxXpYlaUK3iT_HRwDen00UQJRE_WyYGyOMY1dErZMJDCC_ReyIt66Vzmj3vis8FB1Nei0&avtc=1&avte=4&avts=1733831116;https://ir.ozone.ru/s3/multimedia-1-e/wc350/7141886546.jpg;Канцелярские товары;Письменные принадлежности;Письменные принадлежности
Перьевая ручка для каллиграфии Классический черный;360.0;1350.0;73;4.7;4603;https://www.ozon.ru/product/perevaya-ruchka-dlya-kalligrafii-klassicheskiy-chernyy-1148519818/?advert=AAoBIWV_8XZ1TH8279t2JXokmrMrI454rx727DJKbaER0IlVv0ugC5HWMZdsayHxXKbNaZOKRqs8ay2Td63BcIq6udHLkcPKeR5GoLotN9HfM1ETBpf9BUgCj4_FX0Lq6v4kibM0VoJtIYtc_Z_fKnmFybmBpd5cQjYQpa2BHNtr_FHCaBSQGbShpF8Maa1pjznE-GTXvwdfDNotPT6mXV2CLfATcQa_WnWYRqjgv8ryB9A9ltJHOdKsmvlARD0PassNEbgTP4nMnzqHOuceQbn45rQ6xI1NIHrvzTM1arSHU2_hWLCfWnSGA66Ldn-Q9GZl-RAIk0sTnCtPe-7WBl3u0Z2Dq9SHTTihghsTJnMC5JT2tYa2df_Wqv1KsLi1fsZlaxzxwwbIAQ&avtc=1&avte=4&avts=1733831116;https://ir.ozone.ru/s3/multimedia-f/wc350/6791454159.jpg;Канцелярские товары;Письменные принадлежности;Письменные принадлежности
Фломастеры 24 цвета, вентилируемый колпачок;132.0;488.0;73;-999;4226;https://www.ozon.ru/product/flomastery-24-tsveta-ventiliruemyy-kolpachok-508788405/?advert=AAoBwHBZpCy8MQB0lvUZC9EXDsNgfGcEvgsgZNLFqqJG5iWd1LUa36-NsvpjKGmMSaybA_125usAR92iDTWu0Mk1HK_fnpwnWMUbOu-eSWuiGPgKnNIOTrnxE53NEEb6GgC8j1lPNLx5tOSCYJbQvMyEeSki_93FCBnmgIMum7vYWDqRvT-WEYw7rtp5wvePxxwp46q4cvJBfKYuIutbTUEhR2tn17ZZWmE2KiPaK8sb3S6VxWb_oH0uJ1s3fTatPodCk-oHLKiw1prwOcbZiXuASQc0Sy5Vm9AdwkOCfefY0D2Kkw8wm19Exz5TffDbZN11_koPIWDMC_JjA46QCy9EHOsjhAHjJ3KBizOw8tsqJ8ijn1-X5H8qy5yxtfWXWf79i8qTbjk5EQ&avtc=1&avte=4&avts=1733831116;https://ir.ozone.ru/s3/multimedia-f/wc350/6717783723.jpg;Канцелярские товары;Письменные принадлежности;Письменные принадлежности
ROLLER TYPLE Карандаш, твердость: HB (Твердо-мягкий), толщина: 0.5 мм, 2 шт.;218.0;800.0;73;4.8;1888;https://www.ozon.ru/product/roller-typle-karandash-tverdost-hb-tverdo-myagkiy-tolshchina-0-5-mm-2-sht-1056723546/?advert=AAoBRLBlbPwC6LIPLVpTkY3XIphBcMRuKi3zq6wBYlCF9qrIcJFiOPF99bBKJ6IAxVizlsidtbbFkDeRnV4JMhabtmiPdVAXFpr0oeOfVgYQ_1wmOmhxIeQ8MpYVdXuAG4-dy61i5Yilfd7wKSCZhUUJ7BU5MgZTiCYNDaoywJS3KaMy32JyrKZ8KutxX_X-ecaVw79iJN6uCjIs868MkyNOprAnGjHskCEGfpD50rt-Usqxixwwiz8zdGHyEkIjM1kvS-LZRYtCVjWoduKFkJwogDVGp3Ma0jFc1RNkDg4-aDLvdzoUb8RM_VTRWnmW3FNdJaSQPEK8z6bAPVCLoNvVSitB-CdFBBPdzO0n6ghG1o86VmQ8qyq-xNAkD_UeW08Dn1llNIGO8sc&avtc=1&avte=4&avts=1733831116;https://ir.ozone.ru/s3/multimedia-1-u/wc350/7086276174.jpg;Канцелярские товары;Письменные принадлежности;Письменные принадлежности
Выгодный набор шариковых ручек MunHwa MC-Gold 1 упак. 3 шт;148.0;217.0;32;-999;2136;https://www.ozon.ru/product/vygodnyy-nabor-sharikovyh-ruchek-munhwa-mc-gold-1-upak-3-sht-1638344588/?advert=AAoB6foP7Of9RUaaOhh4c6kXpHhUwBXlPIxH98ldyo8oArcqDCibYasgqZZxfuVRw8lcCyiAIBRVFcPEc9qwtJo3ad_4sKXkcpJxuh54umlSpxhGirGlYMjG9qT36BFEmXPrt2bWmbctXEZZ4d7e00vOf6F9eZxgDCNxNMNNPeHBdb4ng4v5dx4y8gTXAeIPrB1dSovvg5CXGWtLXa9xMoojHopDAlTVpte21LTYOXeio9IPgq3tjeafVLO0_AsYgpiJeteldf25SCM43-TiEEX0UrPCSMvTpQxqvgqUqFR4LbwUzUXdPSj6O11qqF-pDUSKbKOJyJ1TWOVzAhDwBdl62eVaXh1ayy8gaauaZO152W0vot8LVqX5JJKL2fRHO2PB&avtc=1&avte=4&avts=1733831118;https://ir.ozone.ru/s3/multimedia-1-u/wc350/7098452478.jpg;Канцелярские товары;Письменные принадлежности;Ручки
Ручка шариковая, автоматическая, синяя, среднее письмо, BIC Round Stic Clic, уп. 3 шт.;72.0;239.0;69;-999;474;https://www.ozon.ru/product/ruchka-sharikovaya-avtomaticheskaya-sinyaya-srednee-pismo-bic-round-stic-clic-up-3-sht-1695817837/?advert=AAoBmBMyaK1_DdxDO7j5Liwk6x74y666T9nnhtw9efmhlCW1kE9qzkagKNTzLb4HUpNow-42ld1IWeNcHHeq4LUGG4kfMaM2I_Ie6ulboyq4YtqFtAD6PH1Z4coor-q0pxeQ992B6Wr5w_144FdfCZFl4vf7BlZPIglpkTnyVMjDRlJrL3z1kV6y-g2uxzzHDmHTpsc_2KJiAI-M6l--m77lCeWGK9XdtvaUksWmATcwRk2fo7dFzdG7UnFijUE6GhoNXm4hzyQ0lgRiqH6JuUClo_4AYlsfzCntXqd5hdSXS1X167xCYikHGHOzqNDY5vrLFciZYogkicFa3H_Kh48nY4ud_dUGjJ2ac4R4kgOMp9ihya9epCHVM25BxyZqWfBwi-nT&avtc=1&avte=4&avts=1733831118;https://ir.ozone.ru/s3/multimedia-1-i/wc350/7162178874.jpg;Канцелярские товары;Письменные принадлежности;Ручки
