title;price;initprice;discount;rating;reviews;url;img_url;cat;sub_cat;sub_sub_cat
Пациентология: Ждуны, лгуны и мне только спросить | Решетун Алексей Михайлович;525.0;925.0;43;5.0;5;https://www.ozon.ru/product/patsientologiya-zhduny-lguny-i-mne-tolko-sprosit-reshetun-aleksey-mihaylovich-1755437108/?advert=AAoB-UajNBvBzyqSWdOfPzJpxsqTSX4puDswiovt6ISWubVA6JnuqQRmmB-4M_hDoZWd-fzRgpnWzSRH0xzKXSVehc_2xVFG3f0dDxhdaT0pei2IPPTl4O2yWh6255bcHDayfDxptCTnUA86deRWfjmbLX09GpSyqfah1UZFAvHAssqqdo53KoP13hNWNjs68spi_Y_tHr60MpKj6xzKDdEioB4NhTCn8iUJjXJnPGk2zeGur7_ugfNwTeBejX-HaMW9GOJ-2U4mSkNURxcsLqxP7zVwqoxpDiZEBVJd2f22vuLMK70odBEixcfVDkqP-41CCCjnVaVYEM6fK-uVDztGGWtAOGMvYxrqHzChQeBrJGDfnJGAhzbk4HhcJuehV2TfOCpm_g&avtc=1&avte=4&avts=1733832072;https://ir.ozone.ru/s3/multimedia-1-g/wc350/7216259524.jpg;Книги;Нехудожественная литература;Нехудожественная литература
Библия Книга Священного Писания Ветхого и Нового Завета с иллюстрациями Доре. Иллюстрированное издание с закладкой-ляссе;763.0;1658.0;54;4.9;1104;https://www.ozon.ru/product/bibliya-kniga-svyashchennogo-pisaniya-vethogo-i-novogo-zaveta-s-illyustratsiyami-1403902586/?advert=AAoB03f32l1FQAejwFDOgIca0gkMXmquLKdlQuWz8sf3vKO0rtq5WEF1tqHsWEYXQpEKxSw8cZ9Al5vfTERjKmkMh2CsTSEiphq9TMMc6V5C7L1jNMysl0GFuF4UFtzFF57uqNpK5zB0v1lJ9ULKUyQebSFxHvVcIbiKB3T6kwbnwzD0yGNzD3lVNpE8dDc4OrT5d9wFmi8MWEgvMp1FfMkyXzW9sAx2N_3p8KJv_jHHzWCDKgarOqk2JLQmf_wLF0MlJGhGGuT8fuhncwRc9c6kiZOZ6cSpvb1_he9o6GiQ3aiSJZCQAzkUbzJMszKF-AnizZrG0bmUF14tWd4DCVo8hk_EdyekgqXNstzo9v9mnT8J5wfbLSOfRcoZduRGLI4ey0IgSwSLKg&avtc=1&avte=4&avts=1733832072;https://ir.ozone.ru/s3/multimedia-1-6/wc350/7080091566.jpg;Книги;Нехудожественная литература;Нехудожественная литература
Почему Россия отстала? Исторические события, повлиявшие на судьбу страны | Травин Дмитрий Яковлевич;664.0;1113.0;40;5.0;4;https://www.ozon.ru/product/pochemu-rossiya-otstala-istoricheskie-sobytiya-povliyavshie-na-sudbu-strany-travin-1710291395/?advert=AAoBiMn1__6Nlpj9OEzYCiv4Vjn7l3qc-SRzFHsEVdQlxcZJ61y63L0VEVyIcS5NyJP2dQqliB3fw3JNCovF4W46zSFT5oxTuDOF-tqdJONsZMiSkMX_4n3VtMLL0nvs5VCm93p_gP0AnobKpvWpKmxrggiJqU-aqvvgVeZEt6yRR7JS_3Oap2K8kdLTmbH4YJtt58SGfZWTR4-Q7X-cPmWUdLm8waIOvvLfexCYt-DQud1xgUXO6RphFkNmShcjX21EZCtwgGIotis84spszVjGBd88lsvaxo0VUeik-QOMaRDTjmuV4Ht-ixa20OyfMuFVWSvbeUv7xNcqpgTChg_yp5DZRYaNli6is-MfjxYh3KFbZ4P3VlQGvs3SPZ28lZe6_y-yhwJh&avtc=1&avte=4&avts=1733832072;https://ir.ozone.ru/s3/multimedia-1-5/wc350/7208334581.jpg;Книги;Нехудожественная литература;Нехудожественная литература
Кругом одни идиоты. Если вам так кажется, возможно, вам не кажется | Эриксон Томас;945.0;-999.0;-999;4.9;1061;https://www.ozon.ru/product/krugom-odni-idioty-esli-vam-tak-kazhetsya-vozmozhno-vam-ne-kazhetsya-erikson-tomas-648923611/?advert=AAoBl6O3lBaLRwluMhRE1-7D3sy5c4AhXYOdpTDNqxSxfKSnRUjAbblGcSpD9Es7A4i8sS04BKpE4YSdQWpoYLPduIQvk0RuuKFh7FKj6qYD_iUb3ko6zPP_61xTd4iuOTHlEpuvFd_CD6VZ8Lhg305JwZdhCzLEQ1NKu9PE6xa2_NKa1YCqKWoA3JilXOafSto428FdudDlK6S60fNika6TXpDZ_huIQUTpDBQjbh8yCs2lOkizWbMARbspXmSalztJwWMWMx42U6GQxDk80qm0IINfCL4ZnsKpyIk7V4HyLcMbvAJ7-IJnBejV67pheM_d-k9HDzpIYT9biefhfUzRHtbCm8j1sFcunaLttHDpM7MLTVT5iuE7ZHhWNmTmyYzOnOsZtI5nkCF-&avtc=1&avte=4&avts=1733832072;https://ir.ozone.ru/s3/multimedia-9/wc350/6640460541.jpg;Книги;Нехудожественная литература;Нехудожественная литература
Альтернейт. Сверхцели. Счастье. Баланс. С подписью автора.;439.0;992.0;56;4.9;752;https://www.ozon.ru/product/alterneyt-sverhtseli-schaste-balans-s-podpisyu-avtora-1579705193/?advert=AAoBpENiNX_uBU1o5b84htyj6pDjMvNZ5APFTfI21PY_gAE8K5rTdp1onjyjkFw9vfQBD_PtToAOfo9r2O8d4eOvVFJ9HlsvNuvUl0ECukLsnGWTJmW7Ttt1kSYlodD9nY7u5j9Eonb9QoUhU6iB-NFl2vRUz4_6jyzCQgjQFQE1QbEvem6yIlonqwSsYsEduTsLoSHPvrPd9Gmgu4164c2OX54vLR6MUPvQfL4TiJd7W1fpYexnYOhWRe9ZZo3Ys4D1ZHfCW6XiqU49JWCp7z6OnEF6OLuXzFGD0zlamPPFvk8DEHo1i2G2qneUMI9ssgTIpYpq4HkT05OQIOmvgOwlz7zZq5gb9l_kDGvTEZrFd6LrXQ670oLM-aTg6j7xrjYW84iy1d5gaQ&avtc=1&avte=4&avts=1733832072;https://ir.ozone.ru/s3/multimedia-1-a/wc350/7033030822.jpg;Книги;Нехудожественная литература;Нехудожественная литература
Породы собак Энциклопедия (первая обложка с борзой) | Михальская Анна Константиновна;1939.0;2770.0;30;-999.0;-999;https://www.ozon.ru/product/porody-sobak-entsiklopediya-pervaya-oblozhka-s-borzoy-mihalskaya-anna-konstantinovna-1747101218/?advert=AAoBZ6hZCypkkpHYZppzeGgpmcRBwqQWFGtcy_GnK3ojFXIuMjMdFJgScLeBF2fUnbL-JNjB0BE58jNr0ETg2561-gVPCgAqswuDSZLB7gcHxvrKfiswCLfqUWjqVHsehzeFrN2ru3qSOiDabLUs1JQ2SxiUQM96exNSMCz4o6fSyVSln0aJIBlw3trJCcwpwVv9Zp13GMyl8q9inQMDHQdu-DinzUmKSlj4oTGeGjIF4MINyP5W9QNtyKxX60KVwIW0tYQ4t4svcEnAPR4B5DwfK86v0OZ_Lwgnv-D0E8_KEATekCuM1pV55RKKLF6ehH6gg3HCL8kbkfy_fict9-gDY27z7Py1O_kZOWkwTEEhA_-I73a6pfk7rwirF2u07dOq-BCPZCXD&avtc=1&avte=4&avts=1733832072;https://ir.ozone.ru/s3/multimedia-1-f/wc350/7216640439.jpg;Книги;Нехудожественная литература;Нехудожественная литература
Вижу вас насквозь. Как "читать" людей (#экопокет);385.0;1092.0;65;4.9;153;https://www.ozon.ru/product/vizhu-vas-naskvoz-kak-chitat-lyudey-ekopoket-1467254759/?advert=AAoB8jlPUQ8WxUmEVY-3l2uDZs8bo_maxhhejrSX8QHmJR6rBK29JgNStlpZlZIX3-hwzKUFmsb37KduAe4CyY1cQLkg7uezUYDHPDp7tpxHwSLbgRiFXYJZWn3ru44DlNn4bEiX1OCwisAqVvLDGFFcHU1bUCueTfz2Zgrgn6EyD8zVZFeFHVwHjKktz8cWKUYzeUKE2Lz6aS0XSCNqqwetEqXQa_z7hWwlBYgCjTR0xlgQsYAJ5EEI-xl908DkRvO1Qsx373LSA2L_igVEqs8TJCahXbGnp_WeQCqVGmAhQ3Vhiw_j0wcMpYmv4-VEcd7g5t4GPfQocaHTdVwUEYUxdL2ddjrH4sDAF5aXkOfyIWNh_lu-aNx-xSS503qPmnQVZ53-3rOo&avtc=1&avte=2&avts=1733832072;https://ir.ozone.ru/s3/multimedia-1-5/wc350/6950883713.jpg;Книги;Нехудожественная литература;Нехудожественная литература
Рисунки карандашом: самый легкий способ научиться рисовать | Лумис Эндрю;929.0;2160.0;56;4.9;106;https://www.ozon.ru/product/risunki-karandashom-samyy-legkiy-sposob-nauchitsya-risovat-lumis-endryu-1339460015/?advert=AAoBgjKisDqg8iZSn2mCVl9N5UaZS_-ISP4hjwpDTWeUaAcvdl984SnFIiReeEb5_DSaqzJeEFAgaJCkZKmmHJmfDQNqt-qOxcO8mcNBV3k-rSyFEmeadRUAMbry3bI-S4FiyKiBSCrhozadmJ30Qt0ERH9y3B272DfEdryjnPMF4QCqrc7cna32qbbU36BtgbDV9r6apG5ispQWN5PHDKZWrZokjVywNnd_GTLGoGxySK1cTbyQW0_20RWyRbQT5gnW8oKk55eSrcs2N1rPa2QYC-wqLnuyZKlO763Efnppao-cElhG2qOEDFDeecXlUy9kJe1N2Itrx0EMz6ZGJYD4MtzqpWaF0_ymbGk09fBIFTJ-tLrBiaGtT-Fa5WhXxtfcKkI&avtc=1&avte=4&avts=1733832072;https://ir.ozone.ru/s3/multimedia-3/wc350/6859878627.jpg;Книги;Нехудожественная литература;Нехудожественная литература
Один на один с жизнью: Книга, которая поможет найти смысл | Латыпов Илья Владимирович;550.0;1186.0;54;4.9;353;https://www.ozon.ru/product/odin-na-odin-s-zhiznyu-kniga-kotoraya-pomozhet-nayti-smysl-latypov-ilya-vladimirovich-1617868502/?advert=AAoB1wa7BeY9JvaKwDB-gKVbud2LNwjN_oQY_MoqaZgJ1W0HCHiqCVhWOnlUVCcKHUazUPHAq2HaSEbL4kJ_d3WCXy780vCJmrLydoE2FR_X10zbYS6cXBk0EdOeIuevR_OJ3Ewmj4G1xNq-fLxS8J-IVAKlF-Yj62c-ahR9qZw9QH8zIywR4JUAt73ktIr2t1-Y01bTyAlJhfrkDVd1FEeeqockHTI207yCDFAZsNKUQgbn1w3uVFvV1fVl_Hdhq9SWN_xv2tO6kcpO_XGYap-Mo049i5q29Oaz3Ukw-n9swJSP1C0I4ZuxFpBDG1YhQzsj10RxMU04Q1qdUxBA-7-oTZ3gg5hGAkcrsfsJ5xx1qCfInfBi5v4_gFSbp7sWxOAOi6ANVA&avtc=1&avte=4&avts=1733832074;https://ir.ozone.ru/s3/multimedia-1-n/wc350/7174987007.jpg;Книги;Нехудожественная литература;Саморазвитие
Пробуждение воина. Воспитание, мышление, здоровье и отношения в жизни мужчины | Лазба Дэвид Зурабович;1047.0;1495.0;29;4.9;142;https://www.ozon.ru/product/probuzhdenie-voina-vospitanie-myshlenie-zdorove-i-otnosheniya-v-zhizni-muzhchiny-lazba-1572477611/?advert=AAoBVD6VS0NHRjCzW71tEf9s4gr49Au2BCBy_rXZSjRufn2HSd076W2bu9s1JRKrFPuxT4uam5IxLfN4Kiooxx7db9DB-9vRHwvdAt5DxbSEo5lJ13k0c2JF6FUjeXvpXyRQTDbi_e3Gylr8-mxyUfgTf_kcMC51BGjfxOckTKmLFlog2WQm505Pcmf3OXDAQ-O7fjCCQRNgKX5aShYdXwVhIgkp5anYtduR87jJTNeBY4COz--tJ5oZCLYP85br_GBYBC3RQRIh8wvLoGOyr_g-Cnw-E_Tn2k5CkDB-NKdysoMOFle0rUo1WAvrVcKDyXN2kIl7_OtL3b4737SzY_IN94DZPgdkwPBzBYayBcm4jzTsLJHZZlSzteLtu2EmXnRorejA&avtc=1&avte=4&avts=1733832074;https://ir.ozone.ru/s3/multimedia-1-r/wc350/7076000655.jpg;Книги;Нехудожественная литература;Саморазвитие
