title;price;initprice;discount;rating;reviews;url;img_url;cat;sub_cat;sub_sub_cat
Davines OI кондиционер для абсолютной красоты волос;4765.0;5180.0;8;-999;83;https://www.ozon.ru/product/davines-oi-konditsioner-dlya-absolyutnoy-krasoty-volos-1271343546/?advert=AAoBxFTP0C2h7S6L6GkInYh5vVfHonLjakdkkmPx8pm0_X3TxZO8vuiLrYfV4X12qQdb5LlRK-seJ8JZ0SOhD0s4vL0GryDsaKTYbBDncN7XQ6YLXJzGzT3OjgnYGJHjGczVmRI8RekuS_6Uyl_dgC2LfxLS3vFVX-5s5U428_bzNhLYHAf-3htLH9kZaSIHjoU3u7_tJvdbm902M1wBwpefvJFUqUzfoYKknhPg_mVlrCYgqZpSdZVFbt11NWMwKQyEBf4ZmOms6-1oKJAbZHokG99zlQ4mFGjhwDZXeDeR96m7iAUgZj8m8YSxfcAyCahyohFp-6VlnITQVS6xxz53SRFV7D6rJUBE1zlpKl1Xlcra-PNJnMv_FoV1Znbt1TpKP3pE8g&avtc=1&avte=4&avts=1733832405;https://ir.ozone.ru/s3/multimedia-1-i/wc350/7183353582.jpg;Красота и здоровье;Уход за волосами;Уход за волосами
PANTENE Маска для волос, 300 мл;380.0;1529.0;75;-999;1502;https://www.ozon.ru/product/pantene-maska-dlya-volos-300-ml-141885325/?advert=AAoBxl9MGJqo8Gl8gIc6BFycMZkYhMS2oRPw0An9UkYtqNMYJiTCTj_xiYz0JLfWYUAfbkMy8sSghQg-1IKTqLNPF_vyyi13C-OsQbYrRK6RI-Nhh9sPRtdC9xP9igX7WhIvs2E3k-e-QCEPMRfJQbn3R1589hR5Yxbea-vURI3dk-L1f2P4u_QsThGkXv_MtAPTNVjqy_1sNkSmzTEMWCk3Ek8kwoCrtcMHIdYRh22-48qMsBk_jK9poj1ENPc6j_Djrr2Je9Ar-seb6eeefGoHxlTHGSRmT3W1Qq0qmYe8_cNyEWkAF-jasMep-J85UyBqO7BOm7p5u_afyG3YR1AKcZamvy4uG2eZj1ZIW9oCwwQk6uPGR6R-RR8kkZHKBL48&avtc=1&avte=4&avts=1733832405;https://ir.ozone.ru/s3/multimedia-1-a/wc350/7223523406.jpg;Красота и здоровье;Уход за волосами;Уход за волосами
LIBRE Экстракт розмарина масло 100 мл. натуральное, розмариновое масло активатор роста волос, бороды, ресниц, бровей, от перхоти, против выпадения, для кончиков волос;676.0;4000.0;83;4.9;336;https://www.ozon.ru/product/libre-ekstrakt-rozmarina-maslo-100-ml-naturalnoe-rozmarinovoe-maslo-aktivator-rosta-volos-1763220250/?advert=AAoB8bfAtdvAW5SQTZH2ZimzmTwT0E771PUe56-FdvobVw4Lks4G97FCI38S8bsfv8PKpthkcUJL5FJuARJskbT-iDFFO9QKBvT_xovrPZtn8_qOslAsKoTP4uyrZie8cQ16Q3Av6yGWMwg26ktKSdwq0PXUkGgeKXdG77kHqskUUsuFCi18V8q0Bn6SZk0LPz1GMB5moqtI-v8G96LWCCJYQLsQOffIUlK91rX4VD-xcau-cRTl56TokT6kUK2SctBdvKMhbZHnBDuH9fstEFRASsOXwG-VAQcgXTQglRpjz5zJK323ZcA0Hh3Lc0MTllVuICLNVx4WkK1ZyulfRQTh7zGmZHuxMHA2IudPQlOl8g6cExprVUMWt-7s9POHweeFop2XglU&avtc=1&avte=4&avts=1733832405;https://ir.ozone.ru/s3/multimedia-1-4/wc350/7202161012.jpg;Красота и здоровье;Уход за волосами;Уход за волосами
PANTENE Маска для волос восстанавливающая Защита кератина Интенсивное восcтановление 300мл;380.0;726.0;48;-999;3652;https://www.ozon.ru/product/pantene-maska-dlya-volos-vosstanavlivayushchaya-zashchita-keratina-intensivnoe-vosctanovlenie-300ml-141885326/?advert=AAoB_6SXNi8AeuXqIg1QVb0bjJ8oOOMKwZyyXCs9e1JUPX_0Uewix6I7WOwkMrWniRe_p4m1wDrbhA_0kty34IwJiqnA8_p0P5-v31S6tUjFiji0YLP8iUTVjWOpUhANFs-c2bukNJWsdiCDUiTarWEYRS48JKvgGmahrNdLjrIHHGQs5HhlBwP5YTWyKyc-Wlf_QcbSTeM177_mPDlqduH3mZOblmyMceC1hRONYHNzAJ8DFelALez2qcM_kQcAtT0s0pBX2vvxldgYrRvwDQgdK57mJ-0G1v_23oLdNCFBOma5bZNJNaKj02y1QZlL8bAkEZ36-V-5DOR_WYOuOTF1yJ_QG2Yb7bjcDGUx7rjslpJnBbu3s_NhXZhgPSMvOke9Rg&avtc=1&avte=2&avts=1733832405;https://ir.ozone.ru/s3/multimedia-1-e/wc350/7223523266.jpg;Красота и здоровье;Уход за волосами;Уход за волосами
SHERNUR Скраб для кожи головы с витамином С, пилинг для волос, против перхоти 150 мл;340.0;899.0;62;4.8;1865;https://www.ozon.ru/product/shernur-skrab-dlya-kozhi-golovy-s-vitaminom-s-piling-dlya-volos-protiv-perhoti-150-ml-392512886/?advert=AAoBB-cEfqAjHampDOq57-XuuSpYOdDrzK3KAvaZ_5WJBUJrVyp2WSJt7NnGht3v76cMNiwoRL3yW4BRgfGnRwUb-Q8ScLHrGZMV10uFWOSfQlKRFO6WL28sL2iGXlNQWI9uLsdmG6FfmLKI4OaCbhD6B_8P4m9lRDaD_O5suomGRkkRp_eDA8Vz1W1PE1m2BCVX6225DMAIR1O6CwBTLyPo2JIyGKRFZa-541bz1M0pUop9A8dNL0GHpTC-Cn0JBncFhuAwuCP7YbGYNYMBdbuuq01lKKKNROMc4rj5b7fQZcOTCgoU7dF8JDlYcEo3gR4PmidTjNJTF3q3UuJyVFN6TMAsK3NmXSj_T_eDg5eRARkvDn6xwG9KL0K5LBjsNlkh6LOSu8uV&avtc=1&avte=4&avts=1733832405;https://ir.ozone.ru/s3/multimedia-1-z/wc350/7212210731.jpg;Красота и здоровье;Уход за волосами;Уход за волосами
ProКудри Шампунь для кудрявых волос без сульфатов, 460 мл;1100.0;1550.0;29;4.8;956;https://www.ozon.ru/product/prokudri-shampun-dlya-kudryavyh-volos-bez-sulfatov-460-ml-615783306/?advert=AAoBX-4_NDauM1DPgpzpgLhrZBZfGJYw7_D9megT9Ff0qJeSJKqd7Dwd2VVQLTAxGs78fBQt9oXRq06nnS67qE18pneBHdzj5v4w8yCZZRu7cN5cuX3xfT7_XhCKjXIssRrknvj7WVkHTKkPpETveEd1SlA9zZLhJyBLh0qNRrAzJ8wqla5BtZAGq0zCAEFRsnsH-kf6Ioy_v-qoXiJYdqzDnpK7-eIUVjSIltuE75p-rsb6WE9lLHPmXY27fNaDVl2Poy4VDcTBa4ujSlDG87h8L1JoWXgOMD3_66FDZQC9NhDE8psPO7nm_8kiwmn1tMhcShCcOXfX8qPHEwfwHv3bt2BflyXsG-9BSLYEvtsoV1CmgRRVR0pehGGh39ImeddlH3Ssn5yj&avtc=1&avte=2&avts=1733832405;https://ir.ozone.ru/s3/multimedia-6/wc350/6678364074.jpg;Красота и здоровье;Уход за волосами;Уход за волосами
Лосьон для роста бороды и усов 12%;961.0;2900.0;67;4.7;2903;https://www.ozon.ru/product/loson-dlya-rosta-borody-i-usov-12-1658075537/?advert=AAoBhV8VDgL23Myz3iJlClg45zap7a8_5VYyCZcxoqW1CTzmVRdLLOzdGZ_r0001uII-lzduCbRXC0VwHz9MdpSWcoZD4pAKb6pvjvan5H4G0WVUpFzhMaPVfshCTnjlolTi9Kpb7muyYMcx3vP923NvuZOMkQHL8OAsARBJwL5VmMOlfrAi-1R8Cr7g1g88FH-m-Q6XVcymwmKgj5OE1KcLkStxT_bErQLaBEla9RG2vWF6KBQ7dFkHhb2EZvTixI-l5b_b8ivYCWoRW9-IEl_rPygIy4uxEz2OlHtvYv_BaD54Z7OSDXnR98rSKw0Rbu7HiDIgJIgp50oWzCN5Mu0mitRGT8acqDMYYfibPjI2UDlEdQ37Io7mDKxna5lz58Jm_9EzcJ2j&avtc=1&avte=4&avts=1733832405;https://ir.ozone.ru/s3/multimedia-1-7/wc350/7195518007.jpg;Красота и здоровье;Уход за волосами;Уход за волосами
MIXIT Шампунь для волос, бальзам - ополаскиватель и спрей. Восстанавливающий профессиональный подарочный набор Hair Expert;3000.0;5135.0;41;-999;61745;https://www.ozon.ru/product/mixit-shampun-dlya-volos-balzam-opolaskivatel-i-sprey-vosstanavlivayushchiy-professionalnyy-1361609049/?advert=AAoBwg0BaEggQA4-08_ZXrxNHb7I_VXCoOSM3jun-FqccRdR1UJyeGodgT-ExbIBtNRVK-_c5bYPs244zv9fS6sqlLEKH1WXVFYFZ_mn0DaQqVtYstkiAUhsbOCS33calsZz9bg8zFkjCNCmWM4RsWFRjElsPYi50mfs9QQ9yZsmnaBtUHbCdE_jSADgr446wo9xzvb4dbg4BxTgZ2poPqjelLV2c6ft83JNtM5l8WvlqC0PpVZ0IdoOhyXPvsgsGl74wVhAXmb8j158_KplL1uauT3aiJ9Axucfa2hIQhZEwJD6tpblj9zM__Tj3Dr6p6UF26hQZj6Vbe1Giu4fVNFNqVFMXVzEfQbTsST4yRfQ0hz-UxBNqY_CTU80O06xyRYKlfDkmA&avtc=1&avte=4&avts=1733832405;https://ir.ozone.ru/s3/multimedia-w/wc350/6903698144.jpg;Красота и здоровье;Уход за волосами;Уход за волосами
Pro Series Бальзам для волос Глубокое восстановление для поврежденных волос / С аминокомплексом , 500 мл;384.0;809.0;53;-999.0;-999;https://www.ozon.ru/product/pro-series-balzam-opolaskivatel-glubokoe-vosstanovlenie-500-ml-7270865/?advert=AAoBO5fqI67XsofmKP1HhvJtmS-j-PJ0oVoAlwOF9NIG5UzHTFt255xiw7sCGJ5j5m5VZp9pIsLd-6L5p1N8bn9sb6bQaoLp3i_SPF4qkRMWBpvyolwYimHIGNKIDLmTzWdA7ZKROZljSlJXbEJsVzhtmeinMDnhONPgIX6D-rNZJPmoQHgwzofqRGpKnm-EjMV7wRokwSbkLoHkwJklx6t3N2J6W3szkGnb7en0zI2paOzJk0tJcgtBHL30Ok5hQV6_s9XZcCqYxXzma4viXDRPyXpFYSP77bkCXKuK-yLnidrBV3wO8p0MAfQLxg2Lzsf6sCoyyhvZj8RY9nc0qX6M4_fhr6rQ4VMVuqtgsYjbEuad13TcE9zYu8tBcaYy2wfbxw&avtc=1&avte=1&avts=1733832405;https://ir.ozone.ru/s3/multimedia-1-h/wc350/7218554513.jpg;Красота и здоровье;Уход за волосами;Уход за волосами
MIXIT Шампунь для блеска волос, бальзам - ополаскиватель и сыворотка для несмываемого ухода. Профессиональный восстанавливающий набор Hair Expert;1478.0;2956.0;50;-999.0;-999;https://www.ozon.ru/product/mixit-shampun-dlya-bleska-volos-balzam-opolaskivatel-i-syvorotka-dlya-nesmyvaemogo-1564958016/?advert=AAoBnvGIfVb7BoNqHTf1B9j9xnIkFcZCx7eXmgmjHtoskZGxHO7yj10Gctd7Dn-t9ptLutk3e7DNf9MK5x55gRqZjTO0MP-s3-lZZOihBrozo1HXLxiLTd0enjFaJ1n4p8HXjtW0JWnRgh3wnfgJ7VmeOsYfcexVb889bBr9GsEVPEFcL8_cQp5llZfzdZENvcet9fpqspR1CYlJqRP8AElmly3Uq7zYibKebJ1-hyg2Nsrh24a8j9MWpQ6QeoaTyyoSpain8Vb_ZtY6HhEBA9XHkhCTQ5TrE5xlbLybuJRhoveP0UhPWYvkglbIEiDZatBOQcSgmSj_r0glpBjcPOn5Hh0E6abyIuJavIgEuCmSSnHg7jbYpyTbdFXcK0LkpxS1LiKXwg&avtc=1&avte=4&avts=1733832405;https://ir.ozone.ru/s3/multimedia-1-z/wc350/7058512259.jpg;Красота и здоровье;Уход за волосами;Уход за волосами
