title;price;initprice;discount;rating;reviews;url;img_url;cat;sub_cat;sub_sub_cat
Диван садовый трехместный YALTA (Ялта Ротанг-плюс) - без подушек (искусственный ротанг (пластик);14650.0;29000.0;49;-999;28;https://www.ozon.ru/product/divan-sadovyy-trehmestnyy-yalta-yalta-rotang-plyus-bez-podushek-iskusstvennyy-rotang-plastik-1641794468/?advert=AAoBNQQKYoci4_qJ78lQB_sYdBy8xjkFuwPu0d5k-mD6OI8Tul4P1yYDHarJ7H17kbPkkuXlEhRWZsQMxmA83O1ndPrsJVfU5bvWD8tJX0eJJpABfEq5vHsoDbjOHPOkmLj_6-2Vt2zT5GPYDKdACvRJMEMC3wI1s9ze7WPR-3-wPUN45PZUtnqmJdBh0c8sSKWH53Gbcnfj2lediugNjcgGwFGhvJK4N2GZR7GOaOJEUv80X4OwM7PVVnmewN4QQ0QRuRjOft39L2nDHczuC-koRSY0JkRdyrSyVeB9O1Hx0lbBryeWdPsptLnqaRFxCeXxOfZK-_AmPKcI_PvIueHReDyGGhOkg7P3XWw90qpdsuEZBrxQqFnNT21NXO-rqjOBZWqm_oo&avtc=1&avte=4&avts=1733830706;https://ir.ozone.ru/s3/multimedia-1-8/wc350/7156483496.jpg;Мебель;Садовая мебель;Диваны
7-ми предметный модульный комплект для улицы, комплект мебели для беседы;69128.0;150000.0;54;-999;643;https://www.ozon.ru/product/7-mi-predmetnyy-modulnyy-komplekt-dlya-ulitsy-komplekt-mebeli-dlya-besedy-1643290918/?advert=AAoBUt1VxDJW_Q3BYyfuI7N_j2EmX0lVXwJGFKEHflAw76RFa0lsugkZ8b68f63Wr1rpc-M3osfX9bn-BIBIiVn0EgSiLQb936dH7ZlABqZsDc5qAi-CRsXCP3b7Pa7Wp1YdOhrfpKF7PcaqI9IBMRuYNhIMUADqFBaTp1D801En7w-8rUENTDP8UJ-hLYzk2_rindJ5IrAcygbFSwqJ-Vl22XubPypAOyXUm2gcbteZnjE7Wvu1x5T-jiHzcwSpVuh9KsoepqatbqTOKcmTpjSsh35OPWv-rytcqdBSFd1s4x_s961YFVH66uPj0AwV81Gj5cnGjS-YHX13WYRKJtuix8jib7Ao_8PHWDNqkC8k50C4KgTeewzwZa--Efwv1ryGXVjV7fUWow&avtc=1&avte=4&avts=1733830706;https://ir.ozone.ru/s3/multimedia-1-q/wc350/7088885234.jpg;Мебель;Садовая мебель;Диваны
Диван садовый L-угловой YALTA (Ялта Ротанг-плюс) - без подушек (искусственный ротанг (пластик);20036.0;45000.0;55;-999;349;https://www.ozon.ru/product/divan-sadovyy-l-uglovoy-yalta-yalta-rotang-plyus-bez-podushek-iskusstvennyy-rotang-plastik-844511978/?advert=AAoBsu10u_hg-vECh0kP-NOreLSyk4bZbhu9kBTV8BzIF3lInHowttYEZ22PFzz3wgD5z8-7lrgH1Pvc5CI5EaHNxK4qxicVplSwMcWAkFdnWG4JwbNBp2CzhwQfGnHlTEvI44iQ0Lf_kHyawD-bm3G4yRnK8uxQKmGfsOWCSXBprZoyKurowdJji9Oh1Nkf5EDXwxXdoRukYC54tQliX5gPkGE6_kT4sWxj1VY1wG6BzuBq7duTk0lfNhIElVM-U9w6ke61FKvfU6HzqNA0ftfl20AX6ae3lodvdqHJSLuljZ75O3wazAWw8We99UI_o7S5ch7gGR1UJ_yKAZImqFboVXDUh1zNA0hxudaFNakj0EtePBDwbSAXQCaaq_7JRhRermWpPQ&avtc=1&avte=4&avts=1733830706;https://ir.ozone.ru/s3/multimedia-x/wc350/6826590465.jpg;Мебель;Садовая мебель;Диваны
Диван садовый трехместный YALTA (Ялта Ротанг-плюс) + 3 коричневые подушки (искусственный ротанг (пластик);12982.0;32000.0;59;-999;28;https://www.ozon.ru/product/divan-sadovyy-trehmestnyy-yalta-yalta-rotang-plyus-3-korichnevye-podushki-iskusstvennyy-1641794528/?advert=AAoBUYHxKvK1XG4L5iqmldt0MiRWl4YeISTSoOjVZtgDMbIGgVEBtzdJQ5uvmvICG9RTXcg2TNvIjTJoE9o-57lj2Tu9pZUQYEVRZoJ_YJiL1Iveuj_XrmWPHLJRY-osoOpJGg3tXxlmepZ96Q-w-a9vYifd4Xnle1gxGlJzfywJF7SAEuBOADNjHvK2F6BOapC4olZr9oUng6p9RwzInvkzwbizgmpxlsVLxrEq8vSLM7DbIioTLm3fVF_-ttsuq39ZnCme6k4hHaRkdCghHF2ymw1cAY-ULevbE2V6vULBz24JQQknMThUm0KqJSYeC14u1bKG6J5LJ7Wj9DaV3MmZo2eULPNTYphBwcvCLpDXM-bkJpbwpZNtq5n-XSB53jhYfKTs2LfTlw&avtc=1&avte=4&avts=1733830706;https://ir.ozone.ru/s3/multimedia-1-z/wc350/7158372155.jpg;Мебель;Садовая мебель;Диваны
Трёхместный диван под искусственный ротанг с подушками California, дачная садовая мебель для улицы и дома;14234.0;25792.0;45;4.9;383;https://www.ozon.ru/product/trehmestnyy-divan-pod-iskusstvennyy-rotang-s-podushkami-california-dachnaya-sadovaya-mebel-659216276/?advert=AAoBXrCEDImvIIHn37f061lVz0-Ju8le2x1Z6LlWB6E8gwD4_W3Zuz-owVFEGGkhUPWKrtyevPg837dSBtV8nmA0t0RhSC31O3M6UfiQM6gKOu_A4TdFaC6jC763uEQMiPG_xHy5-0CYqv3Z_OZ5ZcPyc23D4y_bnkUZXlv8-hhhsvbtBhhTUeuDyZ0dxgQVYJjP3mHTMv4c7KXg_-GzTBs3wtfEJ80Huor97FZ7F35fZljO8xTOww5uOpf4nQ5BKNf422QKz8JKSWQIAV9unVrsLIcQesdzsqZ8US78Apsg5PghIJ9fbYkPELGEUscYjFyxpG9Cm29s7AyinzBC2Z1AgkxT7FBHnydg71ouDhXyZZn2fJsD-GX8E2tV6zGwKfVrGwdpRr2K&avtc=1&avte=4&avts=1733830706;https://ir.ozone.ru/s3/multimedia-g/wc350/6813580264.jpg;Мебель;Садовая мебель;Диваны
Диван садовый трехместный YALTA (Ялта Ротанг-плюс) + 3 коричневые подушки (искусственный ротанг (пластик);15687.0;32000.0;51;-999;714;https://www.ozon.ru/product/divan-sadovyy-trehmestnyy-yalta-yalta-rotang-plyus-3-korichnevye-podushki-iskusstvennyy-1444742934/?advert=AAoBqeQzZ_JX8m56zA2F7w0E4T3AYkGWfKnChXBsy5SNH95c0nZ6cGtG2ycsDLpuV5VNgF5j7YiM_AQxAxsOAc0iGPFG7FitFd0wh4uEX7Sn5kqYYLScG-Ht8WqT5gQxIw56mhk2J1UooebOCllUtKlKrdWVA2BKLxK6Zr6iYM0iNJxAcOe54yl4LxQPU5QBhMAM3zVbpG1k6N5VkItUJg8lVdsrFBS0gLJxQV0I6e5_i950Vs4SSTuhmYon2nL461TrZg7n27HWiq1mIu831ig1n0uq12Ug9KFpIEOj5n9XFkbBQG1a8c1NnUu50ZoshPyr8EK_o0mK_WusutUSmn7UpxGQKenivwHap_oNOiDtlcBF3HEdiHHVq-wrmMQ5gdAol0vLAA&avtc=1&avte=4&avts=1733830706;https://ir.ozone.ru/s3/multimedia-1-m/wc350/7029748822.jpg;Мебель;Садовая мебель;Диваны
Двухместный диван под искусственный ротанг California без подушек, дачная садовая мебель для улицы и дома;10764.0;16650.0;35;4.9;131;https://www.ozon.ru/product/dvuhmestnyy-divan-pod-iskusstvennyy-rotang-california-bez-podushek-dachnaya-sadovaya-mebel-1152410599/?advert=AAoBeNPSz-kQgzj91lC4vvlR2QpjWXbr2QJD-gFKYOYmXm4mR0R24AOyR84egsQN6o34oh7nzL_thS9ak0cI8FFcFItxDVGJRLb3K8bD7wG2dlWogx_zLnH3lg02vsV-JdLSdLvinecWqDYPXAtXJy0qqL1LQ3u2e2cJ0A2ImRJ55NW_AGqMQ0sTUXiIAuzwyrLxmoMJj95aI9VjCvf1VuayP91QuXjJtKPjupEYbC9iDrbUZX0oC9OZc_HEQ6VD2-BB1CtXz9EF7TptUvxcZTo8Cf5I0_bxrjHtLU90lIJroZX0czgJROXLeC3oG7N-PB49TbuzEgWGmFL2l8jDKLBKRO6LKH4P7UgK0IC52dttvG7_qOcU6Yqlf_wwC7ZlyvFEsmgLOGmA&avtc=1&avte=4&avts=1733830706;https://ir.ozone.ru/s3/multimedia-1-h/wc350/7030658465.jpg;Мебель;Садовая мебель;Диваны
Двухместный диван под искусственный ротанг для отдыха Калифорния с подушками;11524.0;19900.0;42;5.0;43;https://www.ozon.ru/product/dvuhmestnyy-divan-pod-iskusstvennyy-rotang-dlya-otdyha-kaliforniya-s-podushkami-1173725415/?advert=AAoB2mTOjFGiJvXQcYQbvZ6WIvRtnU57rb1mF_PY9T64G86H6177UW6KA4hn_nF8v756ixi7ULRIGJfguvONu91F_bSs2GURlrEUpU-mnjQokiajvx99kn6R9--xGrenRSOW2timYuyiVh2RNpd2OEHDu0v2AXW_jRqyq_kfW_-RglSwsZdDNf5k-TjCg5OjZ8d_CffOx2npurPNJlWU5SHIHEfu0RAcHLQzYZ5_8eO4ZVTSJYP2vm2lxCYORvb1pDJOyZIM8aYFdFFJ1xAHbi80brIDXecbtb0_3LRyPo6yaO2L02Pre8SmDHHO0ZR0e04m1aaTaQaan9rInGYCBEkxFmBG3_Hyo2zJIrGfcLtDUn-KuXVTtttEqijd5o60x5NfDmMHh591tA&avtc=1&avte=4&avts=1733830706;https://ir.ozone.ru/s3/multimedia-1-q/wc350/7030643786.jpg;Мебель;Садовая мебель;Диваны
Садовый стул, Металл, 20х40х76 см, 1 шт;2223.0;7100.0;69;4.5;9;https://www.ozon.ru/product/sadovyy-stul-metall-20h40h76-sm-1-sht-1602762879/?advert=AAoB229B-zc2f9f8Oc_nWXWVSSDHU_n_t9xy0D4ARy6Dra7AE-sb7DzvFesYghlBYgfHL5t4w9AMQVUSPI0jtol6B2UZ3fSGOrzAv5Z6lCOE1LPz8bgWx5-bR2ExXUrxLCNgNmve5FTt2agnAu_hTfjmRACr2Ge07Luyh0DgNYmSNc4Wo-0tu1u2WIX_cBUgp72ljuEz3I55DToc-mX9FpYe2KWMldumUnvuqqrtEmD-StG19zoaxRZfP__m9hs_TY-KPvZFk2vkJEcNBwrDIICvakR7qqIqoA7hKsdsULHAWUf0l5MHQjECo9IgPx0zEwiJgI_2uFiX9oyXez_Jv5dJ1PDGEqOzVn6SqfNO4_prwdCioyxq5B91nnfcYGFZOvtcevDdSjg0UKj3&avtc=1&avte=2&avts=1733830709;https://ir.ozone.ru/s3/multimedia-1-5/wc350/7051504793.jpg;Мебель;Садовая мебель;Стулья и кресла
Комплект стульев "Марсель", Кресло садовое 4 шт., искусственный ротанг, коричневый/черный;10543.0;26838.0;61;-999.0;-999;https://www.ozon.ru/product/komplekt-stulev-marsel-kreslo-sadovoe-4-sht-iskusstvennyy-rotang-korichnevyy-chernyy-1757152725/?asb=GQDkIivSw%252FvPVzq0s0s3N%252FIegeOkJR12%252BgfGEkgAi%252Fs%253D&asb2=9KTSJPZZ6LxmGty63YDOLhPoZaJWpihBK9ljfmI-9Pl9X7oa6Ta4UT9ueTZ73HUaM6avN8fWxRx0eqDKo1diZA&avtc=1&avte=4&avts=1733830709;https://ir.ozone.ru/s3/multimedia-1-c/wc350/7224516228.jpg;Мебель;Садовая мебель;Стулья и кресла
