title;price;initprice;discount;rating;reviews;url;img_url;cat;sub_cat;sub_sub_cat
совершенно новый - 2CD, роскошное издание, посвященное 50-летию The Beatles Abbey Road;949.0;4160.0;77;5.0;3;https://www.ozon.ru/product/sovershenno-novyy-2cd-roskoshnoe-izdanie-posvyashchennoe-50-letiyu-the-beatles-abbey-road-1712366457/?advert=AAoBRgHI19GQdIEkUt6imrerZ5CLLx34zMa_SEhA5pCYY3UI9hrh9wljzp_S-LRQ8atyb9ALAVsMZoh-N0NOpRQDBeh0AIsDGZfGHgAmhusWlb5IcxmagShvqHYZCmga0mdJWkixfMI6BAvv35wl8FOHVrJ9PCjUyFT6LEEVHwEFYMdEeukwSENq8aOqSWEpEv3PjB9JwwoubhwdSnQxOXv6lsThlRGuVe-HBRcTx73CiWpJVRpbRvyNW3sanuD5B3J4vSFzGP_wZwEbKd6nZwCVWR94qlhCm2cE4uKYgKiDa5FPpolS20-X89Yjvd-hIM4XQln0Mx_MK6xvHeQHcbOTwNJXMq_jxTg0vwXB-yrOn5abE9XSOPJjpJVdDtQ&avtc=1&avte=4&avts=1733830882;https://ir.ozone.ru/s3/multimedia-1-6/wc350/7148359482.jpg;Музыка и видео;Музыка;Музыка
Radiohead # OK Computer Кассета С Магнитной Лентой аудиокассета;693.0;3280.0;79;5.0;5;https://www.ozon.ru/product/radiohead-ok-computer-kasseta-s-magnitnoy-lentoy-audiokasseta-1657711953/?advert=AAoBH1PtBpNPjK3mmoVQRz0Y-D3hSFOva3HfnCtbz4_lnpB8tLyapNhPuj95h-zEaZIgZaSyS7j0XEUHl7XrjQSi63xCCVPgu5qjTam-PgdF_idYWtkiwTKjWPVCkQaPeeUdgMd2qLtp24wKIc3BMDCyDnoQfn3i3TiEaroAd7Tm6UvvDhwE_kdfxISJ7WBH_BJ-CJj7HhBNgGhvgkdGI02UB1QlyQkVgr_Ve-OrEcpgm_uxt7s_rJnBoQ8JviVhWMJS1D5brN_bXXG-jbWHprnxciwXtX6XoaWSGuVoQaJFSfXbpIrVeZOoSZBF-WW3CDF2mIQVjJgy799mLt2g4LYkfZ2wT81RXfz2lK9XSnIIpRc5yfFyPe9fwF3xdtv5v3d78AdDl_AK7TU&avtc=1&avte=4&avts=1733830882;https://ir.ozone.ru/s3/multimedia-1-o/wc350/7100238876.jpg;Музыка и видео;Музыка;Музыка
Lana Del Rey, (Ultraviolence) Кассета с Магнитной Лентой;535.0;3280.0;84;4.0;3;https://www.ozon.ru/product/lana-del-rey-ultraviolence-kasseta-s-magnitnoy-lentoy-1659352441/?advert=AAoBNFtNR2dX_JP5I1DHn9Krcjy-O5njTPQkwpXUI4lxOvHzw_vutPfj3CyJ3INlpgLN4xra6Iam3iVttav8Im9NEVT13UziPjo-FHy5QtME-1EMgggUZfQK_31fRfCK_Ds9AD64W6CPQr-0P4pEX879yhtc7Zt67dABVD-Qp8ycCr0gF7jLEVoFWIJ_rSKLz3oMQewlh21G2tI_KSHa6I0PBgm4Ou2RljMwF15228hUGcqneF-0_Xl9uoTRvPLBfp8UczjpeQhphxu9pxlYtKlPo-QmRJsLb5n4jUIUg6PitdqBhq6AGAPqfeERTil_ocQOZVpMJ8juzMvA8KynaP3x885xcK3uOhSMYe38weUg5lwr6dOnl844GPtceZPrcAToIyVtsxzTwPM&avtc=1&avte=4&avts=1733830882;https://ir.ozone.ru/s3/multimedia-1-w/wc350/7101731084.jpg;Музыка и видео;Музыка;Музыка
Альбом JUNGKOOK (BTS) - GOLDEN (SUBSTANCE Ver.);3715.0;5000.0;26;5.0;17;https://www.ozon.ru/product/albom-jungkook-bts-golden-substance-ver-1383572121/?advert=AAoB-Ea0ciKZFZD0OH7ajatJqCZYaLDZWuHWpuNMXm_ijlcvZ4m8QzmQhUGUZDG3tWItwaNZVSMR9pUM6hACf7YcncbUBPKAgMhuki2tnTQYEypm6pgfgghTlKL8uQktgjFJGGe_eLOa6S5P8CG7iLwMwxQBRxEzSxcwjdFUu_F0-UI2HApzjUERQHxVKo87aWgxcouq17yn8NcgBnp8QXqqV8X4a4oLCP9RPjGXqb4wf8iQgizD16XuypYaWoAcA0ACdRaAEFmhogEGLCv8uz-4CIvuosWnVr23YdFJCkdqi_kLyIM8LQQ2S37trKG2x2IH24tgKQJrFWXG7w0WTMS8Ksfah07OkS0z0R7IsvCWPHtCl5_b-iqC9wuAWbpVDUrHqqyyKUIBxmevPEub&avtc=1&avte=4&avts=1733830882;https://ir.ozone.ru/s3/multimedia-x/wc350/6889349265.jpg;Музыка и видео;Музыка;Музыка
Альбом STRAY KIDS - SKZHOP HIPTAPE 'HOP' Limited edition. + Standard version. 2pcs set;8979.0;35914.0;74;-999.0;-999;https://www.ozon.ru/product/albom-stray-kids-skzhop-hiptape-hop-limited-edition-standard-version-2pcs-set-1780669544/?advert=AAoBz9nPIFgK-eeq51K3NdH634ObePFVurpLJ03kvB6gNiJdfiwxwMhci4xH4sJMhUYN9zLbHvW6NJMGmhyKcymh9yigdYMRvaCQW2BK5yu9kHhopZLUMFSuaTLs0175VDXrYPRGDW1GTGwvvWHu4Scyk3MunUGmPGR_F_HG89KUW5Ks-teednCee6LisTHERd-5rPvocwfhfXgXe9ZKfw_FsXlC_Oi5CTGqTQMYCxrvp_2jLRgoDhimTuJmgAowMWjkxiRAL4KG4oM_XGHtuRZUaxe9iKuD_h6fSp_nXi6OrMbkm8WUIeNGh4XUpsIhHd0gUqKVqTPo4fqVxzqkDEv9wvd1ZFEUrVnGl5Fksp7896U43n-uBiWTEsofM31qVFoL_TOQRDE&avtc=1&avte=4&avts=1733830882;https://ir.ozone.ru/s3/multimedia-1-c/wc350/7223030832.jpg;Музыка и видео;Музыка;Музыка
Аудио диск XXXTENTACION - ? (CD) 2018 Caroline Digisleeve;2560.0;5311.0;52;-999.0;-999;https://www.ozon.ru/product/audio-disk-xxxtentacion-cd-2018-caroline-digisleeve-1625715503/?advert=AAoBO83djKGL-lx_H9mEB3jWs73GYBF9mAsOjAnyY7vEZORVysqKGheA-zYFPaVAM_nURf2GVkoeYbQa3hcqBxTb0wrTgeiLggPaS6xJqlatCtpY15DMZsSiCf0EJEtASYbC5WvsfUESaY6ijPfRJrFWVGgif6osPbpKMjFFpztSkzwi3SGE4IBtXP-G6zphFNORLH2lovBegzecCe5fSN3ag55OilDJGn30brmDlz8y8rnVNzQskmHivlDyPPJU21oglQVLF0bOaNWMa5EYLOw6pUSXyq2rkPmH9bM6mgg3mHuET3VyDdLzXluVYQqHu9WDIKcVrcoGJ-mdpQ1yhpgYd-rtj6b94uJMHvdiR3Fex68C_sL1ZhMX2-aEzx8PAeknhzWMu69xW8Y&avtc=1&avte=4&avts=1733830882;https://ir.ozone.ru/s3/multimedia-1-i/wc350/7077056526.jpg;Музыка и видео;Музыка;Музыка
Билли Billie Eilish Hit Me Hard And Soft;908.0;3712.0;76;4.8;6;https://www.ozon.ru/product/billi-billie-eilish-hit-me-hard-and-soft-1662168496/?advert=AAoBAgznRw2HSZG9xyzWKySFNKctBY1-n00r4T7TVxKfayy9vW7VrcRD2GzG_D_N-ByzYT2e-4ty9L3t9RlMFXE9Qy6Dctu0neHzzasuac55RDG2W-WesSPitw6iymC7rY7CmGzNkc-otBH_ijdLYJBe1wmN7KrOhMe42tu3NkInRCKOq2eR_Y3OoQAad0qw5NkadtVdQT7Z_3wYBEJMjClLfv9J9ICMRGWs3HRPimMpapBiT7CrNjqoIvhx-sMy8FOgYWyn47ngJPM-F91Iy8WtNeA-GVaHEABkXKBn5-e94gZ0WnpCeuhaszqvpAGkPH05OJS7l_ASFP2Atj5TM8u0Bl1SV7-zCpj1mWWXxy9WRjQay6krsQs7y0YZQMKtcsrO2xa8R_exDBk&avtc=1&avte=4&avts=1733830882;https://ir.ozone.ru/s3/multimedia-1-k/wc350/7104229652.jpg;Музыка и видео;Музыка;Музыка
Альбом (ПРЕДЗАКАЗ) Stray Kids - (5-STAR) 3-й альбом Version B, Предварительный подарок в комплекте(Фотооткрытка AsiaPopGang в подарок);1078.0;6266.0;83;5.0;4;https://www.ozon.ru/product/albom-predzakaz-stray-kids-5-star-3-y-albom-version-b-predvaritelnyy-podarok-v-komplekte-1660698847/?advert=AAoBtgemzXjgzs7e7MKCTJ4_rVa0dHxW2rGhEW1yShoYIGU5qC3PMkIvbsOrNi0mYdMap0tOK2na5XbTC_0BaL-LwcUQwidytLVwqv2YUj5bfByz1O6Z89HD3yLMgDrJNwROMQIHc9Gr6LJPP0MyzNKHH4iUvptEPxm8ZwBwLnLh-57NoLTHTXdpYQoovF8sE95Vrk2fpajHtmZoitXbjxdk-sSdiNtMDboqx2qajnGZecDKYGucPDpVsNUYBeuhHULG3K63s1Cb7K-NMgSqsaFZBlg4fq-O2mYdP_Lfmng6HJ2SBRmZuc8Q1s0WIN8JsKDS_Us9kamek6q9g6m3fnNOsX88zpCULRtS7_TtP2HSF68valQD8T4mrnWrVCp2CqMEgiBloqlI4fk&avtc=1&avte=4&avts=1733830882;https://ir.ozone.ru/s3/multimedia-1-w/wc350/7103036984.jpg;Музыка и видео;Музыка;Музыка
Билли Billie Eilish Hit Me Hard And Soft;908.0;3712.0;76;4.8;6;https://www.ozon.ru/product/billi-billie-eilish-hit-me-hard-and-soft-1662168496/?advert=AAoB85-7u_wCeP464w6HvWIUSW6bqPYsHxy4X11XS0LOov6nK6xXb6Q32qCOwotmxdwZpo3ni5PuEfKeQUIm1Uvc2bypwkmgjFZo5xlavUGrg8mbMF0I0JfNWKc9BsM-pIWfFLST-nOadxU0_dOPazGjomkDHfLGoCQax07CpWU6txmGK9G0O5yKhG_ijLqUOYwJxvnxezm-Mr943CTNl8944KQStOfH2rUXh1JGDNzzHLfT_Xmci1EYgVONL5359AwHuEpkeBiIgTemR6dfReBzhaDsxhf4P2diUlKTu7_QH30NDItorrYmP19t8ogcN6EvK4HzeoWfiA3LXo52gLlrrfMKOM3TiO5b0UdCLJdx0jET5n4sXjAP4LO9qVzu0WGMB1luf8E&avtc=1&avte=4&avts=1733830884;https://ir.ozone.ru/s3/multimedia-1-k/wc350/7104229652.jpg;Музыка и видео;Музыка;Поп-музыка
совершенно новый - 2CD, роскошное издание, посвященное 50-летию The Beatles Abbey Road;949.0;4160.0;77;5.0;3;https://www.ozon.ru/product/sovershenno-novyy-2cd-roskoshnoe-izdanie-posvyashchennoe-50-letiyu-the-beatles-abbey-road-1712366457/?advert=AAoB7CPVTc8MQtbd9t_EMMU6MI5b1MOZxR5VZ_1tACoZR9zDznBtTYVzxE1vyBdvTaAKOZpop1UQfua7-8VsM-9YAh7Sf18SZhObVvISlf4w59c-VaQDck31JBQaczK5ObWlSKKIsyuBtFsosGvXkU-ZZ3fEDZkHRrZrem58Tmacu0PZtFkuKUCLF5ab-bpY_GKXddfDcITVN2e3rmyg61Ff8P6pgoGFzytTcGpkt0DPHNTesolcXfwb3zorNgsd2AnRhhtk-PDqAzPrjHcqaSxqt3nVroFErTC3nryxuwKvHA0AZbrgcmqzUH2aHtab-9ngxcMAkOvUnbEi5yy4rFlUyl0V5tCWY6LecFQT__SXeh1hLGnAUIGHS1SpZabg-zqsZtdY-lgnyg&avtc=1&avte=4&avts=1733830884;https://ir.ozone.ru/s3/multimedia-1-6/wc350/7148359482.jpg;Музыка и видео;Музыка;Поп-музыка
