title;price;initprice;discount;rating;reviews;url;img_url;cat;sub_cat;sub_sub_cat
Ботинки СУББОТА Зимняя коллекция;2406.0;8000.0;70;4.9;547;https://www.ozon.ru/product/botinki-subbota-zimnyaya-kollektsiya-1218289216/?advert=AAoBBfDyJjqmkA5iSYprU1CsKv-FqND-uQglMRkU1Yq0y9vb8hCsW33fa2becwl5zV-ZslylHQ2-Mcd6RBhEK4yCFG0Xk2ZBp9bkL0Nelx8n-9-ZpGcSnCCzqYZizfNkuctbpHP7hWUiTMigyfzCsylS2zIcgX_5pVGEHTKmIuwYzSMgHKObtBE58g9XjScfO576VeBgAsFTvcwlys3jYd7x6TEu6mM2x1eVKQ-RnCBSwCV254vf5GTzo0DxwT3YlGLyNR1EW8DRW7cxEGlEcwaIYYtD_c9hnD6Wv9x93jYV2B_j-OrJirZ-2WhuNtTIXdoUe90H5x4D9FkTJ-ZnRM1jTV_lqW8CKD1v2ZiHwf8z9RMcd9wO74GLszDoeOa6vPCs5N4&avtc=1&avte=4&avts=1733831686;https://ir.ozone.ru/s3/multimedia-1-h/wc500/7210551329.jpg;Обувь;Женщинам;Женщинам
Дутики FRISKY ATHLET Зима;2924.0;8000.0;63;4.9;136;https://www.ozon.ru/product/dutiki-frisky-athlet-zima-1679979229/?advert=AAoBtkHp0J1a3187pidBQS-8tZnYUxLyEq9JyKNReYHMf4ytCMJQ49OKB5bf4KGCjySmdqeCZoHOLwcjF7uMr38trDNmqUrNZSUWz0p13PfhHJSaX9q9UlOLWhkxCO7eCjl_vRzxBjBnTtwAZEnaknK1F1VuStxI1GCEWSluXag5grA_kBRBqv_Rjl2yraQPHfnnk0WbhTj6p1b2LVdNjdNvACzXiYwR61BVng6bu3Swx-vMka7OuO-SWrg6ruHa9z1bPq_EbLHLi6r1HXf5wdp3K3zBmxlTxda5pcB-_EZpiwIaX3fQQzFxTksCf0FmFDiTQO_sGdT0HGs6T8E9kKBsV8KYCLfBXL_ccsfGlJ19bD5EKS_yRPenPXJwhd67ZqOcUgAtf6gBLg&avtc=1&avte=4&avts=1733831686;https://ir.ozone.ru/s3/multimedia-1-e/wc500/7142415782.jpg;Обувь;Женщинам;Женщинам
Ботинки;3822.0;9099.0;58;-999;91;https://www.ozon.ru/product/botinki-keddo-1679614096/?advert=AAoBwBjodFus_xZyvFoOHzq2R11kQVMOjVts_h9c7ixPsHvBoPEwVt_bIkWGZ7yY0CW8s4pRhrAxaR09cxYNvFh3pzMWUlPTYRpIKB6iaH9U6-rVec60cndHRCztqgLlS5DKvYmTiMi_grJJ6YXQU075GZh0bphKnBaMXpCtmqMOcsbM6yoFevICTcaBBa9b4h3WqdLMwoXXSry8M0jmdgN3W7CTwwM-h0hz5uvlM89gAtl051G3Ma1pqbQyOPIgiHibMLdAEjf3qfm5MsVALNGChGv7E3r13y4QcFsOw-EKt4qTLysK4CxN69bveOfcap15sYvl5qEhtuiYx3QpALJRwLyq1jcnJXLQp_ttNmAGkIJahE7QiOJZAfOJ_ef8CTR98RdsvcsgDQ&avtc=1&avte=4&avts=1733831686;https://ir.ozone.ru/s3/multimedia-1-c/wc500/7159461312.jpg;Обувь;Женщинам;Женщинам
Дутики SHATILOVA;2756.0;9999.0;72;4.8;402;https://www.ozon.ru/product/dutiki-shatilova-1699470456/?advert=AAoBPT413_t4o8ntvjoFVVHvphvrlq4ljbPiOi9pZyDvMCCn_SPaH9V9mdWwzjbOTQl_d7teveZ73QciEY30hYOxyDUcDkQK_7uoPqYnpQOjpPDS7gF8gZ_F-FKfAzDPHbByC3xTCMLeT3G-xUNcpmjXsQDZDQdrOXBN6lwMGUQ4leXo7Ea6i5TUK7Y1J-QrQjW6wLii-A8c6r8c_X7fsJ0IhJ_ic7Wntbmr3tr_qCnWgJVM98urFG3Ms8R3D51meR9aJGiGZWVM_Mp7q1Vis0sU0ZwUdcOg68ftmNrvpOYdeb2JwAjBidK1pzJ5ywCrGsdjvSg_MBIthE2SQ1_jn0NTMKlXESukHUUOi6WU6JiAF8QNo6LVX5rF13Cxa9ws5AzqrhOXnp-MQA&avtc=1&avte=4&avts=1733831686;https://ir.ozone.ru/s3/multimedia-1-q/wc500/7136028638.jpg;Обувь;Женщинам;Женщинам
Ботинки Натуральная кожа;5384.0;11164.0;52;-999;997;https://www.ozon.ru/product/botinki-marko-naturalnaya-kozha-1595032043/?advert=AAoBiYnJKUYsOX57J667asNdgt7lKgIv4vjhSTBSb_VN3h_-QFx89k5YTjTBMMDGkdz-cvtn_YmopzzIwCqZM1N8g3rv5QneDiqCbReQ4ORgD8F9gLLrlZT4vcBSsxiGeloL1CmhLjxDk0zPieN8nCiydL2O_JB5gUaU2gviyJ8wWQ8l4hhm-wma_FmZEE-RHETNjA3vnCWopVfJmq0UtnkBiD4c6ox1grtQFx-sMPevVi2G1U_uXBoy3QlYhQBbwKxbkYCF36_JhwY356Y3d-DIeSVNH5RyhbGVoyMsZionc10JAHcTdNO3nrUXDs3srk4pyfTEaUL9X7XFpski_4ry1ChPQTgJeP9Y8phPWg3qTMH34pT4XCx8XGFcWofqvK2lvdCIeUY2cA&avtc=1&avte=4&avts=1733831686;https://ir.ozone.ru/s3/multimedia-1-i/wc500/7214927130.jpg;Обувь;Женщинам;Женщинам
Сапоги Стиляга;4000.0;15000.0;73;4.9;216;https://www.ozon.ru/product/sapogi-stilyaga-1737540990/?advert=AAoBraaK2twmo63ZkVPg6_pNa8Njo8AAec8lTZK0kSNGG8ENUe3WIb6ILBV19UspxUuRwIy-zmu434NP60aVb14m0PraAHuXyspxN26tfH8wIfaOYLh1zz7NLHZhNMezi_471EO52RfzWa6cfLt_KFaJfv3JB39jh53X4EDQjCqeCM_TGWMGYk64bia3iv3HCGRhcHv5PV9qvfxCJtbCM8SSeq3YtoyVdSe9Fjqhu2N-2xXEGVjJYLEFEtYQoTXqvn6nKzaHnWSlsyHqMQ0KYbf0XtopncMmUCCJeU6Gr26Znx3XxrmfVSmiHyPl_h6d-KrZYvYuavswdeSN4Qz9tZ5hkbIGlJD2_Iw9dg4tXFxuiXIelYfwyorjxAv07zm5u1y-_WaPPA&avtc=1&avte=4&avts=1733831686;https://ir.ozone.ru/s3/multimedia-1-5/wc500/7175348429.jpg;Обувь;Женщинам;Женщинам
Кроссовки Zihe;1530.0;12900.0;88;4.9;128;https://www.ozon.ru/product/krossovki-zihe-1595234529/?advert=AAoBxYDWXeHTYLftA3VSJrjcawQ2U7RvsNgRjUCLGjY_Jbagjb92EWmQA4EB4qQ0_CaBIw4cQnSF7RXjOTcPJfcrswZ5UUuBxMpUD8zDx_J4zyTRgk-LOx3-kRF671uJzFkzTC_dmjz580_-2HuBZF_hPc3aD5GfE-ajPpC9NtbrhOOUuliAh5T33Ql7sXdv7HTxAU9yK-_Ygl_XemsVOyNrXzaTmG6WKR8VlwQch9thpwx4o2KY_OCDourKLjDlK8kogcxAVAdrAgNjD195MI7u3a6tLYgCgy8GpTNXIOCq7nBSDrtA9WQ_WN_570Ov5J-VoqJD1ptAqwHwVkHnb6q19XytFyn-0NFk6_BRuLHCJJOea-goNiKvAPl23uafAEHasgFQqAG4OH1bGBo&avtc=1&avte=4&avts=1733831686;https://ir.ozone.ru/s3/multimedia-1-b/wc500/7194784799.jpg;Обувь;Женщинам;Женщинам
Кеды Chuck Taylor All Star '70;3367.0;11600.0;71;-999;132;https://www.ozon.ru/product/kedy-converse-chuck-taylor-all-star-70-1603712968/?advert=AAoBB9ZQ1-IGDTheuYPxfypEB_CXCDve2KDqgzZnnEgQItaHc8VIY4ydd50_cnX3tvsBSir_P17oZ5Zqb63xsCO5F_FCHBzaTeseHaux8M6fzNUoKkYKErpetJSPtks-nZm0J26f602atIURZV-WmLMvGXXr-Q6leaFVwERkp_09ZU5huuRD3xvtLvH8Vw65SDjNBJQdsYhkfFzuhSpfcqaW3kImy1cV-pIhPVj6M-12wXz442tAS81YneKJuQcXeUQrJbVOzLElI5m1P6-IoB-C9gsatccc2JHniFCPjyVME0yfRrxyRgSmVlLc6estYU3hcx5Y1wn3yvXTScnUeL3CYL_caTRJTRjMOpHsL4r0s0E8z3p-jJekC7lwCE7Sq4w-9LOnUsZqs63Ws5I&avtc=1&avte=4&avts=1733831686;https://ir.ozone.ru/s3/multimedia-8/wc500/6721090928.jpg;Обувь;Женщинам;Женщинам
Аквашуз Cituo Коралловые;867.0;1690.0;49;4.8;13035;https://www.ozon.ru/product/akvashuz-cituo-korallovye-628925176/?advert=AAoBWbcVIM9-jmlOhVTgVUSgzo2AT-HzMIwi77CWdx0TwB2mZaNBpkTrKl5mQt09W1mHB36IXv3Xxz7XJBKICouYuDcFEzG6UsZMnRlWBJeTcZcwtqay7Jm5wvGYg3mcX1qqTOnKaxu6_qowv7g_oKIpecc5cOu60TspQrn5-FSlZYOEDAEFlXCr9RJvgGcJxZRgG_PCpc5yb356kVtO-UlaHWkZG-id1AiJM0l8Qmdh2g0et8TiY8f9USU3dOqJpbPmHq9e8etRIDmClAvqOi_lfq04e1AKrfeDQFK7BrIoIwBS98v11V5PIHylQedDHrf0-fDWd0lQA3ktrf9W5299xABsUf_KCy27p15uLHngU-dfXtAL2dXnx-uD2_X9Wu82B3wRfKQl7Fs66w&avtc=1&avte=4&avts=1733831688;https://ir.ozone.ru/s3/multimedia-g/wc500/6360301084.jpg;Обувь;Женщинам;Аквашузы
Аквашуз FAFY;545.0;2999.0;82;4.8;197;https://www.ozon.ru/product/akvashuz-fafy-1562012114/?asb=xMbBWyhgmW6x0Oo2Oqz6vDKsB%252Bf0go0mc2UOuen8TgU%253D&asb2=CtPPTAzI86Ax1dQExbUvz9Oqsq6zdB5iK7w3bh2hgrXKYeytprQp2u2EPxX3zMACXXUiUmcUYeEivO7ISqA-1w&avtc=1&avte=4&avts=1733831688;https://ir.ozone.ru/s3/multimedia-1-4/wc500/7015920376.jpg;Обувь;Женщинам;Аквашузы
