title;price;initprice;discount;rating;reviews;url;img_url;cat;sub_cat;sub_sub_cat
Комплект термобелья WIIIM;1345.0;5999.0;78;5.0;5;https://www.ozon.ru/product/komplekt-termobelya-wiiim-1717104868/?advert=AAoByhp0XSZ4xCeg3THzZnVqzStwiGncZH1_LB8D9gU1c-eGPYPaTN2LXHJPiiXpXkDCXW2S_bhRxAOpiBm1QZIUnq2dMq6nEcOr193O5tZWlgHkt2xv6-FZk8a8DnyrSZ4StIXasgG70Kh08OFmTV4j9Q1VPWXn8OCQbsXBGstNBMCYtFitGYfY6NxAELeRJjkUf2-I9Mv4Ng_u2yf82QrwDL4xWsX_LJcmLyD77ER6HDPPtomltqOCyn3PTxU6s1-8Lf5o-9GrpD_rmWjvK_-8_bc13Xq-KHw_3Sh3gBHezGbIBRkcDRFEFIrKu13LFRjlj9MdwkO1Euc2YGLRP07pyqAhCttB3M-tYenbq08Mr7OOMLu2erjtZNrxro58KSzyBOTuyd0&avtc=1&avte=4&avts=1733832939;https://ir.ozone.ru/s3/multimedia-1-t/wc500/7154365169.jpg;Одежда;Женщинам;Женщинам
Колготки Premium Nude&Sculpt, 100 ден, 1 шт;462.0;1500.0;69;4.6;3587;https://www.ozon.ru/product/kolgotki-premium-nude-sculpt-100-den-1-sht-1664313021/?advert=AAoBcsZX33LH-PYRYx8k8VvgTMq1cd7RYKlZ4ab9HI-np6MID90MB3QOSDWVCMq0flmras1SCmAcbX744axlRTHXfgQS5LCQT0fNEA74ccu_XSgF_i_EKFNpbnIDE_VeSjuYycyX5Qgb37s-1nLskNs9K4FVszhNPgPUNzbPdQRnuquxGLBA3q50yNZ-pu-uOJt4mBOsB6sDrDjHZN5EJaJq5Q74Xir0evpZHkwpOGhdcBmwj0O9cbcOugeOtC5cJeeCNVKnRPocN_iVNcPQvXcmcClsslVCKUTI_6VcGgzAHc3DC1K1rUN71up46WUym9XMGlvPrdGMw7n6Pytb7XSboKTEeOOXqFew9H00-1C1TVeH9r6o2JhCUG6LmYILaohYRK9Gt0R3yAc&avtc=1&avte=4&avts=1733832939;https://ir.ozone.ru/s3/multimedia-1-a/wc500/7153598494.jpg;Одежда;Женщинам;Женщинам
Легинсы SellWay;1172.0;1750.0;33;4.9;267;https://www.ozon.ru/product/leginsy-sellway-1613548351/?advert=AAoBTiumztdxXXphMdl3WGoWuKlHOX1M7kt0LX9R1k7d09hx-pAYbM8LQ9JGHFPTGhgdrl4fXDnzDrO-PW_l85Wczuo9Q1Q7bmqOsk1NFBYM7iLckxoA6I9kjZ-NqH9Azf83_key_LvkQGYNeM6buNNMD6Qe35TpgGH8p_v3YYRrAabXLFhy6jB6sytdqCQq_aSq0Qzi2FvyWnd9iy7egTs5ZrO0DR3L3VCjsbiBSVmDrAJMmnR-RCqN-0WJAf6xnhA3WvZCrGu3hKwbhEwlfEaE765rq5Y-_mEWx6jgZ56_XfDIFoiia4Gg_BLKhw-BzIx2PPvid_zt5EFqDQSAFEdZDsMpcnwPoXvKHAoy0107UbqtU7SqBcW1A3CbUnTnLFqJ3f8Tz3_kcQ&avtc=1&avte=4&avts=1733832939;https://ir.ozone.ru/s3/multimedia-1-6/wc500/7145875518.jpg;Одежда;Женщинам;Женщинам
Термобрюки DNK HOME;498.0;2000.0;75;4.8;1679;https://www.ozon.ru/product/termobryuki-dnk-home-1164675380/?advert=AAoBBS1OiXKO1Pvxz2Ok6Nx8eNtuu-gZv1YGbg3QBAnQCA45mcPrQ29uYJX1YUC7oRlRbVCWCUfe-3-EZOW8OXaMIACSH4VbkInf3ztVHRLIs5bwkSe_XHVDcTtRC4TU3HNSXsZmDo1lLnOC0pHx-Vzv2pOvzS6ZN10jzkkz9GqmFH26nVQOwpNlotgtMzBaiEQ3rZE-6FTQcCO1KniaXKpfOn4boTnpxXRe2_15h9kWgEYakiOi_bloRWEIGJm9muNwhftbIaiBfIq62DdX2UtXD0kZTfoTGg2yb4Sfinujbnk9N_N2geaiQbPyWG6DK4y6zFHjJ03kYFus6r86b4i7LvRJNykVQKwH8a7jQsqjxqRGw9qhp637kx6l0uQns8gU-tYKmlKB5A&avtc=1&avte=4&avts=1733832939;https://ir.ozone.ru/s3/multimedia-2/wc500/6770016650.jpg;Одежда;Женщинам;Женщинам
Легинсы Base Shop Bestseller;583.0;1523.0;62;5.0;38;https://www.ozon.ru/product/leginsy-base-shop-bestseller-1732688252/?advert=AAoButCDnqr4Jb8RFLhl8rxyonDqg8Oa4v6Lp5fb6RWJRgOe78LIWsqVIavAeHWklSiYmXGgZu08QknBcpjWEm5Jmsp49nqiOYEwCht4M1b7cjWy8-8jg7dRv1TWw3wQ94UH4gWCsSifl1eouvkzfoBOIkIX239xrg4BCIGJrYDTeFozsA_udJqPyJP-Z3-u6KPDVi4FnepAYrInv6QlEScoXeT7CECZ2S_nozvI1HlExS2lk2Iwa1T_ez1_A6n9Tvn21m0cqiKdtGxn3_mPzSKnN3QMX4bnlCAffww9EH1Gcgw00P8VBTLEDJxfPhUE00AfML7SsVCyBflJVqh9lt4vrAq0aiD7qxouixWNKFATf5OMK9kUlQ3VuU_6S_LOijCexQxa53725A&avtc=1&avte=4&avts=1733832939;https://ir.ozone.ru/s3/multimedia-1-o/wc500/7165318380.jpg;Одежда;Женщинам;Женщинам
Свитер TrendMark;1881.0;14000.0;87;4.8;140;https://www.ozon.ru/product/sviter-trendmark-1723370934/?advert=AAoBZTddJgub9ZhNyRPxCtRZMRhcZaPukV9TelTzD7pl0pPKeH38jsrbB0YwbRm-qB6qNCI67fgGJRXFsJEr1Co6fwWh46mTu6EbM0in5EcEsHS8jfllYpC_FmgIqEQJHczmLsxNzvpMw3xvP4uo-ceLsKYawui9gYj3U4yOPaq6gzyrpn-prbSwBb3fIiXCmgTMpk45Ab0CqCoXN5vt4vsquqr6IoPOYRaVlqx6idaGsSM7-MDJRUThIj8M3j454txJAbAf-FYGR2QAMhex6Ce7cfSuoxvIPRPnLRvQ8DRcuxbiViST13nPeT3CXxqqSygKC49TDw0b1aA0PuTShrPnl6lmHk3S3C5-mKUPCp6SHrbDanIILfC4XuyYRWPGWt3ZAQUjzw&avtc=1&avte=4&avts=1733832939;https://ir.ozone.ru/s3/multimedia-1-3/wc500/7165297263.jpg;Одежда;Женщинам;Женщинам
Легинсы;513.0;1500.0;66;4.8;4714;https://www.ozon.ru/product/leginsy-1667969544/?advert=AAoBUbX9y18QzPaxm9YfVFj9vS6Jr5B5QRSCXoWixi8-1oLV1splGOwCKrSDdHcg4X_WSlzM_4e67J4q6Dt2vjBr0uXAzbCaETQALQn-_cehwN5CoxNa20waCbceCgWSkODc5saIxUn02YWIGKZLTDLHcYABDbnlD6eeg7xuZHOfj73Ppg4KTIZhlwbDhzqIb3tjqX8HNq_sUmHQ0EA5MTGvw1tRzwzf62jyMXwU1SABOmd8lyURHkallquc4L68uJxVToBthP599K_8InWD6G4CQqabHUEkz5-In5w0KjfgfXcvNYaFIzs5L-qsMIl3pnPEJlBbL3A2dHnL2D9tziG2riLY94FX3_ZRLYK0i7LMWgsJnr3kSRrwCYHsOXq75-V3s4ucy4vK0w&avtc=1&avte=4&avts=1733832939;https://ir.ozone.ru/s3/multimedia-1-5/wc500/7123378109.jpg;Одежда;Женщинам;Женщинам
Свитер TrendMark;2358.0;14000.0;83;4.9;657;https://www.ozon.ru/product/sviter-trendmark-1648274256/?advert=AAoBTcL-e_vl4j_BiRCGvOcOLTAGv0IYG0U9C0MPxNeSPL3fWcVMWCREVApyAMd_JRVwjEZEFMXya2w3TlcWtUS4y3Ip_aKezs2jupOxq11e-5S0FiL1K0tkovDcfgeCRvI_IUYs8MBYTpRObd6giRi6ri90iimUD5UWKTaa_OAonELkrEI0oN4dczk59BbWH9D-E6qxdhM4e6w1VXSZL_gy4NxWkQi4bELMsw6giVxomnboKWUvr9rps8qc520znckrrgC-dnkPodzvxRy0tA6IWJIin4mKeUHwVsTLWMOJyVk7VOMNyVBXOppob596JUN6oV37K5YI0z8dpV21rqt5gEjXebmQKZLcbe4FN-KZuddWQNDtAgopfnTefFoy7X3UdNFZVg&avtc=1&avte=4&avts=1733832939;https://ir.ozone.ru/s3/multimedia-1-h/wc500/7197877925.jpg;Одежда;Женщинам;Женщинам
Рубашка TFcollection oversize;1707.0;5900.0;71;4.8;607;https://www.ozon.ru/product/rubashka-tfcollection-oversize-1185648761/?advert=AAoBgM3hBhOx5LWMClbr4FdNcoAYDGX6MyL5XWv90o30aXyhUU6LKwoaYfWmcjqROAUyWzriIjJppRHAxQkQAwpjOoA-iiIa0bcuKyxU0PxBXLVNBH9rjH9sOS6rsiStUBu6-RZxq9Q-Vwx_fzV40xRJMIQrYUKrXcAnDbKcA_uZ8wzI7J1O5xF3J0v1TRixPRDLwqQl25eopmag3lK5_DFIY2Qgai9NJ1WXHZtE8UckFtdgy1TmUFWbkGeHnybpx5Z8azvJHuR1q53mQIYxyszLrL7clla77mmUkcc6xrppTeMqEfd0iQr9CFQQp8GWnDOsmjOawl4V7XqA3H26_8FNnd12mL0n_DRy0O3Rv3tV7IrXdIQBiWMv-DTt0zMtJa4CqTrbdw&avtc=1&avte=4&avts=1733832941;https://ir.ozone.ru/s3/multimedia-1-y/wc500/7196721910.jpg;Одежда;Женщинам;Блузы и рубашки
Блузка Vashbrend;1576.0;4630.0;66;-999.0;105;https://www.ozon.ru/product/bluzka-vashbrend-1659236289/?advert=AAoBP1nExOE1zjAXLQ2YOERRv3AjtmZ_Bv8Ts3zxBAPoGfPuS2j92sOoTuoWGQD7bmO7gGx_dDlxWQh0b95Q8CqicYyk8DJR1C9CLHdZq8KWf6Hv3uRN9lhXfq92V_D7ActTsWzZi15G4Ks1bsTQxYxCoT-lSgNHC03Zvlv-D0HNGyiuP0Asi6l6yj8yteN2FrDTSqUu6ZhAk9u5CFvwp-F4obJmUwWboNVNrDz1x0iPwOqkxOIkenB-cQ7w15zkBLR5hVxkbwUc3KZmF4syerbqIZoueuUi8gDNwIwosEvrFY8O_ncJBBKQUPcQQ6Vqiym3K4vlM7ISjVeY4aIIdMEkhyuUCI7yGURSlna5_jS7gyoTWsw85wviBfVDYLoiT65Ys_E28dmR_w&avtc=1&avte=4&avts=1733832941;https://ir.ozone.ru/s3/multimedia-1-g/wc500/7224557380.jpg;Одежда;Женщинам;Блузы и рубашки
