title;price;initprice;discount;rating;reviews;url;img_url;cat;sub_cat;sub_sub_cat
Влажный корм Best Dinner Holistic для котят и кошек любых пород Ассорти (12шт х 100гр);1940.0;2831.0;31;-999;376;https://www.ozon.ru/product/vlazhnyy-korm-best-dinner-holistic-dlya-kotyat-i-koshek-lyubyh-porod-assorti-12sht-h-100gr-1180984156/?advert=AAoBGG56Fcv1SNc8NEtjdh8k3vOZm-VOv3Q5YH4l6LIRXpMJBoZwM-h8qsvVtRfq0rNo3THMu3QoCnqz4S3U-H-hqZycOey1IVkSVsgzLicfWsB2hYBczfOgCTMTCedk-Q2NU1lOXh4GWWEkcCfzaT4EPTKbUHcfb2IlLyi07XrwvDXj6AlQhARB_4hNrglXn0flZRORrSkaQ9LXYoK3UWYEm-5Hvr4-IWbP9FyayCr1bIdzRSRaz-iQ5rjzY9RhEHQCjjujR5C_CHEcj3vYTpL1S0aDwugFOK6U2EtCqknIQCLEHfjbqv4Fm4gFvgmWUeRVdAw21EB7WnfBDYtfKFG6hY_dWm3608K5xRXVXHpCKi7sMtZvuW0I74ZJlm1Ss3flSZwkmu4&avtc=1&avte=1&avts=1733833700;https://ir.ozone.ru/s3/multimedia-1-r/wc350/7066856295.jpg;Товары для животных;Для кошек;Для кошек
Корм сухой полнорационный BOWL WOW с ягненком, курицей и добавлением клюквы для стерилизованных кошек 400г;652.0;815.0;20;-999;3;https://www.ozon.ru/product/korm-suhoy-polnoratsionnyy-bowl-wow-s-yagnenkom-kuritsey-i-dobavleniem-klyukvy-dlya-sterilizovannyh-1751646463/?advert=AAoBTo0QXIE2gE3iCE7byTr27ICvfdnOcudqJgZsGNcYE1227jZ-arMqCfZ14JUy_2zqK0SfLMlpdmWTQOgZO6BHryv2U-18Kms-V-9mRcBXp2zk5yttd_tanPpHEuZMJbgcqrHn_RvhFi2Oj_S0YoBuU8VRFqDGduBXVou9oPxxKB9C93-Es65EZ4JycjtwUQU1ZYkSvBlVni9aUK3eGUqf2QjdF_TxIpnojiBOO7oyMoJ9XTdphDYTJ_ejlsnVJUjhRSmKgClxFl0JBsomfq0uigsbDt3M6RUf621FFRqoC-TfjAYjw9XOhTx5h7DTXnsC5DNJIXpgR4j0pLDgXiYXxuVCijwE6-FLklnSXPKFCIHvmXKCkzetAHlRAOctqbPmJZO0fQ&avtc=1&avte=4&avts=1733833700;https://ir.ozone.ru/s3/multimedia-1-p/wc350/7188040069.jpg;Товары для животных;Для кошек;Для кошек
Сухой корм PRO PLAN® Sterilised RENAL PLUS для взрослых стерилизованных кошек для поддержания здоровья почек с лососем, 3 кг;2520.0;3660.0;31;-999;187343;https://www.ozon.ru/product/suhoy-korm-dlya-koshek-pro-plan-sterilised-dlya-podderzhaniya-zdorovya-pochek-posle-sterilizatsii-31235548/?advert=AAoBIeEFOtUDjld_wqlu1qpMQXoFlPE96zL8S5O_77lV6KW_uOiEsBKfTX4BJOmk5vzbaoculqPmdr_8lldBGaXO-MDSNzyQTQg3U_VqsvwOf4MfBsW66MU2BNApc-Zvj2mlHeHNBnOpyHhzv4jWidDy0H8EasPisDojtgeu5gaq-n5S7uUv68Ld7c_XzH7Xp8onZNjq9FXHdBVTJaGVVIlLdwN-7Hn-RbuTSj1h0nUhGRfz2FwRmKqU9NThKcNxez6iUCs4zWoC5mRMxJ_EOXpVsMfNlhLf1Z5PJusok8D1Sr4DbOSUxhh1qef07evyTsdUj4jqUNYRwcXsywLd-vhg_ahJwKpKovG1yJZU3fAyCkOgnFQ8Pfp751hE9eZbqK2ftp3NSQ&avtc=1&avte=1&avts=1733833700;https://ir.ozone.ru/s3/multimedia-1-g/wc350/7115779228.jpg;Товары для животных;Для кошек;Для кошек
Влажный корм для котят Royal Canin Kitten в желе 85 г х 28 шт;2078.0;-999.0;-999;-999;1611;https://www.ozon.ru/product/vlazhnyy-korm-dlya-kotyat-royal-canin-kitten-v-zhele-85-g-h-28-sht-1140246860/?advert=AAoBq0icufNBy3gF2P-1RvM-XqpH4SO7BiaVpwg8GRvD1gw3fovsgS4Ztgeu2qJ40tX0kTV4e9QipDIB_8NAJj5S2FDrHIh_LxPDGbt9T5TZeUM9peVfEh6gYQcWhkSVAKDTpzP7z7arlW95JmS0q7VgkBunRHmyi_4wtwdXH_g43rrFR1YrvOgHxYmaKnrlNnsi7NbL_-Ap0j6ENmk1FIwvfCxor8_SheScaAslnSN7wNX6xKgvzjJ7E9CaCy0xrfQsmV6Zx4mf_cD6tPEerAhdxh2YWG1QRYef1thPwgIEihtQ3T3fbMUlHsiP66S6LTT1kzdY3JCqLkWgR8UQ8cDvhG1kEDwWYB9DuGQhM8b1C-asu4uLq8_K-SfMyfV8KJ0I_7kB&avtc=1&avte=1&avts=1733833700;https://ir.ozone.ru/s3/multimedia-1-v/wc350/7056877279.jpg;Товары для животных;Для кошек;Для кошек
Сухой корм для стерилизованных кошек ТАЗАР с курицей и индейкой,400г;740.0;1326.0;44;185100.0;4;https://www.ozon.ru/product/suhoy-korm-dlya-sterilizovannyh-koshek-tazar-s-kuritsey-i-indeykoy-400g-1747149005/?advert=AAoBt-SuwIBu9R-6eym-hE1DyFk_mwbyot_7KQ2swt2debn1CzLk86Vno8YlsNtGRApxwdXA7SbGzfJOy-9pbxYZrCokOHUnthjYHBnysxiHed8rl1d11dM1J1MDTgnB2WTylZRxIf7yxostQSXRS7YGeAY8pDmTqmDSGqcXRzPTlAdNKZpD4VbxptBu8pbsAX_sjhdhzL3_mUVkOwUJknYXPE8GLxs3KIBaUnITFYOjfkIfirwVvrb4SoVjm3u9A5MEEjdeXQogAvkYZJBT6ecuIwwJvUpvkpLRw2mE_wCPeJdEHATlbI1IpovLGwemmeQWXSLxg9-73VnXrWkTdnRhijE7fD8NXwHrq6Bdp-tVtyIbrmqrqlrAGRNoTqsK9_vTrbQwCoRIUPo&avtc=1&avte=4&avts=1733833700;https://ir.ozone.ru/s3/multimedia-1-7/wc350/7185663655.jpg;Товары для животных;Для кошек;Для кошек
Влажный корм для кошек Royal Canin Sensitivity Control при пищевой аллергии, 85 г х 28 шт;3465.0;-999.0;-999;-999;774;https://www.ozon.ru/product/vlazhnyy-korm-dlya-koshek-royal-canin-sensitivity-control-pri-pishchevoy-allergii-85-g-h-28-sht-1016762905/?advert=AAoBkkQXQPX2iEV4giZSwxGg_YDMXojB490gqdOjSG8zvvqEJ4D8sGqGpjQZtDpcvIPL8FY295ubC0mur5Rc_4lK16ZZbFRKT_s9JGTZLlC37CLTTdcJ5eRtRo-xPOs4m3K4ZbWhXgVR_-9XZ_KKuE8kaOq8-9G7gxtDMq2DtlSkO11CORDlkbGGOfddlnEw2c4OUfIeJbrjP2qNBRRzF8_lHxfcno6VQsS-m64xQFOVDaOEZKAuiRhE4oO0xKErx78nmRcNZitMiBDPc_g0-kY4_t3Y4vGEIBCo_xL08Yzn69-SIHBwG6Sua9VkVG_nOJ6RaE6QAdwn3PFqDRaMp2LiyXD_qLC0eNFIaUgeGHRSO81Dall4E-I1waogDlZxh_8iU_U&avtc=1&avte=1&avts=1733833700;https://ir.ozone.ru/s3/multimedia-1-n/wc350/7150320695.jpg;Товары для животных;Для кошек;Для кошек
Корм консервированный полнорационный CRAVE для взрослых кошек с Кроликом, 70г х 30 штук в упаковке;2101.0;2880.0;27;-999;1507;https://www.ozon.ru/product/korm-konservirovannyy-polnoratsionnyy-crave-dlya-vzroslyh-koshek-s-krolikom-70g-h-30-shtuk-798241420/?advert=AAoBkUxHcrbNsyVn068iZsBaddAOR2bUmIiRZK6LOACkIgNhlRuMD0QC5jPWz6EgRciSd0mI9u_OYAiqv1oN71hYvwl6QYB-FBxVLOj3mncLQpa7PwwcneGPPw7jSty4HWA65b9OXLnvUCwa1Zpav6Ie6AnsjeHfdeLDCjjd-j2nG2HUc2o7oeW1GGT71PhB56vkap8I3c3osYnVOoquzGGznDJ6-tnjojAsHxopVu0TSEkgxdEysUCYT8DjD1xQNeik7PqCPv-V_S9q6XoR6BF1yVgHF5eQ_323pwuX3Ri_-fSSDtApRhDpOUlpvTosF4AwrnTuT4LtnTOgZcg4SyJoEUoB12wrGhimMyk1s5tJ99QFG9PxmD-Z4d5_5Zw4iKq9EDl-&avtc=1&avte=4&avts=1733833700;https://ir.ozone.ru/s3/multimedia-9/wc350/6055801809.jpg;Товары для животных;Для кошек;Для кошек
Сухой корм для кошек и котят Royal Canin Mother Babycat для беременных и кормящих, с птицей, 2 кг;1928.0;-999.0;-999;-999;6644;https://www.ozon.ru/product/suhoy-korm-dlya-kotyat-ot-1-do-4-mesyatsev-i-koshek-royal-canin-mother-babycat-beremennyh-29983474/?advert=AAoBjR2VSxVWUsdaK4BC5j4ImBhvzEPTvcZ2cZ8fQqWe0zfrF7RTAurjMW_VtiYqhZIQx-0SyPtkvlxY7JSOX7Pp2lgcMODrAFhjNWgrHehnCD6UEXyAOwiI6qZYMEqoJOM2Jb4EjhvdyBJ8pu5Q6FY3PdXNRlj2pBHdmq1rtORxwvEIMhoB6aqjcv0fUZUW8gNIqEXx0yr6TKRAOM6OaNrftXmtGFdzlT0scXNKlzYfl_rp7fHHsyW1XhZYkEKOg0nhTC-beo09XTLJVHY3NT1yPswCZxgrdA9OG4UCzSXfAe-LSm0JAolQ0dZdsMFvb76CrrR6BLMf4rH7eLrTyj4nub0lIaDyF7yJd8u5eUyrOfgztlbfWMEFXLifXTdVg4Ud_Q&avtc=1&avte=1&avts=1733833700;https://ir.ozone.ru/s3/multimedia-c/wc350/6904550124.jpg;Товары для животных;Для кошек;Для кошек
Сухой корм для кошек Purina ONE для стерилизованных, с лососем и пшеницей, 9,75 кг;4101.0;6772.0;39;-999.0;-999;https://www.ozon.ru/product/suhoy-korm-dlya-koshek-purina-one-dlya-sterilizovannyh-s-lososem-i-pshenitsey-9-75-kg-760249535/?advert=AAoBCA4H2v4ILUCuANmZa24zdAaeLFUmJeD5efgdPeKs2rYj0ERsryi-s3I2cJ4M2T2wTyxsQK7Vh3k0C7IA2PqoKphSa1tUbMQVdkZV9rEnh6UGiiQbfCCu0Fec2yGZg0xqc3FTxeKiZ0Fx0_KZsHI-kC26mGncmHYMwStbcIYiJ0_wktIyLnu7ZfJHd8Rhy5tk_ByizxGSA_D2emyj9zzAmPCfYvQGYZKE0R9E7vCrwtU5tohtdKJWtIISzGBc_qRP58-n5iqhipDz6bcaU5nXfpLY4ZVnW7SzNpldpB8BqdsaBYAC--1afJBsT8AhES16EzUyD6EBO4A0x8U2BQYbT2q-evg6hSllQraE2NNnQm7eelao1ha5CrNBeDwOg3a6C0prht0l&avtc=1&avte=1&avts=1733833700;https://ir.ozone.ru/s3/multimedia-x/wc350/6799170693.jpg;Товары для животных;Для кошек;Для кошек
Влажный диетический корм Best Dinner VET PROFI GastroIntestinal для кошек при заболеваниях ЖКТ Ассорти (12шт х 100гр);1211.0;1861.0;35;-999.0;-999;https://www.ozon.ru/product/vlazhnyy-dieticheskiy-korm-best-dinner-vet-profi-gastrointestinal-dlya-koshek-pri-zabolevaniyah-zhkt-1151465328/?advert=AAoB6bITM3QVheGlfZ9gihV3ARc0xNlz2G3Nvh7qCWgwgfq2ZuzIXvNWUxt8QN9ExJdShdHBkJG1z7NQZMfwcjHuBqBGKIn8xto6awA-72_LyOr5fejFrL5agL4JNGaYWnIbhwIDVlNzqPTz8ZbUalS3j5vOatvddA4NW2_4-OL8pdarEFio9i9fTwRq63maNkX53SCiDEIUuNOVUq8Y1UG8OBEZpVkmLfotziHioJRj2kyl3tNKzuUWDaa2WNKl3f8uXpaDWYBB0zW_BYuRtJEipHWevlbx2lSZfBJPJV5WVlJ7oh4l3qkKKVw4mpP5G1ZRGg_-VAsDFmMgmN42a7LM1omu-XHuEXBVhNECtpMjtoiz4bXq3UI--M7hmQPysxXRtxaiTw&avtc=1&avte=1&avts=1733833700;https://ir.ozone.ru/s3/multimedia-1-q/wc350/7154783738.jpg;Товары для животных;Для кошек;Для кошек
