title;price;initprice;discount;rating;reviews;url;img_url;cat;sub_cat;sub_sub_cat
Ледоступы размер Универсальный;545.0;1500.0;64;5.0;13;https://www.ozon.ru/product/ledostupy-razmer-universalnyy-1755600243/?advert=AAoBRlM3x7bsyr55EbAsNjrp8tk7z4O-izFDaTHAUYrjoHB_x3l8Kq2gCFdPLAlTTYNiRkbtqHVF912KdxO27iEG0smJKXNFqGJM9NZ163aZfP7t4N8dwkBw00bkQ1TmYOtkY5CQ15nLsvRwWQiMM-KoWT4XwVa82XzpCt5dTZNGdXGfbUJK1S1mFyeb2pc5SSSFl6Lh-HiIxmhLoXKTdfQFkMIVIlw8JBdwu3I3bAncczS2vRiaHHrvTSvzzeHj3Drq0ddI7bkXZtmDrR6KjQkMv_y5Chu1RmEjyh9QMCdRGIBE7SEAOdog2elPZ1TWTyjn88OTT7w6Mk4bDbrw13Hx7dN1aVJw1OkKvnwDzjQGGjv6FHLNWT4oL4es_annnLeikKAHwU4&avtc=1&avte=4&avts=1733831911;https://ir.ozone.ru/s3/multimedia-1-t/wc350/7223906585.jpg;Туризм, рыбалка, охота;Туризм и отдых на природе;Туризм и отдых на природе
Каталитическая грелка походная для рук, ног, тела на рыбалку и охоту, для отдыха на природе;905.0;2599.0;65;4.7;106;https://www.ozon.ru/product/kataliticheskaya-grelka-pohodnaya-dlya-ruk-nog-tela-na-rybalku-i-ohotu-dlya-otdyha-na-prirode-1293959318/?advert=AAoBauvEznt8VvaXn643MOa-zcN_sy7oNoujjrW1HEeG3fA84ujrwC4DDmDnGlA_VeWzhFnZX0h792YbyG-8gMllOmH5yGpjFCWd7L8DBpQ_rmqI18qxdAUYt-pfXhfHhI7GOTxMku75FsCVu_4_Bj346EJ8aNTsoB218dj7IryVGdcfDS4ovn5Vr1t4pecd615uR_8slpzd6JseFyGsekI_SuZd_DxauIU1Ev2gFAEMZ7QhWUGHbgk2Hsf1DBqd77eWLwERFoUASxsahXkG1xNztG5W4XnG2Odfxh1aQr9QDQtu25WImTlECqVFidl_nwhGEIw0p46gUIpAC7CAJBXF1KX1YZ0Egf9ibKl6IC19D2iFVmhX9iNkEB9wrg14krV5fkfj5-4&avtc=1&avte=4&avts=1733831911;https://ir.ozone.ru/s3/multimedia-1-7/wc350/7144989127.jpg;Туризм, рыбалка, охота;Туризм и отдых на природе;Туризм и отдых на природе
Спальный мешок Арктика большой широкий зимний для охоты рыбалки армейский;4477.0;11000.0;59;4.7;4015;https://www.ozon.ru/product/spalnyy-meshok-arktika-bolshoy-shirokiy-zimniy-dlya-ohoty-rybalki-armeyskiy-770927511/?advert=AAoBKkKKE9leeEpEIW3uD-6pqQjmyNjzPEKa4EvtjXkAIO5jH1yGliP2FSuehXJWlJ06uuL3u_geNtEmZaSlSp6Lny2k_qA7wi-D9lP896ltQkm8x3LjDNECKZxCj5HEqEFgM0QBMbVgArrKDs184wUBRINoorLmO8_t09hOLyiUjgyObXywnuvbmVJo4wgXMKk8SMeihwqkvUDBkwttoaSx9WmFf5ZB84TrwaCJmtDTuuOjYqkFoCxStRlJda3qBBkqmEvVHPlg2tuJ-kDVExY5MPVcMF6dUrVR3v07u0fiDNwavKHy_Y4Zfmu-K62NWwq0B53Dn1Ph-nrPk6latuqzTgEzPqNcBjpb89JTZ9Z_MAAmq6lFiyZnzdT73O_Yl8GtLj0YBJss&avtc=1&avte=4&avts=1733831911;https://ir.ozone.ru/s3/multimedia-1-g/wc350/7073069236.jpg;Туризм, рыбалка, охота;Туризм и отдых на природе;Туризм и отдых на природе
грелка самонагревающаяся для рук, ног и тела туристическая до 9 часов тепла, 10 штук;475.0;3000.0;84;-999;198;https://www.ozon.ru/product/grelka-samonagrevayushchayasya-dlya-ruk-nog-i-tela-turisticheskaya-do-9-chasov-tepla-10-shtuk-1304247244/?advert=AAoBCOOiBLr4bL6dRNvSgOsHeoGugJKoyUzk0IOsK5fGbA5tyTwIMMw7cZ_wrBfbx5Q2lvXF6i_Q-6mUwHSmOPvePeay_BCBOU_OgLCtxMi6QviQXASF5iEa5IM8Jfe3oG488jmbs3CIBIMuTVPh63pXB_otfYxT9cf77CvUgEdGuMYNAYC-AzyClTvvM5DcWWTvxlBNRdh6mQqGjyavUHC6VwlLD2XzQGf6KQh-1V_pvJVYy0Kvm6U4Bv15SLdjGCpoNL-u_EyEp2ExwISbTxyULsxao5_mHAsUeyxc3uqKgs9JlwjyOroT9m4cLQhjhAHSsQ7AGykr2r619Hof9NvUp93WpX9Qg3vKCdRyYbdgV0NjEXMQoYZJdQGdOK9wh2Mhy0fPWd-Q&avtc=1&avte=4&avts=1733831911;https://ir.ozone.ru/s3/multimedia-7/wc350/6839303587.jpg;Туризм, рыбалка, охота;Туризм и отдых на природе;Туризм и отдых на природе
Зелёный край Спальный мешок, 220 см;3056.0;15000.0;80;4.8;397;https://www.ozon.ru/product/zelenyy-kray-spalnyy-meshok-220-sm-1389409773/?advert=AAoBp-VHrfs6OgxBMo4sHMgumPKGTf8YdJApLs4cBNZkwBSpZmz9oruMBguIYk9RbrF_r57Fp6r0_7BSwZjrfclIgLBNK32e5BOtT6XqLUdrCTwqr2HowtJiRzD9CBbHlAGMgX9mEt0c1uNjuMxVnJpfHA4nmtD1fR8DuZ8c2fC5t90NoDVbH7ta6y5kfObyOMwZZRRxxRDsCpwaMIckX48XRetRQ2hkRC9WS95Ba0g1T7qxy-zBjdjrRd86bPZDVtqqQ9ngU2aLYVageFsbaiPKLDZsjfaiAhJ5QZ_JxwgylyENvXhen2FAZS9_UiaICYuAx6qP6yIaJ9fYaQorjk8O0p1XarzC1ZfWR0f9ixT2OLbDxPEqDF0-_x3UQjZdM9lfBjRzWRDG&avtc=1&avte=4&avts=1733831911;https://ir.ozone.ru/s3/multimedia-1-f/wc350/6938643615.jpg;Туризм, рыбалка, охота;Туризм и отдых на природе;Туризм и отдых на природе
Фонарь налобный аккумуляторный ARMYTEK WIZARD C2 PRO MAX LR Холодный свет Developed by Canada F06702C;12028.0;15900.0;24;-999;137;https://www.ozon.ru/product/fonar-nalobnyy-akkumulyatornyy-armytek-wizard-c2-pro-max-lr-holodnyy-svet-developed-by-1282896942/?advert=AAoBb_hXjEtYm7CfS8yAuXli8umntbm7RpMYBX3iMvGMzz5HZagxrOsdMBWEsmJ90ioYSS2PyLLUVhiEka9CuwSPWF0kqElzU5NpvWu8jul0F7QiZVo9128IjrHsuQpkhCJ0MlTZBFETZrhXeOKsUnuET4vmP-Z5B5neAcEBPg60qANWtv67XziwbcA72bZ7B8nMXuKRG7RmNwoG406vRxpODqibrYtoJXSCECTO2iW-7rcDihAyQVRizs6X4xABhmyAwFFLcrbjQ7puthozkxrolGhB0vohtYiirdqp2zvEnl5hwVb0cnRfK30XfICLzjCaGfbZa2evLaxXu8UuwXf9U6GB32itfEfhQFZ4RFMAlb7qn2tVAI9SHj0-0eUvk9NzvVBKEK2R&avtc=1&avte=4&avts=1733831911;https://ir.ozone.ru/s3/multimedia-1-h/wc350/7088589233.jpg;Туризм, рыбалка, охота;Туризм и отдых на природе;Туризм и отдых на природе
Термос для еды и супа с широким горлом и складной ложкой 750мл с термосумкой;1652.0;4000.0;59;4.8;2601;https://www.ozon.ru/product/termos-dlya-edy-i-supa-s-shirokim-gorlom-i-skladnoy-lozhkoy-750ml-s-termosumkoy-1314616709/?advert=AAoBbhpWEhuS2BmN26HkUa8tEroDHfubvw8x2rvagN0XxWBfD0PMpWsJrroQodBXx87r3924wQFLGGVa1Ha2w3-e2vpxLW3IGVZLVvRgaFQfJpDkJ-r_aw8Wspw0SBacip0bKTE6WoGN_00PbXEl2W7DodM7ja8b25Mr4kSYT-P2S3JMOPxC5TXKFfhJeEvLQmMB6Mo7Uwv5BA6tabv44YwQMrkdveF3CXOgXA-fwN552nRIX8j86eomU5vXj-mJ6PBXj2vRq-gqyjmSVgbBBN1aUDKsZP15q9vCZD-X7PVN_8_gSi3tIGnsplL2PDKXSemqKWVRaQIq_C-hbKOcal8tBUGcAJY7KIHu27Z7DOqTBOq5kHxh8fPAnvGrSRMQloVwNXljH5Al&avtc=1&avte=4&avts=1733831911;https://ir.ozone.ru/s3/multimedia-1-8/wc350/7209103112.jpg;Туризм, рыбалка, охота;Туризм и отдых на природе;Туризм и отдых на природе
Термоодеяло спасательное 1 шт для обертывания многоразовое AMFOX одеяло изотермическое туристическое с подогревом;263.0;485.0;46;4.9;3892;https://www.ozon.ru/product/termoodeyalo-spasatelnoe-1-sht-dlya-obertyvaniya-mnogorazovoe-amfox-odeyalo-1053822279/?advert=AAoBzypBLy3mPvXSDkSOOrW3aCMx3I6RSCDQE2Hb_iaLsCjjre5Bbt8ppwfd6Uf-LfJBnzqwn2SmYHRLsWz5MW2uTSgeNR4HgYGp7A0jvOJ2GZ44HMhCc2jVmxx545B1H-T_0Ke_etpEuLfTo9qgPmbzJVCoYoabnEGuVjOfy0wMRZT1_jzBfdj-caAYlIseZsDgGtIfxQjidESeD3werr1sBW_UgY2lOZGXDwYYTveSzTEGz7XfUL50z7T7QKGOwzc9lU7yf97uU46XOejw9dH4uVApJ8sOMa3x5yhRLcud2m0FaUJZLP-ZE7O5POvB7lBsqSCNvQhw49brB6auRMtteQCY_Lm9EDmdkv2FWhdH5IE8r4f1uK52KnfcLyfpPqJsvyiiH_A&avtc=1&avte=4&avts=1733831911;https://ir.ozone.ru/s3/multimedia-j/wc350/6780626731.jpg;Туризм, рыбалка, охота;Туризм и отдых на природе;Туризм и отдых на природе
Фонарь ручной аккумуляторный светодиодный;1703.0;7500.0;77;-999.0;-999;https://www.ozon.ru/product/fonar-ruchnoy-akkumulyatornyy-svetodiodnyy-1769836379/?advert=AAoB9_6ZemVsLQbTqB1qHXcdcfaz5AU1aKW3QZdWuH31GR02-fKXlGlSvCAHjpKJ2E3vLtFiQaX8APP2n8hFNpH1Nh5lrYFXfHlbVafUibKOjqCoYyF_mjqid1fbITrSqhJ_pWMufxv5Q7IGhBy_iri5Z2U5pOKNKjYoqasJAnBEVif61Dstjxqm6Lhs5Kq0SuHr8BAu0hQEh4E-PnjKxJx3N6oGMb1NNw5neA2P_6HvPvWXfZT3pNNdTotSqjQaHbtOeeQTEOznF3YATx1yI50rfWEaIp2ICOulVHfSM2JJO2w_i-EzXM5sUGjEicUnkBhklCYbJwAidLa4FrloV6Xoc1r4ENb8swdPJHMHGhw2hUic4DFALXZTmrnZlR6jdj-k3x-3&avtc=1&avte=4&avts=1733831911;https://ir.ozone.ru/s3/multimedia-1-8/wc350/7115451632.jpg;Туризм, рыбалка, охота;Туризм и отдых на природе;Туризм и отдых на природе
Фонарь налобный аккумуляторный;1509.0;8900.0;83;-999.0;-999;https://www.ozon.ru/product/fonar-nalobnyy-akkumulyatornyy-1770586675/?advert=AAoBgE8f8tHmTIS0FntF5UXAp79JgMluT-QvpceaBpIgZz9MREhaLCv4bo65sGzsxEsRC8ESvoqTvWUiWCnqzdQ4YaR2RJlGym0HShE3XZ-MtLh4ZgoZYcYUcv-3i_pueceqYwFrOlXvWc8kzIJ_6xTezN3tPE3ERctKXpjETba1ZOCaCL1-tKbjX4iJJki0V3Z7hnUnrvHzHt1J370m-zPgIlWawbkXKD4tchLPhvFygnmCzIOAbCIOAuHcFt-q0w8gJANI6CKWEkhmUMjbeA_vIcukmpr3okUJwEk3zOtpnYXQcyDUKrp-Ng0XBgcQ0tylv69GtcKXu08OHSw4-vDpLqvJABeuFPtnqAxBNsWt9ZGDTjVrZcDoILf3wRORfChX8bbFuFEVmA&avtc=1&avte=2&avts=1733831911;https://ir.ozone.ru/s3/multimedia-1-x/wc350/7213303257.jpg;Туризм, рыбалка, охота;Туризм и отдых на природе;Туризм и отдых на природе
