title;price;initprice;discount;rating;reviews;url;img_url;cat;sub_cat;sub_sub_cat
Электронный подарочный сертификат Миллион подарков (10 000) Ozon;10000.0;-999.0;-999;-999;354776;https://www.ozon.ru/product/elektronnyy-podarochnyy-sertifikat-million-podarkov-10-000-ozon-138431346/?asb=jLMVV2mZDMNwUmNR%252FDxBXUpD7yA8TGeFvG0uJ0L3jk8%253D&asb2=SKxr1H_bdHrJbU3RnKUgBdNUKEMo02a3zXST_t1wWOWr_-XvEOuh_TUjNmOVfu_v&avtc=1&avte=4&avts=1733831861;https://ir.ozone.ru/s3/multimedia-1-i/wc350/7096070346.jpg;Цифровые товары;Электронные сертификаты;Электронные сертификаты
Электронный подарочный сертификат Миллион подарков (1000) Ozon;1000.0;-999.0;-999;-999;354776;https://www.ozon.ru/product/elektronnyy-podarochnyy-sertifikat-million-podarkov-1000-ozon-135378958/?asb=QegA5ZZsDfL6pfaGd5VnMuLK2iaW7lp%252BLr6J38kcJuM%253D&asb2=ORVGG-mGEJceHMIYegcXY86BN5MWYf2t3NV56ZsNsippXL6BXQit7oXBIdBeUAfHFPm8kA4rI05lh8U2hZDjWg&avtc=1&avte=4&avts=1733831861;https://ir.ozone.ru/s3/multimedia-1-y/wc350/7096066186.jpg;Цифровые товары;Электронные сертификаты;Электронные сертификаты
Электронный подарочный сертификат Миллион подарков (5000) Ozon;5000.0;-999.0;-999;-999;354776;https://www.ozon.ru/product/elektronnyy-podarochnyy-sertifikat-million-podarkov-5000-ozon-135378962/?asb=DW%252FfFAQlINf5YqYRYEMFwwWwTxwuk7TvBnQJJB5q7YM%253D&asb2=sGMTqKXV4mPuZ1LbEKOnld4Ak8khBs_gBGV3PXVPBRe13vf3hFHVHMgJqi06aeZpysb8xz4ktPrXCmJXSpUtdQ&avtc=1&avte=4&avts=1733831861;https://ir.ozone.ru/s3/multimedia-1-i/wc350/7096069374.jpg;Цифровые товары;Электронные сертификаты;Электронные сертификаты
Электронный подарочный сертификат Миллион подарков (2000) Ozon;2000.0;-999.0;-999;-999;354776;https://www.ozon.ru/product/elektronnyy-podarochnyy-sertifikat-million-podarkov-2000-ozon-135382612/?asb=m2n3PJZreYmOQftQITORghyafuSwKeKgk%252FSJ6T4NGI4%253D&asb2=hc-a1gglWUmhRMIfG5VKx0OZDt9IMsB03CjzMKJgzin-IOoz5V_a5kamBJRxOsFuLaftChH0igUWwLIUbiJ0bg&avtc=1&avte=4&avts=1733831861;https://ir.ozone.ru/s3/multimedia-1-a/wc350/7096067350.jpg;Цифровые товары;Электронные сертификаты;Электронные сертификаты
Электронный подарочный сертификат Миллион подарков (3000) Ozon;3000.0;-999.0;-999;-999;354776;https://www.ozon.ru/product/elektronnyy-podarochnyy-sertifikat-million-podarkov-3000-ozon-135382627/?asb=3OPprFtthyuT2Aau6iBOBvOMU4wtJMuJzUf7vNPPZB0%253D&asb2=4K51Q4sW0v1GoAdcn6JqVbmPA3fatfeQQLv61v56gNda3LRvTw8nu1Wc4-3FfHzu2GzLZJy-ukbggvNYv2k-Lw&avtc=1&avte=4&avts=1733831861;https://ir.ozone.ru/s3/multimedia-1-1/wc350/7096067917.jpg;Цифровые товары;Электронные сертификаты;Электронные сертификаты
Электронный подарочный сертификат Миллион подарков (1500) Ozon;1500.0;-999.0;-999;-999;354776;https://www.ozon.ru/product/elektronnyy-podarochnyy-sertifikat-million-podarkov-1500-ozon-138431442/?asb=AniUuthdAkNIGnkcO%252B7YCD9Lgi7yKVbdF2Id0%252FoGLLA%253D&asb2=qtlJVrXP_xyMKIKrgtSLvh3ucPJTK3z0qoUxtRb4zsif9WjhgZnkSRAXZGYFFLa1qmuB4xRcYL0MIiAFeAObKA&avtc=1&avte=4&avts=1733831861;https://ir.ozone.ru/s3/multimedia-1-k/wc350/7096066928.jpg;Цифровые товары;Электронные сертификаты;Электронные сертификаты
Электронный подарочный сертификат Миллион подарков (500) Ozon;500.0;-999.0;-999;-999;354776;https://www.ozon.ru/product/elektronnyy-podarochnyy-sertifikat-million-podarkov-500-ozon-135378940/?asb=8ACJaeH4K0kaq7IhO4NNocXj9cYv7%252B770nbbuadvJSU%253D&asb2=tVpPxvzE6ojLOG81bFgw7PBreGtNkvagkTkMfQyfoEwsfLz_7wt49W9FIsEK6gIMVF5oHV6I8UOrzXVKJSLdvg&avtc=1&avte=4&avts=1733831861;https://ir.ozone.ru/s3/multimedia-1-4/wc350/7096064464.jpg;Цифровые товары;Электронные сертификаты;Электронные сертификаты
Благотворительный сертификат фонда "РусДог";1000.0;-999.0;-999;5.0;663;https://www.ozon.ru/product/blagotvoritelnyy-sertifikat-fonda-rusdog-958671934/?asb=rcUzhJMImsdP%252FKOJEAJvgisIU0XDCoUvar89djDDW08%253D&asb2=ZS7PABc0W7jRuyGtuAS57y0nURP4d3pwNIa4XGTK5IWnxUJKckNdDjzQ-VUkMzq3I1nV6c2wJXm26O84XunSQw&avtc=1&avte=4&avts=1733831861;https://ir.ozone.ru/s3/multimedia-1-j/wc350/7070574799.jpg;Цифровые товары;Электронные сертификаты;Электронные сертификаты
Электронный подарочный сертификат Миллион подарков (10 000) Ozon;10000.0;-999.0;-999;-999;354776;https://www.ozon.ru/product/elektronnyy-podarochnyy-sertifikat-million-podarkov-10-000-ozon-138431346/?asb=zCv%252FdQ65lX5FuzcXmNlzyM8HBWKkkSKQCij7CnWUtJ8%253D&asb2=cR0qlMlIWnVf_iIKTyfLl7t0i3rh_0hjMNMl51JXjEdW336znycXupW7p7PAPoMy&avtc=1&avte=4&avts=1733831863;https://ir.ozone.ru/s3/multimedia-1-i/wc350/7096070346.jpg;Цифровые товары;Электронные сертификаты;Подарочные сертификаты
Электронный подарочный сертификат Миллион подарков (1000) Ozon;1000.0;-999.0;-999;-999;354776;https://www.ozon.ru/product/elektronnyy-podarochnyy-sertifikat-million-podarkov-1000-ozon-135378958/?asb=ogHZvOv8MtTnujhmmuUbRcqDucGo4jS%252BTJcw8yH3Mkc%253D&asb2=e_a_A1XH3zFchW8VCl0FA4XhDdZfDKmWhbtx6zYVeWLDg0A9jqgza1G3W0yTgIifSYigGvmWEy-TKvQ4mTzhIw&avtc=1&avte=4&avts=1733831863;https://ir.ozone.ru/s3/multimedia-1-y/wc350/7096066186.jpg;Цифровые товары;Электронные сертификаты;Подарочные сертификаты
