title;price;initprice;discount;rating;reviews;url;img_url;cat;sub_cat;sub_sub_cat
Умные смарт часы X8 Pro чёрные со звонком Женские/ Мужские;2207.0;22990.0;90;5.0;30;https://www.ozon.ru/product/umnye-smart-chasy-x8-pro-chernye-so-zvonkom-zhenskie-muzhskie-1770417918/?advert=AAoBMM-QLzMjbLIiwCPXMBoOnWFcO2wLLmfvFOpFdx2ETPD1SWiziq-DynO_yMm2MjjlCVULCLtQv-1u4xHtDz6wcY53nTCtKxgXYVGuiO3ur8oBzmgSvxvnlylYlbJHZhTZg6XisOczhVoduZfayfbbFQ_hF7QevFrUk_Jsu41ixQNOa7q_EhC2Mcps3rr0Rm064mJhKG3QTEu_6entHMJjL7adiKJsOMyb0oyTok7Fx9gx9AJCywEQ4rkYmTh-1oeMHjSwi59E9FkjXpbmC2dafb1p5nHrLp7LuCiy7eSI_9wpuRZj7GtA_O04Vb7UDdF6F7iFWgFEpRMjlHKJuO5DpIfCQFMEbNikRZq7gydDRkutqWJZKsvJxMHMw4UDH1m7APmR&avtc=1&avte=2&avts=1733830289;https://ir.ozone.ru/s3/multimedia-1-7/wc350/7216554967.jpg;Электроника;Телефоны и смарт-часы;Телефоны и смарт-часы
ElectroGrad Cмарт часы мужские, женские X8 pro черные 45 мм Умные часы Smart Watch для детей фитнес наручные сенсорные электронные детские;2094.0;65000.0;97;4.8;291;https://www.ozon.ru/product/electrograd-cmart-chasy-muzhskie-zhenskie-x8-pro-chernye-45-mm-umnye-chasy-smart-watch-dlya-1759480284/?advert=AAoBio83Qb_ykQ6EObElMNVECojbXylfdKXyUdmJCehybnK1DAHD3lKzMAUQACLSn1xjH5DXjS89c0QvV04P6feQCTRvUxpJmbso3iZ9RcWV9Sc2HZ6kBJpeIN9pN5Zx_ikeZDXPUzmMtEAkpDzRt9GDSXPyPU4GvQLERekw2OMZJXc6kUPfFle2c5jiMvQJoGzWW2US2MER7_IOJPzWaqDYh3UmxcPSOVr9Wrj8pQKw7M7wtrQqiI-yHEJDeQjOelBAB3wlrLe59sP-zRM1y0QlEatoBxRcl_IVxdtuOHdizilyj6Cu4mrD1lzmR6XYcQLxJWHE-VmEH6Rx4ueKrLR9iZepCKgikkJQRrykz1E5plXVEc69MUTJwxFPGsPh53yrW7-b0A&avtc=1&avte=2&avts=1733830289;https://ir.ozone.ru/s3/multimedia-1-q/wc350/7112376962.jpg;Электроника;Телефоны и смарт-часы;Телефоны и смарт-часы
Смарт часы мужские, 3 сменных ремешка, 46mm, серые Watch 4 Pro Space Edition;3071.0;59900.0;95;-999.0;-999;https://www.ozon.ru/product/smart-chasy-muzhskie-3-smennyh-remeshka-46mm-serye-watch-4-pro-space-edition-1753862258/?advert=AAoBcgf0KEYEhLQVUByf3mOfLuPxfylnuaosZ6LVLeRvuAswAHAd5qHGrfJXOWkm-rdXr9iuGoiEGp-dCzDh51rNMciniw8xXnaE5HKcPHD3RDqk-czNJCzypZQs0KK5cPXVx43ZH3HEGMtvh0X1EfSzhlHKPqw33fQaP10OfOrjsJGXz2GkZ2pdFTM4OP7q7ebXm9nika2SpKuZFUS9Qc7MXopdvfFn4PayAX3ErewvTxMlv5dvYL5ZI8OswhN0uIbona5bDLvk9JOSRvxWBpSM7rLpv8KYV08lM59PBYE4KO8ABUQJVakj31JReragbGXK_sdsr3TH3WCQhoBSW6UGQY3YJhIdIXAPxUidDhfYRzRTasvfh6cKTJ5pt8_Mw1ykk2zSNw&avtc=1&avte=4&avts=1733830289;https://ir.ozone.ru/s3/multimedia-1-z/wc350/7184019527.jpg;Электроника;Телефоны и смарт-часы;Телефоны и смарт-часы
Смарт часы 2024 Series PRO, мужские, женские с влагозащитой / Умные часы, дисплей 45 mm.;2799.0;29990.0;91;4.8;4612;https://www.ozon.ru/product/smart-chasy-2024-series-pro-muzhskie-zhenskie-s-vlagozashchitoy-umnye-chasy-displey-45-mm-1618440395/?advert=AAoBVWFbQkF69b11jt_6-2tRiQq4B9F3qdoI6rxwWqOQyQ0Kjc3fSWNXt2Xo88q4PxMSKjF3GXXZVrd2Y-7r7a4x7gBdK5ZAna3HN8-RUBLrrD1IjC4HAW6x75zAnoDsG5hqsiaTNIG6H24p-YSluls2vB0A-WqCVBDOy47TIuet6yKnXWNCZE9xibcx2Dmu3-g-NnGfUXtAwc2qFqHfFo-I_cATmyGCl1L_9bjf6-LerYpMTptT25OxEuJxOjpCM6llGcOED44z4exaWx3jxIiuXJlOYgm03FzvdQxdQLUz_d8HXEjo0s8hZ6DFu3SzSJOy_ADz1GwbwyHBYLrCRpvpTkiq8Kj3FbNn_yj1aBJSUs1eIGwvRS_PFjdB9umKB1eMl7MFjJCVtRY&avtc=1&avte=2&avts=1733830289;https://ir.ozone.ru/s3/multimedia-1-g/wc350/7065737440.jpg;Электроника;Телефоны и смарт-часы;Телефоны и смарт-часы
TechnoEdem Смарт часы мужские, женские X8 Pro Умные часы, 45 мм;2102.0;15000.0;86;4.9;35;https://www.ozon.ru/product/technoedem-smart-chasy-muzhskie-zhenskie-x8-pro-umnye-chasy-45-mm-1766856482/?advert=AAoBiDLkJ2tQ2oxCFUkCPiW7_WSKGrD1esKu5tu8nwTEUOgiobNjg0rzwwUpBHa_mmMKlqjuSye2Fz857YO-CHxeFMHluKFcjX7fTQZRNRBpHAssI1QHz_WVNq-c0BRS5f_T6S9Wzrz-hWEjYtN8i-iFriqQOuKHcOv7mkRQGJ4ROPvazvm4xykZrFKwzy-fiqXTPNJYILoCc-p4Ppixmh6UajAkK8rwcvNmpfcVlKlw24x3J3dG9lzniCy-Mu1pAaafnpA9lWRjmkFk7HO-nk_4NQ_stXJmd8cWw3DnidmqbzElOaDTSRUJY6yoLxtsOm6E0eAb2zUEw7Iqzsrwc7Z8JNYR1PrBem-m158oVTJyhsRbYJ8zvbEmR3h0YygqM3rLWHYUb5c&avtc=1&avte=2&avts=1733830289;https://ir.ozone.ru/s3/multimedia-1-g/wc350/7156914640.jpg;Электроника;Телефоны и смарт-часы;Телефоны и смарт-часы
Провод для зарядки айфона 1М, 20W / Шнур для iphone, зарядка для iphone, кабель USB Type C - Lightning , сертифицированный чип;261.0;699.0;63;4.6;12780;https://www.ozon.ru/product/provod-dlya-zaryadki-ayfona-1m-20w-shnur-dlya-iphone-zaryadka-dlya-iphone-kabel-usb-type-c-lightning-929659190/?advert=AAoBb-c-d0bDJabEEWjp9zA8rPRCJl-1zbbZR4T7ycwDBxfB5zdoGMLXeGEVvoedSIou2Iuik8UJxPc1EvOnVDCruvrCc9WyQDdxRo3T0mHX9Kg6fOh85DTjKZC7sIsWW-AHvEwPuAUYcwpFmJNEoVyZbePodzn6C1YVLLAaNJVxtmwDuHVR_NhYtf-lnxBcMGWzWnAIN0lRogxX5KEtFGMfi_P0yhqQ2uZIuEmfLElPZhhVJyMNL5FFq28IAlpPmQspPCDmAdqdNk9QpLaLonoSyIAhetdreCmtqTzxoXK9N1pKF_xgaA496UCoNXDT5geyC95DppuDVHEyhLPLIwOoh8SmPT3LO3CPrAGLMG3mPwI6mZMzuD983HtvumVZftUgqwW4YmInZQ&avtc=1&avte=4&avts=1733830289;https://ir.ozone.ru/s3/multimedia-k/wc350/6894692876.jpg;Электроника;Телефоны и смарт-часы;Телефоны и смарт-часы
Кабель для зарядки iPhone, iPad, AirPods, iPod, USB - Lightning 1M;320.0;799.0;60;4.7;32807;https://www.ozon.ru/product/kabel-dlya-zaryadki-iphone-ipad-airpods-ipod-usb-lightning-1m-174770756/?advert=AAoBIfOUks5nu6Pqk01FK9w8cBwsOkTEPlN0BojPY4LEScsmshg0jUQmUSuba9dmRKHLSl6jTaVSUXvmlUigLMbwKnwMHATeGTEMDJiiG8SJXh-35OIWbfEJ2AhXj8rinKLADbwlftuWJeV9hBwXPlM8RyOdyFGfMQSFAcnTkUZ-1SDs-Uu4JxyZmYp4_eXE6T-jwCnRGYeN4fmbkPDN69XOnJnknDlWm8Z-oNuTGNWCtoG8O2PycFvCG2p7iDdv6hj7VEoDKKwMhO4Y7cwN1CJ1ANORHmsfUJiHFeEPqB57Z34AwcLi8qpqAsn_P5A-g0ec7dqwQWHhyCDdcGMxMtBgXWwUCBKJ_kP5DuFVjlVYjo5GIPHa8Kz1Jl9ElNmxHJ6zwqy5D90&avtc=1&avte=2&avts=1733830289;https://ir.ozone.ru/s3/multimedia-1-u/wc350/7131621702.jpg;Электроника;Телефоны и смарт-часы;Телефоны и смарт-часы
ElectroGrad Cмарт часы мужские, женские X8 pro золотые 45 мм Умные часы Smart Watch для детей фитнес наручные сенсорные электронные детские;2094.0;65000.0;97;4.8;291;https://www.ozon.ru/product/electrograd-cmart-chasy-muzhskie-zhenskie-x8-pro-zolotye-45-mm-umnye-chasy-smart-watch-dlya-1759480622/?advert=AAoBB69W6_xfta76qyCq1zRZ7AFt7tyN3v6KFmDh7Pgg1cyCMcIRBl1pEPoVJjLqP3HQBSfEzzBIZnKOsblz184zFUQl2xTgVzUcKPs4BoDJDyHNVcDQ6hmHJ92eccWqzbPeIjYp6I1RYsP0i70bnwPhEdsyMXBCFR3jVY5tETV8ebItDTQewVLbCd9fkVdOERnZIbSU8fZS0GGc1IXbYCNDlZIwLUz8GhInVNBV-UjR55GgBcOF-rGfLSbll-UFp5q5noNxeoZus4yHS3UFWQh6l0dkwFaAfIZhI3MlOPG9fBOM2xJzUJ89VtizThkI3hLgm2TR9IeSbLGVrUSYOewLcoKh60_cxA0sGOVXHonyGBU7iu1o7Dlpy0B8iWPhn-cr2MLHfg&avtc=1&avte=2&avts=1733830289;https://ir.ozone.ru/s3/multimedia-1-z/wc350/7112381363.jpg;Электроника;Телефоны и смарт-часы;Телефоны и смарт-часы
ElectroGrad Cмарт часы мужские, женские X8 pro серебристые 45 мм Умные часы Smart Watch для детей фитнес наручные сенсорные электронные детские;2094.0;65000.0;97;-999.0;-999;https://www.ozon.ru/product/electrograd-cmart-chasy-muzhskie-zhenskie-x8-pro-serebristye-45-mm-umnye-chasy-smart-watch-dlya-1759480726/?advert=AAoBGiPD4Buc5lC-qewu9yx27llh9TMcqHXGLzz7C4xAIxAzRPtfC7TlshkgpFYM-5ndX3HphuHsBObIFIGClLPBfyKdYwSmokDb6kn-6ECwWbELzmI2qeLl4_BnjXe1WpfnK4DaKgaQ9G9EwnHwDVhZ8nQfCDeu3KJt8FIDgZC34wWLGB_jrQegLXlRRyC2PzIV7TnTTbhJZkwWTzx-qYdRRRTBspvtzOfXMWjtKADN3xYo1asIwPDlXp5WSoSbmR4XTqT8YG0HE9kt8HWJZulfs4etIvHfu9M0xISHlFZ0WKBJ1qy1hSQ_lKTqN4Ywuo8N0GEtAKZxM70TLpn-E-TARr0ZkS8Gr3S61U1452FQiynq7xxM0HU8ax-3deH0jkfvm1hZIw&avtc=1&avte=2&avts=1733830289;https://ir.ozone.ru/s3/multimedia-1-8/wc350/7112383280.jpg;Электроника;Телефоны и смарт-часы;Телефоны и смарт-часы
Zephyx Умные часы L-серии, 41mm;3872.0;30000.0;87;-999.0;-999;https://www.ozon.ru/product/zephyx-umnye-chasy-l-serii-41mm-1757723970/?advert=AAoBnbfT3L7woF0WlqX2GQjB1LlUiT3GTJkbh0-xyZKPbj9JziZKKENXL9vdHDEhCsF07Tbay2_WFTAZ-JeMFlsbKjS1u4TW0LT_b7gKfIiwu45NtxpZOzmvBsfvPiKUhX8a9O4tqwg7ZbBnKxbeCpNnxrYbl80xJp2xO1zOvcg_vHQVNbuwXQY-9y59xi14FetztS368UOptppDUN0XRTCx86WaqccqgwyDYv3iU54L6D32SH-JL9knleHSr8HOSPrRH6z6fmFQul0EaVTkF0PuMdghzR4l_f6dQy6vzeD-b8YAG9NrCn1iunhN9k9fMKt8k9VoAlGbCh0vNodXpr2P3KmX2Ivp89v49MJall_T8GM8vMsbPyXSANQIbp6jcRtgYa3-0Q&avtc=1&avte=2&avts=1733830289;https://ir.ozone.ru/s3/multimedia-1-d/wc350/7206108745.jpg;Электроника;Телефоны и смарт-часы;Телефоны и смарт-часы
Poco Смартфон Xiaomi POCO F6 pro 16/1 ТБ, черный + смартфон POCO C61 4/128 GB, Black;66290.0;75990.0;13;-999;2;https://www.ozon.ru/product/poco-smartfon-xiaomi-poco-f6-pro-16-1-tb-chernyy-smartfon-poco-c61-4-128-gb-black-1771377584/?advert=AAoBWqV-P7Vg6_PdfIoqSAHZXXMh6eRDDudlHSWAoy5L3ZCV070ymf_o7a-OEg7WvuJhrDAXQUyJZDl5IRjIN_KaIZHZCAvWeM0U-opc5OUND6Z_drStkbQf8A-HaM3x4vGWa3JekqIt4KmkXDCLDQqPTDXkCfIopaky-1cb-Adqdb9SQmIHng9RFsEvmZjpvS2l5wETKHY3Bk2pFGe4urB2-tldOrNALUjMthEMT5-A8DjB1CCU4YGUuc3SYWM_rd_zcWKaicpgBb6TwQ7IFUgmIdF7dHJJvPJy891fdtYsrhxPhYb1iBnmsA6mLGg1PdNLnE5N_XcEIwM_a25oGao3qjimyKRpQIguU4EqfpqVT_dF3SobZXPvFPd32K0wVSp5GQ&avtc=1&avte=4&avts=1733830292;https://ir.ozone.ru/s3/multimedia-1-r/wc350/7220723307.jpg;Электроника;Телефоны и смарт-часы;Смартфоны
