title;price;initprice;discount;rating;reviews;url;img_url;cat;sub_cat;sub_sub_cat
Виноградов Кольцо Серебро 925 пробы;1628.0;4546.0;64;5.0;9;https://www.ozon.ru/product/vinogradov-koltso-serebro-925-proby-1707156023/?advert=AAoBw9qkFOyT7e7YXgF5njzg9VM0QTxMBw-qQUc7iHglvNF9hGTVl8odvimjSy4eydQJSk3aldH6pQyyxPROamwNrPCqvaEwPXeY-ayhKsSao5pY5iUPLHcSPFR9W0jJwHr4PSDuVAw1Jq4K0F00LuIYdX3KncR_M6NTmWi90QvyFlYaxOkj52wboq5NRMxz_d8waR4xWA9GWR-IgHwvtrBXKQ4VSVlUdz3t9mGxwkW3O76NPzuj82_IPKBpxSdZz9JR3eAFwGE3FFWcXd1SjhBcOQ0tMrST1g5Fsy8gJZQiAYGKxTBx8vvCvzGd0e1fWUwApsbcWMXtawhA1JzSVo7ahv5NBUyn8c69qOtM1mzPZ4uzUYuUNR9dpK7Dvy_xQHWP4oCY3zzH&avtc=1&avte=4&avts=1733831792;https://ir.ozone.ru/s3/multimedia-1-q/wc350/7217933246.jpg;Ювелирные украшения;Кольца;Кольца
SOUL STORY Кольцо из серебра 925 кольцо-цепь;885.0;10598.0;92;-999;7;https://www.ozon.ru/product/soul-story-koltso-iz-serebra-925-koltso-tsep-1767328004/?asb=np%252B0310mrj4w0fH2ZTZ4DDcvPXCQP1fWcdFhm5G8fIc%253D&asb2=R3RXzinU200fDP2BTDX784O5epbNMtTuxNul-4U_ZZINc4HSlpqopr9MDVtJw5doeoK1TwQ5oYI3zTX8KbujJw&avtc=1&avte=4&avts=1733831792;https://ir.ozone.ru/s3/multimedia-1-j/wc350/7061836591.jpg;Ювелирные украшения;Кольца;Кольца
Кольцо серебро 925 Lamponi с камнем серебряное не бижутерия, в комплекте подарочная упаковка;708.0;6991.0;90;-999;40;https://www.ozon.ru/product/koltso-serebro-925-lamponi-s-kamnem-serebryanoe-ne-bizhuteriya-v-komplekte-podarochnaya-upakovka-1773443339/?asb=fHaYb9ywCebrp5KNe1EQOWKUdmod6%252BW3NMyoPXjrMX4%253D&asb2=mytTzEdr2NbmVtcb0a35AoQzGRxBvKPKVx8w4PiybwP_C1LGE35N3XqNEhrQZUZJZrDHkuBo4iCnmztxSDlRKw&avtc=1&avte=4&avts=1733831792;https://ir.ozone.ru/s3/multimedia-1-v/wc350/7219323499.jpg;Ювелирные украшения;Кольца;Кольца
Кольцо серебро 925 Lamponi с камнем серебряное не бижутерия, в комплекте подарочная упаковка;591.0;4991.0;88;-999;-999;https://www.ozon.ru/product/koltso-serebro-925-lamponi-s-kamnem-serebryanoe-ne-bizhuteriya-v-komplekte-podarochnaya-upakovka-1773670804/?asb=PfF9iOGXGYMCZpLoarzyNbZtZNzm9gGiVumBFjzmp%252Bs%253D&asb2=FEoi8FWWe_vMTKKVcf8DLWV3Vg1JCYrLwVp38H-gydHxQE_xOHJ99mO2EL8dUDpbx445CmCBiti8l8Pjtz2NGg&avtc=1&avte=4&avts=1733831792;https://ir.ozone.ru/s3/multimedia-1-x/wc350/7219236021.jpg;Ювелирные украшения;Кольца;Кольца
Кольцо женское серебро 925 с топазом;3636.0;15700.0;77;4.9;111;https://www.ozon.ru/product/koltso-zhenskoe-serebro-925-s-topazom-1211307205/?advert=AAoBD9zeOi8yqVPxl-JwNQaIuxXMPuhVnn0ZAQ6_Fh_os7Qcz7WaP87sm7C55lDk81Pnun4P1rkHy818mK30-2F_nzrqkYvfXnuQpcuLVGc3l2KVKfLLBIs9PpcwxVYpvb5qYuW1KnUW3cohJtjFBT6_VEeV9R0bAgbxRXG4HmXr77hdP4Ml5-diNjhmVampKH64fEfrZzSMYSRzvej9yBGU1oEddvDfDLneJvmHOuMfYRzJHAtaNP6iInfTdzhEELeYhnX-JE_Yk_T0_T7Ya4puIRneOB5ymjKVQ9zMuIZlP_F5JUIrTq_5WTNxP0JhmiM9dPbdaiZ6MLnzz4MaZnHytm6PddSNUOKg70SMXcwY0IW9ADHRWyvYvyLdooMhPjKoyPJR3mD-kw&avtc=1&avte=4&avts=1733831792;https://ir.ozone.ru/s3/multimedia-9/wc350/6717981141.jpg;Ювелирные украшения;Кольца;Кольца
Кольцо серебро 925 Lamponi не бижутерия, в комплекте подарочная упаковка;658.0;6991.0;91;-999;-999;https://www.ozon.ru/product/koltso-serebro-925-lamponi-ne-bizhuteriya-v-komplekte-podarochnaya-upakovka-1773450271/?asb=RwWiffXZOK90zJYeWRfRpFMumWoEaEt2brsFUVXahMM%253D&asb2=G4RtrIKKpnY_OitDx4L5Zi1cER35WJChoOh8YYP0bqAVG5nv3Tr0mlDF6IIBM_IX-V_pJ6hcAp_TIEldxhLSsw&avtc=1&avte=4&avts=1733831792;https://ir.ozone.ru/s3/multimedia-1-a/wc350/7218143974.jpg;Ювелирные украшения;Кольца;Кольца
Кольцо серебро 925 Lamponi не бижутерия, в комплекте подарочная упаковка;658.0;5991.0;89;-999;-999;https://www.ozon.ru/product/koltso-serebro-925-lamponi-ne-bizhuteriya-v-komplekte-podarochnaya-upakovka-1770554025/?asb=rW0YAJIwSsfv8uvjdRBNTDEvgnuFJZ5ZbUplMfwGyo4%253D&asb2=TlMB_XJJwjwdAmM2NjS2m_qVW_HF13k1toj5sAEB_mnJm15-VFRgPCnBWZ1rez243cOkEx6AEPTY27ngiZcZrw&avtc=1&avte=4&avts=1733831792;https://ir.ozone.ru/s3/multimedia-1-g/wc350/7219053988.jpg;Ювелирные украшения;Кольца;Кольца
Premantura jewelry Кольцо Серебро родированное 925 пробы;1099.0;5000.0;78;-999.0;-999;https://www.ozon.ru/product/premantura-jewelry-koltso-serebro-rodirovannoe-925-proby-1771408057/?asb=WXGq6yKkp%252Bpu2NoLX0dzh3O%252BwrBHndzXM8Wmczv9928%253D&asb2=BYXoDMlpJgUsNzH4qFNL88YD7eBPPpN7rqiLd8TluHK-RovWItvLJorjzq4akawb0LLWFjGbs-UQKvSdOw5VSg&avtc=1&avte=4&avts=1733831792;https://ir.ozone.ru/s3/multimedia-1-m/wc350/7213289278.jpg;Ювелирные украшения;Кольца;Кольца
Золотое кольцо женское 585 геометрия фианиты Maskom;8077.0;28200.0;71;4.8;6;https://www.ozon.ru/product/zolotoe-koltso-zhenskoe-585-geometriya-fianity-maskom-844619196/?advert=AAoBe89JLmCWlI6fw707eUsfx9qoARTZCwu0RGKPfcNluFidFMsIpU1ujFW5aE8ALqGZwuR-uFaPm2Q5Fz1LiRE-RzNb8ebZJAuiQJWm6-w4CQ5pss4EFnMmyUA7yUByZQK3Up6oOiMOGEu74uQCOrK63mm5QNTtAa3EYSrzOsT6x-7iY4yMsNw7oi6sqvDZ2zRIsmrNPiIKyGkv7bYhhpqh20XcJmYX7ggtUMEfMzcomxJGI8Z5Kka-V07PNj7A6jfQP3lDaCbhAhhTfagVZhwfz44LUkcKAptuPmDUHj1FKSL2L24DlYZnMWhfHb0yvVAOlbQ9kz28H2JPyZPrhNFD784zc01cGi0Cips6-DkWKEdVXMEpIujq7CoN49roCsjYLjS0byWg&avtc=1&avte=4&avts=1733831794;https://ir.ozone.ru/s3/multimedia-1-s/wc350/7073758828.jpg;Ювелирные украшения;Кольца;Золотые
Золотое кольцо женское 585 пробы с камнем фианит, золото SOKOLOV;13283.0;67990.0;80;-999;695;https://www.ozon.ru/product/zolotoe-koltso-zhenskoe-585-proby-s-kamnem-fianit-zoloto-sokolov-225667644/?advert=AAoBgEWqzsKExsruEmVMsCMFdyUF2x3qbdJwrzM4_DcadD2TQ-6WqMy_SxQTbOSUY-j03ahpWd-kJP9q1kmuj41jcvnVT1zvxBtITtKfcTKU0LtieoJ97uAGNVEMPULHWKtLDFypv3sajoXaUw8qoEtoniQG97_7cQKektR22Mh9TvlVh1iRi-W4AJZ1GXjA8AMjSf1Zl2_Uk6PCz1e4AlqzztxavSb6c7E9TUrPEHo61MGs7E-dNq7cfaHtZA_9YTC_inqlEJMVmmX0-QyFm6znqO-R2eM0Tkk6dW_fmpRNuMWQq6CDltPt2X2iN8zlkBojw-3LIW5yJSRRNIJCM9D2xJat5gN_DXzBxbNBHpDEsyitu293mz_fJA&avtc=1&avte=2&avts=1733831794;https://ir.ozone.ru/s3/multimedia-1-h/wc350/7084839797.jpg;Ювелирные украшения;Кольца;Золотые
